"Hash","NodeName","PL","TR","Notes"
"0D58CA0D48DE94D5CEEBFF8489208666","CinematicNode_Choice_0","Idź z Abaurycym.","Abaurycy ile git.",""
"F2799AF1467D7F2CE21E0EBE8AE396C7","CinematicNode_Choice_0","Zaproponuj, że wpadniesz później.","Daha sonra uğrayacağını söyle.",""
"E599F65F4E8422874DF2F599129ADA27","CinematicNode_Choice_0","1","1",""
"56D29A384907ECB2E420AA962F661332","CinematicNode_Choice_0","2","2",""
"71E3258B43CFD30752E1E4A47CAA0AA7","CinematicNode_Choice_1","Wymyśl coś brutalnego.","Sert bir şeyler düşün.",""
"7F07A06F42173A363C91C09A8A77113E","CinematicNode_Choice_1","Zaproponuj coś ugodowego.","Uzlaşmacı bir şey öner.",""
"19B9D7B64A507922E9A6BB8FB8A99C81","CinematicNode_Choice_1","Dokończ przewrotnie.","Hınzırca tamamla.",""
"A24494724C9C6D1D79515992E7C63081","CinematicNode_Choice_1","1","1",""
"6DCC56F348589C56E8D2A189CBB36700","CinematicNode_Choice_1","2","2",""
"95A782874720051C6EAACB87885EB2DB","CinematicNode_Choice_1","3","3",""
"B291659F4FF0081F5E3FC68E4CD4D8EF","CinematicNode_Response_0","Pewnie. Prowadź.","Tabii. Yol göster.",""
"1BF028C84444A04DA5D9618C502F49F1","CinematicNode_Response_1","Wpadnę później. Mam coś do załatwienia.","Daha sonra uğrarım. Halletmem gereken bir şey var.",""
"74609E3E4A38AC8223552788D74D94A1","CinematicNode_Response_1","Trzymam za słowo.","Sözünü unutmam.",""
"E7856653408F7A0CC100B9A446AD417D","CinematicNode_Response_10","Chcesz mnie cytować? To notuj pan, bo idzie limeryk.","Beni alıntılamak istiyor musun? O zaman not al, çünkü bir mâni geliyor.",""
"8E55A570414A8B9A26D220B80A4613B8","CinematicNode_Response_10","Jak będę chciał poezji, to sobie Konopnicką poczytam.","Şiir istesem Konopnicka okurum.",""
"B96454484AE11FDB1104D4853C51BC03","CinematicNode_Response_10","<i>Na Śródmieściu chuje strajkują i bardzo mnie tym denerwują. Dlatego chwytam toporek w swe rączki...</>","<i>Śródmieście'de hıyarlar grev yapıyor, bu da beni epey sinirlendiriyor. Bu yüzden küçük baltayı elime alıyorum…</>",""
"90CB9E764F06594274E518811CB2F474","CinematicNode_Response_10","To jest poważny artykuł. Robotnikom należy się szacunek.","Bu ciddi bir makale. İşçilere saygı gösterilmeli.",""
"11D8124D469590979F7AFFAE2F68A33A","CinematicNode_Response_10","Nie pierdol pan, tylko notuj.","Saçmalama da yaz.",""
"D25D9C8C40A7F4A3C05E0C929BC9B3E5","CinematicNode_Response_10","<i>Chwytam toporek w swe rączki i...</> Wiktor, podrzuć jakiś rym.","<i>Küçük baltayı elime alıyorum ve…</> Wiktor, bir uyak attır bakayım.",""
"9A44D8D543C4397923992AB651430916","CinematicNode_Response_11","<i>...ich dekapitacja skończy bolączki.</>","<i>…kafalarını kesip dertlere son veriyorum.</>",""
"BE1CF8B24A1ED6A96935B2AA0F99D149","CinematicNode_Response_11","W punkt!","Tam isabet!",""
"73EA07B7496BFC3A4D4AD88E726F49C6","CinematicNode_Response_12","<i>...spór rozwiążę pokojowo, bez gorączki.</>","<i>…kavgayı barışla, ateş etmeden çözüyorum.</>",""
"9501B85E439144C5D9E3879374634A33","CinematicNode_Response_12","Do dupy taki rym.","Bok gibi uyak.",""
"3CA009EE4FF6D50E6B3001AD534038CE","CinematicNode_Response_13","<i>...spróbuję nie nabawić się rzeżączki.</>","<i>…belsoğukluğu kapmamaya çalışıyorum.</>",""
"7F0F779140E9A9A8BE9F8C8070FE7069","CinematicNode_Response_13","He, he... dobre.","He, he… güzel.",""
"060DD52F4A8B45A967F7EA959EB0502D","CinematicNode_Response_2","Dziękuję, <i>Wu Esz</>. Pan Niedzic nie ma za grosz szacunku dla walki proletariatu.","Sağ ol <i>Wu Esz</>. Niedzic Bey'in proletarya mücadelesine zerre saygısı yok.",""
"DCB13D8D4731F295106F06B8622367D7","CinematicNode_Response_2","Walczą to oni głównie z wódką, w moim barze.","Onlar daha çok benim barımda votkayla mücadele ediyorlar.",""
"68EC21C34DA7574737B38CA69BAEC172","CinematicNode_Response_3","Dziękuję! Przynajmniej odrobina szacunku dla spraw poważnych. Kim pan jest?","Teşekkür ederim! Hiç değilse ciddi konulara biraz saygı. Kimsiniz?",""
"20E3984747D21106B5441DA36FDC96EC","CinematicNode_Response_3","Wiktor Szulski.","Wiktor Szulski.",""
"849730CF4916F21C7B27919C24D79608","CinematicNode_Response_4","""Wiktor Szulski... powrócił do Warszawy, zadał się z elementem i ślad po nim zaginął."" Wolałbym nie pisać takiego tekstu.","""Wiktor Szulski… Varşova'ya döndü, tekinsiz unsurlarla takıldı ve ondan haber alınamadı."" Böyle bir yazı yazmayı tercih etmezdim.",""
"223554DC43E87527F54D3B855C1B98D7","CinematicNode_Response_4","Uważaj z kim się zadajesz, <i>Wu Esz.</>","Kiminle takıldığına dikkat et, <i>Wu Esz.</>",""
