"Hash","NodeName","PL"
"31DE83F24E8B167225C453871701B16A","CinematicNode_Choice_0","Słuchaj dalej."
"6FE6241645FCC30FBF2E389F792C5FAD","CinematicNode_Choice_0","Wytknij mu, że <i>plecie androny</>."
"512998C14E74BAF274D6E9B02491C76A","CinematicNode_Choice_0","Zapytaj, czy on zarządza WTA."
"6DA32B654AB0737C1D74B09F86E5BC64","CinematicNode_Choice_0","1"
"7144F1EA48D638578C923BAE7AC2D51D","CinematicNode_Choice_0","2"
"348109934065CBF4980FB9B87E18B84C","CinematicNode_Choice_0","3"
"7ECB1D8C4B5B34F1F35B2A84604C59BB","CinematicNode_Choice_1","Powiedz, że teraz to ty ich stąd odegnasz."
"9333BB6A49F49A59E19EABA919FD3F71","CinematicNode_Choice_1","Wróć do innych tematów."
"E6A695A740B21CA12F7431A8C59D35D6","CinematicNode_Choice_1","1"
"37C571744C784C85E5EF6DB8C11660A3","CinematicNode_Choice_1","2"
"D64C4C3D48E940C92B5D568046616B6B","CinematicNode_Choice_2","Każ im stąd odejść."
"321C4C024CDBABEDEBFBE996E5A3AEAC","CinematicNode_Choice_2","Zapytaj o zniszczenie grobowca."
"5692AE454836BAC418C7DF96DDD0B2ED","CinematicNode_Choice_2","Wdaj się w dyskusję o jego wcześniejszych tezach."
"AE1FEA614EC7FD9C7ECE06BC1CDB06B3","CinematicNode_Choice_2","Zakończ rozmowę."
"73BE620D49FC4D3878986DBE31F19C4E","CinematicNode_Choice_2","1"
"7E1F0A2B42BBE6F2E6AC2B81B5857849","CinematicNode_Choice_2","2"
"237F96B84A016CC50CB662911A7E33F1","CinematicNode_Choice_2","3"
"0D367BC341D4FCA79A7A0A985F64213D","CinematicNode_Choice_2","4"
"090BA507415AC6284F18768801E61D60","CinematicNode_Choice_3","Przegoń ich stąd siłą."
"89B46D5948EA61CFCA34188352346026","CinematicNode_Choice_3","Odpuść."
"CD0FEB094AF944AABACE6D87D14321EE","CinematicNode_Choice_3","1"
"73E74C0C4E2721706D83A598F1D01EF1","CinematicNode_Choice_3","2"
"1BCD254F4723C709494AF9BE76957986","CinematicNode_Choice_4","Nawiąż do histerii żon."
"39C622A8489F8FAEE3F82B8BD84219BF","CinematicNode_Choice_4","Wspomnij o ożywających zwłokach."
"4985D1B9437F06D4107E04B088FD47FB","CinematicNode_Choice_4","Odpuść."
"078D52424B24FD9A81C647AD86B97FB9","CinematicNode_Choice_4","1"
"CED03B9849ED5207695018BA18524C1C","CinematicNode_Choice_4","2"
"9B0E2E9D40D746CE4F89B9B1D67E5AD0","CinematicNode_Choice_4","3"
"AE1E63554E5495F23CEEE1B55DBBDD22","CinematicNode_Response_0","Nie wierzycie?! Oto dowód! Odkąd pochowano tutaj tempermantę, zmarli wstają z grobów! "
"40BBACAA46B53A302FDD92AA26CC62C9","CinematicNode_Response_0","To znak, że zbliża się apokalipsa!"
"A49D42DD405BCB80D1CBC1844AA1B53C","CinematicNode_Response_0","Po szczegóły na temat rychłego końca czasów, zapraszamy do naszej siedziby."
"D89F5B23468164A43876818191117BBB","CinematicNode_Response_1","Wystarczy już. Uszy więdną od tych głupot."
"FA6B214D4C00EA729A234790C215039F","CinematicNode_Response_10","Skoro cmentarz jest dla was święty, lepiej wyjaśnijcie, co to za niszczenie cudzych grobowców."
"4947AEE8492FC5B8FAED34892372DCE8","CinematicNode_Response_10","Wasza to wina! Czarna energia skaziła tę ziemię. Zmarłych to oburza!"
"CA4EAF264FC391A413C6BDB3848439D8","CinematicNode_Response_10","Trzeba odegnać złe moce."
"B929B160416E1AE4B484E99EAA203A52","CinematicNode_Response_11","Przewodniczący nam mówił, co z was za element. Jeśli chcesz go o coś zapytać osobiście, zajrzyj, jak inni, do ulotki."
"803D3795404D187817D60180B8643663","CinematicNode_Response_11","Umiesz czytać, prawda?"
"451E0A08412D3105D4524DAE0E05835A","CinematicNode_Response_12","Ja wymyślam? Nie no, nie wytrzymam."
"CFDA2FC14BC719088DD855A62F2D6CBC","CinematicNode_Response_13","Nieważne."
"FAAE56924212D9392F6CDFB551E7C842","CinematicNode_Response_14","Coś pan narobił?! Do kogo ja mam teraz przemawiać?"
"EF32EB5B4263C8FD9DA1FD9B04277342","CinematicNode_Response_15","Ty wydajesz rozkazy w WTA?"
"9B7F86F94E13754B31D664962FC7A597","CinematicNode_Response_16","Muszę się nie zgodzić w kilku kwestiach."
"6E6C00DF4DCA9975469CA894C257E6B9","CinematicNode_Response_16","Niby w czym?!"
