"Hash","NodeName","PL","TR","Notes"
"4C7DCC2C43F32940F04D06AD54C2AC30","lw_smc02_readable","List","Mektup",""
"AE8719D245FBE2FEB28EBF82E612784C","lw_smc02_readable","Nie myślałam, że mnie to jeszcze spotka! Wyrwana jak ze snu mrocznego, czekam na nasze następne spotkanie. Bycie Panią Rutkowską nie jest dla mnie. Ja muszę być wolna! Januszu kochanie! Mój ty kanareczku, delikatny koliberku, który spija nektar mojego kwiatka. Tęsknię.<br>Twoja,<br> 
Edyta Rutkowska","Başıma böyle bir şeyin daha geleceğini ummuyordum! Karanlık bir rüyadan koparılmış gibiyim, bir sonraki buluşmamızı bekliyorum. Bayan Rutkowska olmak bana göre değil. Ben özgür olmalıyım! Janusz'um canım! Benim kanaryam, çiçeğimin nektarını emen narin sinekkuşum. Özlüyorum.<br>Senin,<br> 
Edyta Rutkowska","Aşk mektubu, dramatik kadın tonu"
"5E7445354411571CD333A19AA7629A1E","lw_smc02_readable","Artykuł z gazety","Gazete Makalesi",""
"CB0CFE044F1776CA3E9BA399027945C7","lw_smc02_readable","STRAJK W FIRMIE NEUMAYERA

Czarne chmury wiszą nad przyszłością przedsiębiorstwa Wolfganga Neumayera. Z powodu wprowadzonych przez niego zmian obyczajowych był on zmuszony w ciągu ostatniego miesiąca zwolnić połowę swoich robotników. To spotkało się jednak z ostrym sprzeciwem. Pozostali zatrudnieni przystąpili do strajku i odmawiają przyjścia do pracy do czasu, aż ich towarzysze nie zostaną zatrudnieni z powrotem. Negocjacje trwają, żadna ze stron jednak ustąpić nie chce. Przywódcy strajku, oprócz wstawienia się za kolegami, stawiają również dodatkowe żądania: podwyższenia płacy i półtoragodzinnej przerwy na obiad. Na konflikcie tym straci całe miasto. Budowa kanalizacji stanęła w miejscu i kiedy znów się rozpocznie, nie wiadomo.
","NEUMAYER FİRMASINDA GREV

Wolfgang Neumayer'in işletmesinin geleceğinin üzerine kara bulutlar çökmüş durumda. Kendisinin uyguladığı ahlaki değişiklikler nedeniyle son bir ay içinde işçilerinin yarısını işten çıkarmak zorunda kaldı. Bu, şiddetli bir tepkiyle karşılandı. Geri kalan çalışanlar greve gittiler ve yoldaşları tekrar işe alınmadığı sürece işe dönmeyi reddediyorlar. Müzakereler sürüyor, ama iki taraf da geri adım atmak istemiyor. Grev liderleri, arkadaşlarını savunmanın yanı sıra ek talepler de ileri sürüyor: ücret artışı ve bir buçuk saatlik öğle paydosu. Bu çatışmadan tüm şehir zararlı çıkacak. Kanalizasyon inşaatı durdu, ne zaman tekrar başlayacağı belli değil.
",""
"EF9C2A5940DF48A50BA5CFB3535BF1C1","lw_smc02_readable","Notka w witrynie","Vitrindeki Not",""
"FE82C92F4A6CD8BE0CCEC0BAA5C11B53","lw_smc02_readable","Biuro zamknięte. Interesantów maści wszelakiej, zapraszam w innym terminie.","Büro kapalıdır. Her nevi ziyaretçiyi başka bir tarihe davet ediyorum.",""
"59CBF27E484DA7ADA405AB9061565F50","lw_smc02_readable","Ulotka","Broşür",""
"09AF89F041658A752F3F639F882A76F2","lw_smc02_readable","Mówimy DOŚĆ! Mówimy STRAJK!
Mówimy NIE działaniom Neumayera!
Wesprzyj robotników walczących o lepsze jutro!","YETER diyoruz! GREV diyoruz!
Neumayer'in uygulamalarına HAYIR diyoruz!
Daha iyi bir yarın için savaşan işçileri destekle!",""
"CF31259342D23E7BD3B7DA973353C51C","lw_smc02_readable","Niecodziennik podziemny","Yeraltı Olağanüstü Gazetesi","'Niecodziennik' = 'olağanüstü gazete' (sözcük oyunu: 'codziennik' = günlük) — Kmicic yayını"
"73A808064F1CEA0B986D95B70ECBF9CF","lw_smc02_readable","Śródmieście trzęsie się w posadach, od słusznej wściekłości robotników. Brygadziści z przedsiębiorstwa Neumayera, zaprotestowali przeciwko kontrowersyjnym działaniom kierownictwa i powiedzieli głośne “NIE” wyzyskowi i uciskowi burżuazji, narażając się tym samym na wściekłość osób postronnych. Ale tak jak chleba i wody, ten naród potrzebuje solidarności z robotnikami. To oni na swoich barkach dźwigają los społeczeństwa. Robotnicy to ludzie, którzy poczciwie ojczyźnie służą. Wesprzyjmy ich w walce, o lepsze jutro!<br>
Kmicic","Śródmieście, işçilerin haklı öfkesiyle temellerinden sarsılıyor. Neumayer işletmesinin ustabaşıları, yönetimin tartışmalı uygulamalarını protesto etti ve burjuvazinin sömürüsü ile baskısına yüksek sesle “HAYIR” dedi; bunu yaparken üçüncü kişilerin öfkesini de üzerlerine çektiler. Ama tıpkı ekmeğe ve suya muhtaç olduğu gibi, bu millet de işçilerle dayanışmaya muhtaç. Toplumun kaderini omuzlarında taşıyanlar onlardır. İşçiler, vatana dürüstçe hizmet eden insanlardır. Daha iyi bir yarın uğrundaki mücadelelerinde onları destekleyelim!<br>
Kmicic","Kmicic imzası (SMC_readables ile tutarlı)"
