"Hash","NodeName","PL","TR","Notes"
"0A4A71294D83A340DD5CB5805271FF25","CinematicNode_Choice_2","Dowiedz się więcej o Uniwersytecie Latającym.","Uçan Üniversite hakkında daha fazlasını öğren.",""
"3A0B7C5B415CB6A15AF9C086253E2616","CinematicNode_Choice_2","Zapytaj, co sądzi o sytuacji z księgą.","Kitap meselesi hakkında ne düşündüğünü sor.",""
"541F51E841381856160BA6A7EEDB3F0C","CinematicNode_Choice_2","Zapytaj, co sądzi o Ligii.","Ligia hakkında ne düşündüğünü sor.",""
"9DA4DA9A4B1730DA0E33F5B932E55460","CinematicNode_Choice_2","Odejdź.","Çekil git.",""
"DB4664EE46737A35D35C9EA9CC38C623","CinematicNode_Choice_2","1","1",""
"576B2AE74BE2172DDB8858A63345BDCE","CinematicNode_Choice_2","2","2",""
"8C26F8A743BF6C74304BC290628F4618","CinematicNode_Choice_2","3","3",""
"D201DBB54811836F95881E9CF7D4B7F2","CinematicNode_Choice_2","4","4",""
"4A80C92C417474CFACF822B77C6B8167","CinematicNode_Choice_3","Zaprzecz.","Reddet.",""
"DFC4B8DD43FF03FE5C5ECCAF2936B7D3","CinematicNode_Choice_3","Przytaknij i zwróć uwagę, że jest uczoną francuską.","Onayla ve onun Fransız bir bilim insanı olduğunu hatırlat.",""
"151E081A448D53582F1097A66D73C424","CinematicNode_Choice_3","1","1",""
"D46004AD4067708A8CCC85B8EB8C2916","CinematicNode_Choice_3","2","2",""
"710AD1904CEA114F8B71CFB43D817CC6","CinematicNode_Response_10","Ma pan jakieś podejrzenia odnośnie kradzieży woluminu?","Cildin çalınmasına dair bir şüpheniz var mı?",""
"CD6C8B47456A022008F108B3B79E8D6F","CinematicNode_Response_10","Nie wierzę, że ktoś ze studentów mógł to zrobić. To musi być nieporozumienie.","Öğrencilerden birinin böyle bir şey yapabileceğine inanmıyorum. Bir yanlış anlama olmalı.",""
"25ABBC80450496B1C1E218BBDC9879F1","CinematicNode_Response_10","Mam nadzieję, że uda się panu dotrzeć do sedna sprawy.","İşin özüne inebilmenizi umuyorum.",""
"69FCAA8E4B224430C9B0A1BFAA74D510","CinematicNode_Response_11","Proszę mi opowiedzieć o studiach Ligii.","Ligia'nın eğitiminden bahsedin lütfen.",""
"5CEFFC89438A44A09FD8EE96FA113BCA","CinematicNode_Response_11","Pana siostra ma niezwykły umysł. Jest jedną z naszych najzdolniejszych absolwentek i mam nadzieję, że po tym wykładzie dołączy do kadry profesorskiej.","Kız kardeşinizin olağandışı bir zihni var. En yetenekli mezunlarımızdan biri ve bu dersten sonra öğretim kadromuza katılmasını umuyorum.",""
"ED0F111741822212AC192F89291A4495","CinematicNode_Response_11","Jej argumenty są percyzyjne i śmiałe, nieskażone społecznymi konwenansami, a jej charyzma!","Argümanları isabetli ve cesur, toplumsal basmakalıplardan sıyrık, bir de o karizması!",""
"089CA67A45AAA6C378F920BC185EC0F7","CinematicNode_Response_11","Rzeczywiście, jest pan pod wrażeniem.","Gerçekten de etkilenmişsiniz.",""
"EF769BE24D6D1CA3A4B2649423F0E15B","CinematicNode_Response_11","Chciałby pan o coś jeszcze zapytać?","Başka sormak istediğiniz var mı?",""
"CB4397494A1051F10860D4B982E1C9DA","CinematicNode_Response_12","Dziękuję. Do widzenia.","Teşekkür ederim. Hoşça kalın.",""
"2CBC479D4FCAFE336C07B9BB99353A12","CinematicNode_Response_13","Nie wydaje mi się.","Sanmıyorum.",""
"AD839DEA4FF017FAE9B475A618BD59C5","CinematicNode_Response_13","Noblistka z dziedziny fizyki, sprzed dwóch lat.","İki yıl önce fizik dalında Nobel ödüllüydü.",""
"635FA737409EC2A6F2B52EB85DC8174B","CinematicNode_Response_13","Oczywiście, żeby rozwijać karierę naukową musiała wyjechać do Francji i tam również uczęszczać na uniwersytet. Ale zanim do tego doszło studiowała u nas.","Elbette, bilim kariyerini geliştirmek için Fransa'ya gitmek ve orada da üniversiteye devam etmek zorundaydı. Ama bundan önce bizde okudu.",""
"845E8050494FFE512344709F0A4A4009","CinematicNode_Response_14","Ale przecież ona jest Francuską.","Ama o Fransız, değil mi?",""
"415FEDF1458D6CDAD139F7BA192620E0","CinematicNode_Response_14","Jedynie po mężu, proszę myśleć szerzej. Zanim udała się do Francji, studiowała u nas.","Yalnızca kocası nedeniyle öyle, biraz geniş düşünün lütfen. Fransa'ya gitmeden önce bizde okudu.",""
"4424FF0D42767481DB0A05A522AD36C5","CinematicNode_Response_15","Możemy się pochwalić wieloma znakomitymi absolwentami oraz doskonałą kadrą profesorską. Niestety wszystko to ma swoją cenę.","Pek çok seçkin mezun ve mükemmel bir öğretim kadrosuyla övünebiliriz. Ne yazık ki bunların hepsinin bir bedeli var.",""
"FDC2F34C4E37AE198D80FE8178B12671","CinematicNode_Response_15","Tajność.","Gizlilik.",""
