"Hash","NodeName","PL"
"4F7FE8CE4C7CA12A2B9E85B5149219A6","q302_readables","Kurier Poranny z dn. 20 września 1905"
"8A2B594C4AC04CCEB12392A3638610B7","q302_readables","Powiśle w ogniu

Do wielkiej tragedii doszło wczoraj w lupanarze na Powiślu. Wiele osób zgromadziło się na wspólną biesiadę pod domem publicznym, którą zorganizował niejaki Grigorij Rasputin, mnich-cudotwórca. Wspólne ucztowanie zostało brutalnie przerwane, gdy w budynku doszło do wybuchu bomby.
Wiele osób zostało rannych. Liczba ofiar wciąż jest nieznana. Wieść niesie, że życie w wybuchu stracił sam Rasputin, który zniknął w płomieniach.

Wyrazy współczucia dla wszystkich poszkodowanych."
"5A5DB808411785A40B19B9ADC576A6F2","q302_readables","Kurier Poranny z dn. 21 września 1905"
"A48E0522473FE3FC643A9D9F2E913788","q302_readables","STAN WYJĄTKOWY! GENERAŁ-GUBERNATOR ROBI PORZĄDEK NA ULICACH.

W nocy z 20 na 21 września nasze miasto zostało objęte stanem wyjątkowym z rozporządzenia generał-gubernatora Gieorgija Skałona. Zakazano wychodzenia z domu po zmroku i udziału w zgromadzeniach. Wzmożono patrole na ulicach i legitymowanie przechodniów, uprasza się zatem o noszenie przy sobie dokumentów.
Co spowodowało tak stanowczą reakcję oficjeli? Złożyło się na nią wiele czynników. Miasto trawią emocje, którym różni rzezimieszkowie dają upust na ulicach, czego byliśmy świadkami po ostatnich wydarzeniach w cerkwi św. Marii Magdaleny. Do tego z Cytadeli zbiegli ostatnio niebezpieczni przestępcy-thaumaturgowie, którzy poruszają się po dziś dzień nierozpoznani. Wybuch w lupanarze na Powiślu i śmierć wielu niewinnych osób, w tym cudotwórcy Rasputina, przalały czarę goryczy.
Kto za tym wszystkim stoi? Wiele mówi się o przewinie thaumaturgów, którzy sieją chaos swymi demonicznymi mocami, mieszając w ludzkich głowach. Czują, że stoją ponad prawem i nie kryją się ze swą pogardą dla władzy. Dlaczego mamy tolerować ich przywileje?

Trzeba w końcu zdobyć się na odwagę i powiedzieć ""dość""."
"612ECE6248BD24D949F039AB709E67F4","q302_readables","Kurier Codzienny z dn. 22 września 1905"
"5698B3064CED21CB5477AC832FC6499D","q302_readables","Bal urodzinowy carewicza Aleksieja.

W Dolinie Szwajcarskiej, odbędzie się bal z okazji pierwszych urodzin carewicza Aleksieja. Mimo ostatnich burzliwych wydarzeń i wprowadzenia stanu wyjątkowego, uroczystość nie jest zagrożona. Na czarnym niebie potrzebny jest dziś nam wszystkim promień, jakim jest pamięć o nadziei i przyszłości Imperium Rosyjskiego - cesarzewicz Romanow.
Wśród gości znajdować się będzie grono najpoczciwszych mieszkańców Warszawy, Moskwy i Petersburga. Spodziewany jest pokaz fajerwerków oraz inne atrakcje, których mieszkańcy Warszawy będą mogli uświadczyć z okien własnych domów.

Jako redakcja, przyłączamy się do najlepszych życzeń. Niech chmury ustąpią i zapanuje światło, którego blask odbija się w niewinnej twarzy carewicza! Sto lat!"
"5641F2014350E3A3D2ECE894F79A8B63","q302_readables","Notatki dziennikarki"
"1F2255DC4268305ED19E91BB4E515822","q302_readables","Grigorij Jefimowicz Rasputin
wysoki, postawny, przenikliwe spojrzenie, intensywnie pachnie (zapach wiary? gorliwości? coś w ten deseń)
Co się dzieje?
R: Wieczerza dla wszystkich, biedni, bogaci, równość, obalanie hierarchii? nie, podkreśla, że chce zachować porządek
Jaki cel?
R: Dobro Rosji, Polski, wszystkich, mówi o wizjach, wizje zagłady, pożary, wichury, on może wszystko naprawić
Wiara odpowiedzią, trzeba wierzyć
Kult?"
"5F1E51C34C586A7B8584B29D42A65EE8","q302_readables","Plakat z konterfektem Wiktora"
"4C31ACCA408C07EE9A9C7F9CCA546803","q302_readables","POSZUKIWANY

Niebezpieczny thaumaturg na wolności. Każdego, kto jest w posiadaniu wiedzy na temat osobnika, uprasza się o zgłoszenie do najbliższego komisariatu lub przedstawiciela prawa.

Nagrody nie przewidziano.
To obywatelski obowiązek."
