"Hash","NodeName","PL"
"3E2DEA2F49A14ECCB2CB93B758F45EEA","q104_readable","Rozkazy policji"
"58343AFA4702B82C4E07FAA72D82C0FA","q104_readable","Do wszystkich jednostek

Wczoraj w godzinach nocnych w rejonie Portu Praskiego doszło do napadu na barkę transportującą skrzynie z amunicją. 
Wysłać wszystkich dostępnych funkcjonariuszy w teren. 
Banda składała się najprawdopodobniej z 5 osób: rosłych, zamaskowanych mężczyzn w różnym wieku."
"20991D8E4754D0664E1EBF8F7794283A","q104_readable","Przegrany zakład"
"04E234524028DCB4AFF0F1B00BD02355","q104_readable","2.09 ""Barszczyk"" kontra ""Zupa""

Barszczyk wygra
Stawka: 10 rb
[podpis] X"
"5E04A33C44A658ABA3A9FAB1112138BB","q104_readable","Ogłoszenie szukającego pracy"
"6AB0F179410568628E1DCCB3E1582112","q104_readable","Szukam pracy
Naprawiam łodzie, skrzynie i inne. W pracy nie piję zupełnie.
Proszę o robotę, gdyż nie mam z czego żyć. Ciasna 5 m.11"
"731288C94263B1CF9E2940A25AA1FEDE","q104_readable","Spis walk Barszczyka"
"E3DC105C4217E28BB284B39ECE0DCA5D","q104_readable","25.08 - Kaprawy Wacław - pokonany w segunda ronda
27.08 - Denis Wolgin - poddany w tercera ronda
2.09 - Zupa - empate
3.09 - Joaquin Hernandez - wygrał w tercera ronda
... - Gordon Hermanas - ..."
"9CA622DC4BB15E0051941AAC012E4CCC","q104_readable","Podrabiane dokumenty"
"1E4874B944E2EC05285E06BEDA0B809E","q104_readable","Dowód tożsamości

Nazwisko: Zubow
Imię: Antonina
Data urodzenia: 24.10.1863
Miejsce urodzenia: Warszawa
Imię ojca: Iwan
Matki: Maria
Zawód: szwaczka
Miejsce zamieszkania: Warszawa
Wydano dnia: 10.11.1902 r.

[pieczęć ] Zaświadczam, że wymieniony(a) w niniejszym dowodzie p. Antonina Zubow jest obywatelem(ką) Imperium Rosyjskiego, co zostało stwierdzone.
[podpis carskiego urzędnika]"
"9F00FFD8421C160BDF0A05B61EA366C7","q104_readable","Podrabiane dokumenty"
"F32DF2E14C26766A729CF593ADB1A958","q104_readable","Dowód tożsamości

Nazwisko: Stern
Imię: Ekaterina
Data urodzenia: 01.04.1861
Miejsce urodzenia: Petersburg
Imię ojca: Mosze
Matki: Olga
Zawód: guwernantka
Miejsce zamieszkania: Warszawa
Wydano dnia: 18.05.1901 r.

[pieczęć ] Zaświadczam, że wymieniony(a) w niniejszym dowodzie p. Ekaterina Stern jest obywatelem(ką) Imperium Rosyjskiego, co zostało stwierdzone.
[podpis carskiego urzędnika]"
"042D0CE1460C3027683E6CBC2D5E8C50","q104_readable","Ulotka"
"6A675B304FBC67C6288AA69928339495","q104_readable","Zobacz jedyne takie widowisko w Warszawie! 
Strzelcy i Indianie prosto z Dzikiego Zachodu.
Legendarny wódz Indian, Siedzący Byk!
Słodka Annie Oakley oraz mocarne Siostry Gordon!
Przyjdź i skosztuj Ameryki!"
"617E9E6344241EDA52029FBF7953B3A4","q104_readable","Pocztówka"
"6CD7EC3E497BD36E7AF8A68FB5D36226","q104_readable","Hola, amigo!
Tęsknie za warszawskimi syrenkami. Ciechocinek ma jednak dobre strony, to pokręcę się tu zanim wszystko nie będzie znów cicho.

J."
