"Hash","NodeName","PL"
"F7C19A53481B5CCBEACE0FB43891B4CB","IC_lw_BZR_POIs","Dziesięć merdających ogonków"
"E84E0DA04091A81D42BC1E95038DD966","IC_lw_BZR_POIs","Pan Mikuszewski mieszkający na ul. Brukowej 34a/3 prowadzi hodowlę psów rasowych. Niedawno pojawił się u niego nowy miot szczeniaków, które są bardzo spragnione zabawy i głaskania."
"34DB564440891FB8F79398849FAB85B8","IC_lw_BZR_POIs","Kartka pocztowa"
"2BDB56A44756A5F84FCD4197D41ABCAF","IC_lw_BZR_POIs","Pocztówka zapisana dziecięcym charakterem pisma i ozdobiona rysunkami. Wygląda na to, że w mieszkaniu pana Mikuszewskiego jest coś, co zapewnia wielkie szczęście."
"3AC3DC6A460870A91A0C649C2F2BCA67","IC_lw_BZR_POIs","""Kurjer Warszawski"""
"3AF1DCC24746E25457BA7E836DAAC4E5","IC_lw_BZR_POIs","Gazeta otwarta na stronie z lokalnymi ogłoszeniami. Na Brukowej 34a/3 znajduje się hodowla psów rasowych."
"C705EC8C465BEEF1E8411FB000FD67D6","IC_lw_BZR_POIs","Liścik"
"B1DC289C458D4222171D3C9B17D4D654","IC_lw_BZR_POIs","Oszczędna wiadomość zapisana na błękitnej papeterii. Wynika z niej, że pan Mikuszewski z Brukowej handluje czymś, o czym marzy autorka listu."
"A6FC551D456ED7FBF90AFD9710EC7F17","IC_lw_BZR_POIs","Sekretna biblioteka"
"9A5126D34FB41F12ACB6BF90F1958368","IC_lw_BZR_POIs","Adam Bałucki mieszka na ul.Targowej 39a. Pod przykrywką działalności Klubu Miłośników Rzadkich Książek sprowadza i czyta utwory niedopuszczone do obiegu przez rosyjską cenzurę. Jeśli zwróci mu się zagubioną paczkę, być może pozwoli obejrzeć swoją bibliotekę dzieł zakazanych."
"141CA2654CF5DAF553E97FA92F29A474","IC_lw_BZR_POIs","List"
"BE11F2914C17A1BF5BF2D589B8EBB2F0","IC_lw_BZR_POIs","Kartka zapisana eleganckim charakterem pisma, schowana w niewielkiej kopercie. Bałucki jest księgarzem-ekscentrykiem, często zanosi duże paczki do swojego gabinetu i nie chce przyznać, co się w nich znajduje."
"23C85D964AB2FE5DFE0F62B73CE97630","IC_lw_BZR_POIs","Broszura patriotyczna"
"5F0444B84379F29B5EF4EFA59A16CF4E","IC_lw_BZR_POIs","Strona z egzemplarza zwiniętego w ciasny rulon - prawdopodobnie był gdzieś ukryty. A. Bałucki organizuje spotkania Klubu Miłośników Rzadkich Książek na ul. Targowej 39a - w każdą środę o 19.00 wieczorem."
"7719E17F48F2D11B181A0E953BACA29C","IC_lw_BZR_POIs","Zgubiona paczka"
"FABB6A69407DB366D99587A8A5FBBEC2","IC_lw_BZR_POIs","Przesyłka opakowana w szary papier, przez który można wyczuć tłoczony grzbiet i twardą oprawę. Paczka jest adresowana do Adama Bałuckiego - musiała zgubić się kurierowi. Może warto by było zwrócić ją do adresata."
