"Hash","NodeName","PL"
"50B4A1C445626C0A8A30A0B8D670E8A8","CinematicNode_Choice_0","Zapewnij, że wszystko jest dobrze."
"22A6DA424B84D41A397C66B33703F2F2","CinematicNode_Choice_0","Nic nie mów."
"9DA7A78349E6D0A8F3B5DF816307E1D6","CinematicNode_Choice_1","Opowiedz im o Cytadeli."
"CF869B80484561D843F1B096B2009E7D","CinematicNode_Choice_1","Oznajmij, że odzyskałeś Czarny Grymuar."
"55BC55D94F42492A5CE4A095D4459A47","CinematicNode_Choice_1","Dopytaj o sytuację na ulicach."
"1B47F6FF40130CE0542C3DADEF7FB2D5","CinematicNode_Choice_1","Pożegnaj się."
"4F9868BE42CFB8F76FC10BAD79B97785","CinematicNode_Choice_2","Powiedz, że to dzięki talentowi."
"C4ED19C4456DCF8C10ED72BC048A9B2A","CinematicNode_Choice_2","Nadmień, że Samira ci nieco pomogła."
"6885B6854BA0A0DC218F2CB09274E083","CinematicNode_Choice_2","Przyznaj, że uratowali cię członkowie podziemia."
"4EBF7809482B41F24955DC98259A63CF","CinematicNode_Choice_3","Powiedz, że to był przypadek."
"CC153AAE4E593636696AEFA489BCED38","CinematicNode_Choice_3","Powiedz, że Konieczkin się uwziął."
"2E699F514320FFC838DD658BE7D31F81","CinematicNode_Choice_3","Powiedz, że to nie ma znaczenia."
"616D5E754CAF95EBDB411ABF311AAE62","CinematicNode_Choice_4","Wyznaj, że Konieczkin ma zamiary wobec Ligii."
"1763EEF540B2B41B117657873A741C21","CinematicNode_Choice_4","Powiedz, że sobie tego nie wymyśliłeś."
"D6A14A234EBB5863AE4FBCB2C694A443","CinematicNode_Choice_4","Powiedz, że to on miał Czarny Grymuar."
"2E5CEF4C46E8D57382906ABABEE0E529","CinematicNode_Choice_5","Wyznaj, że Konieczkin go miał."
"F988369842F8C3F0AC6AEAB226E65C3E","CinematicNode_Choice_5","Zbyj pytanie."
"D2E67EB5435D6A13C718A795315AE41F","CinematicNode_Choice_6","Powiedz, że nie masz czasu do stracenia."
"53DA39624956677A29082B88DF5ED830","CinematicNode_Choice_6","Zapewnij, że nic ci nie będzie."
"ED302A2B45C72F9EACC5CBB2FC84E5A5","CinematicNode_Choice_6","Nic nie mów."
"ED88B9B448F58623864AD79F281166A9","CinematicNode_Choice_7","Powiedz, że nie widzisz związku."
"D77EF14548007ABF6B6D8DB5D96E1627","CinematicNode_Choice_7","Zapewnij, że to naprawisz."
"14C428374C164E763B73DE94E2389218","CinematicNode_Response_0","Nic mi nie jest. Naprawdę."
"63FF2BD34E3953616E2816A59286FC5A","CinematicNode_Response_1","..."
"CED606AB495F61931FEFE5B332622D47","CinematicNode_Response_1","..."
"0F525A84461CE3D4923F0088B026E911","CinematicNode_Response_10","Na mnie też już pora. Dbajcie o siebie, dzieciaki. Uważaj na siebie, Wiktor."
"3D08885D45770EEFA60BAFBA2282D105","CinematicNode_Response_11","Proszę, bądź ostrożny."
"C44CEAC44804B1D72CA7A89AA67BE41B","CinematicNode_Response_12","Właśnie uciekłem z Cytadeli."
"C04400CE48045B9F37025B98E07CF7D5","CinematicNode_Response_13","Odzyskałem to, co mi się należało. Czarny Grymuar wreszcie jest mój."
"FB935E304EFED95EEE373584EE557934","CinematicNode_Response_13","Zuch chłopak. Stasio byłby z ciebie dumny, naprawdę."
"4D10724B42B472A8086A96A5D8CC5D38","CinematicNode_Response_14","Po drodze spotkałem takich, którym wyjątkowo nie podoba się thaumaturgia."
"DE087BF44FFE9F72051942846FC8B897","CinematicNode_Response_16","Pomogła mi koleżanka po fachu."
"608BDFDC4C7AF931656BF68ABB3EA534","CinematicNode_Response_16","Sama Madame Samira."
"8BB8A286493AE9A49DE8D8BB3F6EFD2A","CinematicNode_Response_17","Co takiego?"
"B125CE504991E22FC586729B5C74E2B2","CinematicNode_Response_18","Chyba źle usłyszałam."
"F67560354F497BCDD2D0EC99E1B53636","CinematicNode_Response_2","I mówisz chłopcze, że uciekłeś z niemożliwej twierdzy? Jak?"
"C89ADE5A45A21F1422B52D8FA0CEA665","CinematicNode_Response_22","Nie udało by mi się, gdyby nie wsparcie lokalnej komórki podziemia."
"75A4C53540D55C405BC13DBE662C94A5","CinematicNode_Response_22","PPS wyciągnął cię z Cytadeli? Co oni tam robili? Albo wiesz, co? Nie mów mi."
"CB77D67E4DD453308DBB21BA74CF2EC7","CinematicNode_Response_22","Uważaj na nich, chłopcze. Wujek ci dobrze radzi."
"7111C37443B40F35772DFFA08B39B6EB","CinematicNode_Response_23","Z jakiego powodu się tam w ogóle znalazłeś?"
"06965AF34F29E7932893299B4B68082E","CinematicNode_Response_24","Mam przeczucie, że naczelnik Ochrany, Iwan Konieczkin, tylko czekał na okazję."
"5EE48CBD4BC61CEE1664328FBF7707FF","CinematicNode_Response_24","Naczelnik? Wiktor, to są poważne oskarżenia."
"5AE8156F409A23F2917283ABC24F49FB","CinematicNode_Response_25","To nie ma znaczenia, wujku."
"8FD8F12546B6D78FEDF44694450F4996","CinematicNode_Response_26","Wiem, że ma też plany wobec Ligii. Uważa, że jesteś dla niego dobrą partią."
"0EFDDDFF4275DE5D9697A99E1CFEEA76","CinematicNode_Response_26","Niedorzeczne. Przecież ja nigdy..."
"22CC7FFD45514CC0E24128B66A88A2FF","CinematicNode_Response_27","Odkąd wróciłem, Konieczkin mnie obserwuje, lub miesza się w moje sprawy."
"5EFC728248ED099A8637A4AC26FAF8C8","CinematicNode_Response_27","Tak, jak trzymał się blisko ojca."
"8137A76C4D7326C2786E60BF41B31B5E","CinematicNode_Response_28","Ciekawe, co mogło mu poddać tę myśl? Może to, że prosiłaś go o przysługi?"
"A0A192FC42E2A4F6D55B6F8E816ADD48","CinematicNode_Response_29","O, więc to moja wina, że Konieczkin nagle dostał <i>pomysłów</>?"
"1F9988C2480901ED98B12898BF65B2C7","CinematicNode_Response_29","Dzieci, nie czas na kłótnie."
"5F108191405AAE1268BC828751E2F3BB","CinematicNode_Response_3","Chłopcze, twoja siostra jest tak zdeterminowana, że sama chciała zaprowadzić porządek na ulicach."
"F6F770F740521AA4182F4CA723C1A25D","CinematicNode_Response_30","..."
"187AEA2243F82DD0DC853AA8F750EAD1","CinematicNode_Response_31","To długa opowieść. I dość zawiła. Ważne, że wrócił tam, gdzie jego miejsce."
"B1DBA3AA4937B4D4387E5F867C034B2F","CinematicNode_Response_32","Przez ten cały czas, Czarny Grymuar spoczywał na biurku Iwana Konieczkina."
"49A0F23848C9F625F3EABAB295AD7616","CinematicNode_Response_33","Jak tego dokonałeś?"
"0042FCBC4C6FFE049811B8AE9BB36E89","CinematicNode_Response_34","Czy... to ma jakiś związek z wizytą w Cytadeli?"
"787D793A4831BF587D58BBBF184A250D","CinematicNode_Response_35","Wąż. Mam go teraz ochotę zabić, wiesz?"
"21F3FA1E4D28A1FA3C373285C9DD6C89","CinematicNode_Response_35","Córuś, nie rzucaj słów na wiatr. Zwłaszcza takich."
"C64AFAA94E55A9CB866B11924E20A832","CinematicNode_Response_36","I przez ten cały czas..."
"72894E7D4F457F8D08E8D4AED464E252","CinematicNode_Response_36","Owszem, bawił się nami, patrzył jak się wijemy."
"EC55E7B844207ADC9B56DAB33329439D","CinematicNode_Response_38","Gorąca głowo. Gdzie znów pędzisz?"
"FAFB4D1C4A9084DA818525B78FE4DE4B","CinematicNode_Response_39","Tylko thaumaturgowi mogło się to udać."
"4B83AE804C5A5B532E97CD9680AC5BC5","CinematicNode_Response_39","Jak Stasio. Nie chcesz, nie mów."
"44D1B83944F71D0CACC5659575E7F486","CinematicNode_Response_4","Czy to znaczy, że gniewasz się na mnie nieco mniej?"
"6458A6324FBEA840C8DF2A8808459468","CinematicNode_Response_40","Tak bez żadnego słowa wyjaśnienia?"
"9B3D68B4405121F2566E50A6E332E8B6","CinematicNode_Response_41","Jak już kiedyś mówiłem, prawdziwy z niego altruista. Pamiętasz?"
"A13D063845B223E33DFDA78AA532A066","CinematicNode_Response_42","Co jeszcze, Wiktor?"
"B5C171E54E009594D9942CB931234027","CinematicNode_Response_43","Oj, dzieci dzieci. Porobiło się."
"65FBEE5D419E14163EBFB4B5EE94FA7B","CinematicNode_Response_44","Dostrzegam pewną prawidłowość, która mnie martwi. Zwłaszcza, jeśli spojrzeć na ulice..."
"EBD5E6B247479B482CD7B9AACE1960EB","CinematicNode_Response_45","Chcesz powiedzieć, że ona jest thaumaturginią?"
"FF6CDBE54DB4E72CC04C398433664EF0","CinematicNode_Response_45","Zgadza się. W Cytadeli też nie była dobrowolnie."
"448F8A754F1380328CF855809339548B","CinematicNode_Response_46","Co się właściwie dzieje? Nie zauważyłem większej, niż zazwyczaj, dozy przemocy i chaosu."
"D815138044234260887C6183EC4458C1","CinematicNode_Response_48","..."
"89D877E6468CCD82711E108563863AC2","CinematicNode_Response_49","Muszę dać tej historii finał. Już dość mam bycia zwodzonym."
"7DFE86494D8FBAB5D1A33E9931E706AD","CinematicNode_Response_5","Byłem na mszy, w tłumie wybuchło zamieszanie. Wojsko weszło, żeby pacyfikować tłum."
"875DF58C418C6D893551A0BC0DC210A6","CinematicNode_Response_5","Na mszy? A od kiedy jesteś religijny?"
"E74A61734513BA84AF89F18A9F40E807","CinematicNode_Response_50","Na mnie też już pora. Wiktor, chłopcze, wysłuchaj starego wujka."
