"Key","Value"
"TutorialFight_1","Walka tutorialowa 1"
"TutorialFight_2","Walka tutorialowa 2"
"TutorialFight_3","Walka tutorialowa 3"
"TutorialFight_4","Walka tutorialowa 4"
"TutorialFight_5","Walka tutorialowa 5"
"Fight_1","Walka 1"
"Fight_2","Walka 2"
"TutorialFight1_Description","Podstawowe mechaniki walki"
"TutorialFight2_Description","Skupienie i Silne ataki"
"TutorialFight3_Description","Rytuał"
"TutorialFight4_Description","Zmiana Salutorów i Sugestie"
"TutorialFight5_Description","Cechy"
"Fight1_Description","Walka z pierwszego aktu"
"Fight2_Description","Walka z końca drugiego aktu"
"CommonSelection_Select","Wybierz"
"SelectDifficulty_Hard","Hard"
"MainMenu_MouseLeftButton","Lewy przycisk myszki"
"MainMenu_RightMouseButton","Prawy przycisk myszki"
"MainMenu_MouseWheelUp","Kółko myszki w górę"
"MainMenu_MouseWheelDown","Kółko myszki w dół"
"MainMenu_Clear","Wyczyść"
"MainMenu_SpaceBar","Spacja"
