"Hash","NodeName","PL"
"0BDCFB394A8A0F454F65ABA817FFC066","CinematicNode_Choice_0","Przejdź do rzeczy."
"A25DF208426EAC74F2ABA0A7DE69640D","CinematicNode_Choice_0","Najpierw skomentuj to miejsce."
"18B491FE44B4631B8BF42A9CEF2E42BF","CinematicNode_Choice_0","Przyznaj się, jak go znalazłeś."
"4558D1B0471DB2A67C43649A10C47DCE","CinematicNode_Choice_0","Najpierw zapytaj, czemu wołają na tamtego ""Ogóras""."
"EFAC25224A355CDCC5E14FB61E693486","CinematicNode_Choice_0","1"
"7C347E20405E94AC83F25B9C70604738","CinematicNode_Choice_0","2"
"6506C3E54033FEC38C2CAEB410C5A34A","CinematicNode_Choice_0","3"
"55F2BC564D7172136E9A1CBCC9522641","CinematicNode_Choice_0","4"
"B71D45C6492F493C834D98B4574A65C3","CinematicNode_Choice_1","Powiedz o ""Lochu""."
"2916882F4D13954E58DBCCA5F916979E","CinematicNode_Choice_1","Powiedz o melinie w Porcie Praskim."
"6B63381E43B40E2DF18FD296EC7B2039","CinematicNode_Choice_1","Powiedz o jego mieszkaniu."
"99C80B534970F3D8B663EAA59E72FDCE","CinematicNode_Choice_1","Wykręć się od odpowiedzi."
"04465BF049A8A07E30ECADAB021142CF","CinematicNode_Choice_1","1"
"AB9697144B0971A0076FF1B48CA4EA4B","CinematicNode_Choice_1","2"
"B7ECDBDE4A45246F230A9690DBA8E6B7","CinematicNode_Choice_1","3"
"97FC2AD140752F7E5CC1E0874D1D0A66","CinematicNode_Choice_1","4"
"74CBDF794CCEF49D983FA1BFD2096F9E","CinematicNode_Choice_10","Powiedz, że wiesz już wszystko."
"421291EC4E7E01F85F142289698E38AA","CinematicNode_Choice_10","Dopytaj o Skazę."
"B05DEED0411F34AE8EFF43A32501D0E1","CinematicNode_Choice_10","Powiedz, że znasz miejsce przywołania."
"88661ECD40121672DC14C59BB3B29089","CinematicNode_Choice_10","Najpierw zapytaj, jak pozbawić Golema fizyczności."
"911B2C434FD359A69E150988F0EA9CD8","CinematicNode_Choice_10","1"
"BA07E31F472A6D9631A9C1B273735C4B","CinematicNode_Choice_10","2"
"304522E84F5BD0A9C66489AA9DC2519E","CinematicNode_Choice_10","3"
"B92A83AC41651B90288620B130F1E2D1","CinematicNode_Choice_10","4"
"FBCF46554713293AE8744691EC55817C","CinematicNode_Choice_11","Powiedz, że jedną. Przejęzyczyłeś się."
"1ED1B72341FBC7E7505D478208F2F517","CinematicNode_Choice_11","Przyznaj, że wiele."
"3FA9E18C4F0AE4D39E644B91F014401F","CinematicNode_Choice_11","Zignoruj pytanie."
"C79D4FDF41BBED021EF2E3973C2E60A0","CinematicNode_Choice_11","1"
"AB3C0F7D43FFF479143DDBB8CED542ED","CinematicNode_Choice_11","2"
"E9541D5142D39FC5A0804FB19F615752","CinematicNode_Choice_11","3"
"AD97403B4741A48D48CD2A833A19804B","CinematicNode_Choice_12","Przyznaj, że masz jeszcze siostrę."
"860A89094175BA649F462389039DC862","CinematicNode_Choice_12","Nie wspominaj o Ligii."
"3918C329491739CCE6A235B51D200806","CinematicNode_Choice_12","1"
"144EF4684E54450C7F02F2A820BE4C90","CinematicNode_Choice_12","2"
"3F60825B450FABA4D1D8ADB41DBB8540","CinematicNode_Choice_13","Zgódź się odstąpić Golema."
"887E12B841245699A5BE728A4831840B","CinematicNode_Choice_13","Odmów, nie oddasz Golema."
"F39395D7466ACFBED1768CBDED04A0EC","CinematicNode_Choice_13","Dowiedz się, po co mu Golem."
"FA895A0049671A944EEBCBA78FE6A9D1","CinematicNode_Choice_13","1"
"5C4D838347255C3AF406DDAAE6DB089F","CinematicNode_Choice_13","2"
"19F05A6B4D37E25BC8034580BAE15DA4","CinematicNode_Choice_13","3"
"69E1D0794AA3EBBE5841B09FF2C23359","CinematicNode_Choice_14","Napij się."
"4117669E445D56154A4ED4AFDA408A6A","CinematicNode_Choice_14","Wznieś toast."
"914419894AFBE48108A1D69AD3D292F5","CinematicNode_Choice_14","1"
"7A98681D4B10928480ABF7AA340CD261","CinematicNode_Choice_14","2"
"6EDBF05B45E6BE12EC1E2CA29966E42A","CinematicNode_Choice_15","Udaj się z nim do synagogi."
"5EEFCE88430D5B3CCD2F83BFCECAEFF6","CinematicNode_Choice_15","Powiedz, że dołączysz później."
"A697E70549FDB57D85DEC39204C26A7F","CinematicNode_Choice_15","1"
"0D980FF34CD59B5AB6D5028BC6BE7BA5","CinematicNode_Choice_15","2"
"81FBD9F3400B0A5686E6B4A62D3A8AF4","CinematicNode_Choice_16","Zgódź się."
