"Hash","NodeName","PL","TR","Notes"
"853F9E13447E474BEEC623B61538186B","IC_lw_CM_POIs","Pokaz żywej fotografii","",""
"36A9F7234476092EAE5483A275420444","IC_lw_CM_POIs","W czwartek wieczorem w siedzibie Stowarzyszenia Techników na ul. Powązkowskiej 5 pojawi się Kazimierz Prószyński wraz ze swoim pleografem. Będzie to okazja, by zobaczyć pokaz żywej fotografii.","",""
"B117785A4A033FBA7DAF4EB4335C0418","IC_lw_CM_POIs","Afisz","",""
"6A15388C4109D46CDEBE3BA693F40573","IC_lw_CM_POIs","Plakat informujący o cyklicznych odczytach - w siedzibie Stowarzyszenia Techników na ul. Powązkowskiej 5/9 w każdy czwartek wieczorem można posłuchać ludzi nauki.","",""
"319F03AC4F64F3D6387C25A489B74179","IC_lw_CM_POIs","""Gazeta Warszawska""","",""
"2613359C401EAE4AF3A1FC9A45346BB7","IC_lw_CM_POIs","Gazeta otwarta na stronie opisującej dokonania znanego wynalazcy - Kazimierz Prószyński zajmuje się żywą fotografią i ma spore dokonania w tej dziedzinie.","",""
"AC45A9E74FAC24F4C06C60B63733BADB","IC_lw_CM_POIs","Notatki z kazania","",""
"26920F4F43F953BC9AF43DA7D8C52E33","IC_lw_CM_POIs","Odręcznie zapisane notatki. W czwartek odbędzie się pokaz ruchomych obrazów, który budzi zgrozę u księdza.","",""
"505986F941988F0B377AC2A5F4DBA355","IC_lw_CM_POIs","Lekcja modnych tańców","",""
"803C2C7442480659882DF38BB55C7E59","IC_lw_CM_POIs","Na ul. Cmentarnej 18/4 mieszka baletmistrz Jan Wysocki, u którego można uczyć się wieczorami energicznych tańców z Zachodu. Nieprzychylni nowej modzie parafianie zmusili go jednak do zakończenia działalności, dlatego to ostatnie chwile na skorzystanie z lekcji.","",""
"D5AA8B9F4E29F30A219976BFCF4A8558","IC_lw_CM_POIs","Notatki z kazania","",""
"18CD50D44C61D6490747478094CFB69D","IC_lw_CM_POIs","Zapiski z procesu układania kazania. Na ul. Cmentarnej 18 dzieje się coś, co budzi obawy księdza jako szkodliwa moda z Zachodu.","",""
"745F4A404BC5437D214AA98B1B653427","IC_lw_CM_POIs","Czasopismo ""Bluszcz""","",""
"0A22C8D343162435423A9B8987C6CDA3","IC_lw_CM_POIs","Czasopismo otwarte na stronie z odpowiedziami na listy czytelników. Najwyraźniej baletmistrz Jan Wysocki niedługo przestanie udzielać swoich lekcji tańca.","",""
"3DB077D14261DFAFC3856F801D6EDFC5","IC_lw_CM_POIs","Podręcznik do tańca","",""
"56E45951444770A9D75CC8BC924B6FC6","IC_lw_CM_POIs","Niedawno wydana książka. Na pierwszej stronie znajduje się podpis i adres właściciela - niejakiego Jana Wysockiego, zamieszkałego przy ul. Cmentarnej 18/4.","",""
"2EE1696D4D701B1D92323FB990E9DDCC","IC_lw_CM_POIs","Klub Dżentelmenów","",""
"CCC1BE69484533A7FB0F48BFEF02A010","IC_lw_CM_POIs","W swoim apartamencie przy ul. Powązkowskiej 4 pułkownik Wiaczew urządza co drugi dzień o 20.00 spotkania Klubu Dżentelmenów. Aby się tam dostać, wystarczy wmówić gospodarzowi, że jest się jego starym znajomym. Goście zostają poczęstowani wyśmienitymi cygarami, mogą się zrelaksować i oddać dysputom. ","",""
"F66AFC3E43AA0623C861B794499D8E37","IC_lw_CM_POIs","Podarty list","",""
"1B18315C486BED926F51338B0124A9FF","IC_lw_CM_POIs","Fragment podartego listu do przyjaciółki. W kamienicy przy Powązkowskiej 4 niemal co drugi dzień odbywają się spotkania dżentelmenów, na które jednak nie każdy może wejść.","",""
"B02F61134DEAA3D6A12E9FB10579A1B4","IC_lw_CM_POIs","Notatka dla posłańca","",""
"E43073D140A8AA9D300DA0BAD7816DFE","IC_lw_CM_POIs","Dyspozycja od kamerydera dla chłopaka dostarczającego cygara. Na spotkaniach u Wiaczewa, które odbywają się o 20:00, panowie raczą się dobrymi cygarami.","",""
"1175EB3F48D7D69B9C2CC9B96DD16B22","IC_lw_CM_POIs","Pamiętnik dewotki","",""
"A26A1ABC4010E4CE3818B18A2E29EFC1","IC_lw_CM_POIs","Wyrwana z zeszytu strona poplamiona herbatą. Plotki sąsiadów głoszą, że aby wstąpić do Klubu Dżentelmenów, wystarczy podać się za znajomego pułkownika Wiaczewa.","",""
