"Hash","NodeName","PL"
"1D8C1F16487482497D9F86838C760376","lw_smc03_journal","Pierwsza Strona"
"9B7B663B4BBFDD1B248732B66396E512","lw_smc03_journal","Tobiasz Fejgin chce, abym znalazł sposób na kontakt z Lechitami - grupą, która przypisuje sobie niedawny zamach na Dworcu Wiedeńskim. Fejgin chce jako pierwszy przeprowadzić z nimi wywiad."
"32FBC0DC4B47863613FCD981A5917081","lw_smc03_journal","Wanda, jako członkini podziemia, jest wrogo nastawiona do Lechitów. Jeśli dojdę do tego, gdzie ich znaleźć, mam ją bezzwłocznie poinformować."
"8C1567A246C0FCA358ECED9D32FB6299","lw_smc03_journal","Spotkałem Żukowa, detektywa prowadzącego sprawę zamachu. Oznajmił, że doceni każdą dodatkową informację o Lechitach."
"CE4D76E54F2BD643A5A65DAC580C4EA7","lw_smc03_journal","Poznałem tożsamość dwojga osób, które przeżyły zamach. Krystian Król i Izabela Lipnicka przebywają obecnie w Szpitalu Praskim."
"16E1FF4F4D901A4543A16D9B06792B2E","lw_smc03_journal","Wszystko wskazuje na to, że celem zamachu była Stefania Lipnicka, uznana przez Lechitów za zdrajczynię."
"98BF47F943D517A449EF40A3BA6E4263","lw_smc03_journal","Izabela Lipnicka wskutek zamachu straciła wzrok."
"DAA3AF7846F9F923CF5D0F941DD847B9","lw_smc03_journal","Jedną z ofiar zamachu był Ignacy Wiśniewski - mąż Reginy, weteran powstania styczniowego."
"9C70A69144EA24698BEEA888BA5C35A4","lw_smc03_journal","Krystian Król jest zamachowcem z ramienia Lechitów. Skrycie pragnie chwały i rozpoznawalności za swoje ""zasługi""."
"46730F9F48C49F9AA11000BA080BCD7E","lw_smc03_journal","Wykorzystując skłonności Krystiana, przekonałem go do skontaktowania mnie z Lechitami. Mam oczekiwać na odzew u siebie."
"1414BBD8449A301261BE82820CBA29C5","lw_smc03_journal","Lechici przystali na spotkanie. Podstawią w tym celu dorożkę na powiślańskim targu. Powinienem powiadomić Fejgina."
"BFCE86004D6FE6CA9E12D0A25BC39645","lw_smc03_journal","Wywiad doszedł do skutku. Mam nadzieję, że Fejgin dostał to, czego chciał."
"DCDD949C48CCCC98C41ACCB26B031B23","lw_smc03_journal","Leon, przywódca Lechitów, pod wpływem moich argumentów, przerwał wywiad  i wydał swoim ludziom rozkaz do walki. To był ich koniec."
"1C6CC08B420234BAE49635BD0A69A8B2","lw_smc03_journal","Gdy wywiad Fejgina dobiegał końca, na scenę wkroczyła Wanda. Wspólnie doprowadziliśmy sprawę Lechitów do końca."
"4DBC3C894A7B7D6B0E2ADAB4161D07DA","lw_smc03_journal","Gdy wywiad Fejgina miał się ku końcowi, na scenę wkroczył Żukow. Jego śledztwo, podobnie jak istnienie Lechitów, dobiegło kresu."
"A3323CA5447C47EFF0AC9586DD6C991D","lw_smc03_journal","Anons pod adresem niejakiego Wu.Esz, co? Sprytnie, Fejgin. Powinienem zobaczyć się z nim przed kawiarnią La Plume, nieopodal domu. Ciekawe, czego chce."
"49CB40B2413A0822BD625E8BA31E6D2A","lw_smc03_journal","Znajdź sposób na kontakt z Lechitami"
"C7190AAB4C8AD287D6DB79A055A474F3","lw_smc03_journal","Porozmawiaj z Woroninem"
"FCAC2FDE4895EFC504674B9874CCDDF2","lw_smc03_journal","Porozmawiaj z Wandą"
"7994D7A141E6B1F10A3EBA8DAC7B64EB","lw_smc03_journal","Podążaj za tropem myśli Żukowa"
"D85455DC49971A1D2C07E2A2A488957B","lw_smc03_journal","Podążaj za tropem myśli policjanta"
"D312E61748E9A1646AD874860189AA58","lw_smc03_journal","Podążaj za tropem myśli Krystiana"
"A2AB79A14D5FAF460D53A787E1492416","lw_smc03_journal","Poczekaj w domu na kontakt od Lechitów"
"5E144D53439FC1A9839F1687CBAC4608","lw_smc03_journal","Zatelefonuj do Tobiasza Fejgina"
"6B1DF8C64EAE75A770F810A02615D035","lw_smc03_journal","Udaj się z Fejginem na spotkanie z Lechitami"
"36F993E5402F2E45C48E8CA17D155A6F","lw_smc03_journal","Weź udział w wywiadzie"
"57DF53344ADD0ACB1D990CB88A373F03","lw_smc03_journal","Dowiedz się więcej o zamachu"
"A7FB490A41F656101E44459BC422F76C","lw_smc03_journal","Spotkaj się z Fejginem"
"4A55D83B456E4090158D05AD67DEF5D8","lw_smc03_journal","Porozmawiaj z Żukowem"
