"Hash","NodeName","PL","TR","Notes"
"4919C3794CEA289E8A150FB499CE3967","CinematicNode_Choice_12","Zapewnij, że nie dasz jej skrzywdzić.","Ona zarar gelmesine izin vermeyeceğini belirt.",""
"A851C59248471CC6485C91A0370D9168","CinematicNode_Choice_12","Zasugeruj, żeby zadzwoniła do naczelnika.","Naczelniğe telefon etmesini öner.",""
"94D09FE941124CA2705206A7788F203D","CinematicNode_Choice_12","Daj jej mówić.","Onun konuşmasına izin ver.",""
"F341364146CF295E616DD0BA15C4473D","CinematicNode_Choice_12","1","1",""
"FA931B684FC235073122C2996FFD6E8E","CinematicNode_Choice_12","2","2",""
"F974A7E149C1CBF3C207139FFAE44FD1","CinematicNode_Choice_12","3","3",""
"591E360C47AFDF6938E3ED813C8C7DCF","CinematicNode_Choice_14","Zapytaj, o sytuację w mieście.","Şehirdeki durumu sor.",""
"5A0F6F7847E0562B0C1DE39D0FAD50C7","CinematicNode_Choice_14","Zwróć uwagę na jej nerwowość.","Tedirginliğine dikkat çek.",""
"F15EA16843B50D8A55C5E9A179E0FD0F","CinematicNode_Choice_14","Dowiedz się, czy ktoś cię odwiedzał, kiedy byłeś nieprzytomny.","Bilinçsizken birinin seni ziyaret edip etmediğini öğren.",""
"46F91CAA4F8436D8E709BBB86ECD183A","CinematicNode_Choice_14","Porusz kwestię waszego sklepu na Mirowie.","Mirów'daki dükkânınız meselesini aç.",""
"68EB91764DCB48F8150E48BCCA3CAA91","CinematicNode_Choice_14","Dopytaj o Grażynę.","Grażyna'yı sor.",""
"6A09F11F43D98A8A4B9F7A92C19CF35A","CinematicNode_Choice_14","1","1",""
"22778A7A4EA7D60266A36FB75462FA43","CinematicNode_Choice_14","2","2",""
"28C79A83484A6187E32B9AA9687564DA","CinematicNode_Choice_14","3","3",""
"63985E6147560A0B796BADBBA1F2CCD6","CinematicNode_Choice_14","4","4",""
"A50497764E9B24159C5743B930BA9943","CinematicNode_Choice_14","5","5",""
"FFB73BED4449FD3FA079CC85D49BB585","CinematicNode_Choice_16","Powiedz, że nie zamierzałeś.","Niyetinin olmadığını söyle.",""
"7EA0013E4D55352EF213F5BEB2482CE4","CinematicNode_Choice_16","Oświadcz, że nie czujesz odpowiedzialności za sytuację w mieście.","Şehirdeki durumdan kendini sorumlu hissetmediğini ilan et.",""
"221BAC4C4719B452F206DDBBBBC65685","CinematicNode_Choice_16","Zauważ, że dopiero odzyskałeś przytomność.","Az önce kendine geldiğini belirt.",""
"E23FB8F64076581CFBDD08876F53F1A7","CinematicNode_Choice_16","1","1",""
"483B75C94E04F0E7D8B120A2DC86A8DC","CinematicNode_Choice_16","2","2",""
"8D58278147EB14EF98B2D9B9B3DA89E8","CinematicNode_Choice_16","3","3",""
"0CD241EE4262D3B9234CF5A4F7DA91D0","CinematicNode_Choice_7","Przyznaj, że lepiej niż myślałeś.","Düşündüğünden iyi olduğunu kabul et.",""
"2055110B46586A9DA8EB1A93A197C6ED","CinematicNode_Choice_7","Powiedz o koszmarze z ojcem.","Babanla yaşadığın kâbusu anlat.",""
"984680D64E3CB1B5F6FFC88B56498077","CinematicNode_Choice_7","Podziękuj, że się tobą zajęła.","Sana baktığı için teşekkür et.",""
"AB0E852341F7BE43C6242C8C21412C59","CinematicNode_Choice_7","1","1",""
"B83574B843C97226BC8DFBB5FC16446F","CinematicNode_Choice_7","2","2",""
"2EBE25F24FB9E25F3BAEC9BB50B69520","CinematicNode_Choice_7","3","3",""
"58148C8A4CA562C6B046888E13FBBBF1","CinematicNode_Choice_8","Zapytaj, co to za okazja.","Bu vesilenin ne olduğunu sor.",""
"91D285AD47FC1F1EB2159EA0668217BD","CinematicNode_Choice_8","Dowiedz się, czy to może być ""ogród na wschodzie"".","Bunun ""doğudaki bahçe"" olup olamayacağını öğren.",""
"A870E83C4171942A536FDF871B489B96","CinematicNode_Choice_8","1","1",""
"F479D1F34B6AA3E1A88EB9A2198B0294","CinematicNode_Choice_8","2","2",""
"14900D0740EA0903BDD10EA498EBE257","CinematicNode_Response_102","Nawet po śmierci, ojciec nie daje mi spokoju. Nie chciałem brać udziału w tej jego farsie. Wróciłem.","Babam ölümünden sonra bile beni rahat bırakmıyor. Onun saçmalığında yer almak istemedim. Geri döndüm.",""
