"Hash","NodeName","PL"
"44410B144EB47A63C7EBA89FCEB75821","CinematicNode_Choice_10","Powiedz, że sam się czasem nad tym zastanawiasz."
"D8F24EE147A77E2BE66C9F895CD0CE07","CinematicNode_Choice_10","Wyjaśnij, że to wszystko wina ludzi."
"995329C3491083DA62F589A6A4DFB665","CinematicNode_Choice_10","Powiedz, że Boga nie ma."
"8716BCC546EC7A777B42D2A233005461","CinematicNode_Choice_10","1"
"AA3A70E647C3D18D79F5638354C2AAF7","CinematicNode_Choice_10","2"
"758DB22C4879DD18F490A0A8C6DB67FA","CinematicNode_Choice_10","3"
"19474DBA4A8E1015F7E1B597C5F93CB5","CinematicNode_Choice_11","Przyznaj, że darem."
"B90A590C4D269270C7B7C183E44015C0","CinematicNode_Choice_11","Powiedz, że przekleństwem."
"D6FB1C3D4980524A0B830A9BF2C49652","CinematicNode_Choice_11","1"
"8A62E8BD4CB4B0D12B6F8AA5B4822A12","CinematicNode_Choice_11","2"
"7FC42E504ECCDADACEA2CA970D75CA28","CinematicNode_Choice_13","Pozostaw Skazę Szymkowi."
"34B4D8164F2167F6FA651DBB24AD8576","CinematicNode_Choice_13","Zabierz jego Skazę."
"01A0A33C464A2802FCC024B86310F6D4","CinematicNode_Choice_13","Zawahaj się."
"1701976D4C76CA661B139EA22FEC4753","CinematicNode_Choice_13","1"
"14C024C5482276C839F6A487BF627E4F","CinematicNode_Choice_13","2"
"AD5972D8444C0DDFC0C09B911B4BC389","CinematicNode_Choice_13","3"
"A711B8754AA0156252CCF49E2689380A","CinematicNode_Choice_14","Wytłumacz się."
"EB7911D24A1E7DA666EA74BB7A354530","CinematicNode_Choice_14","Nie odpowiadaj Rasputinowi."
"EAE874914A16D3604CC163A16B6DE252","CinematicNode_Choice_14","1"
"F3BFDE924D10E7AE9373B083BB536B29","CinematicNode_Choice_14","2"
"EB0AAD3E470E6CC9E7EBF1AB74A298CF","CinematicNode_Choice_15","Wytłumacz się."
"7BCA4E4C44F89E81F7B5FC9A76691847","CinematicNode_Choice_15","Nie odpowiadaj Rasputinowi."
"32C965014EC7C3341CD92ABF8FF8D514","CinematicNode_Choice_15","1"
"6E5483FB46C3E1C90528C6B92E8DE759","CinematicNode_Choice_15","2"
