"Hash","NodeName","PL","TR","Notes"
"8D1C54B94C986A5A85C5579BB990D939","CinematicNode_Choice_0","Roznamiętnij dozorcę w agresji przeciw zaborcy.","Kapıcıyı işgalciye karşı kışkırt.","thaumaturgia Manipulation"
"9FAF6760452566BE496ED795533B5718","CinematicNode_Choice_0","Zapytaj, czy pomoże ci przejść.","Geçmene yardım edip edemeyeceğini sor.",""
"2093BD5341A922974B3216988DAC9F23","CinematicNode_Choice_0","Ruszaj od razu na żołnierzy.","Doğrudan askerlerin üzerine yürü.",""
"A4774B05468147838024C8877D7AE172","CinematicNode_Choice_0","Wycofaj się.","Geri çekil.",""
"211740EE484FD8F3BD18A9A04F96AF2E","CinematicNode_Choice_0","1","1",""
"07C5845D40C9F99A0EAB908D0EB1A3C8","CinematicNode_Choice_0","2","2",""
"5414979046CF401CEBD56D98C1B6CFDD","CinematicNode_Choice_0","3","3",""
"EAFF18914FE44A30CA1600BB7B65AE01","CinematicNode_Choice_0","4","4",""
"5C51723346ACBA6D72112797661036DE","CinematicNode_Response_0","Powtarzam. Zejdźcie z drogi, to nikomu nic się nie stanie.","Tekrar ediyorum. Yoldan çekilin, kimseye bir şey olmayacak.","Rus asker"
"3E2C40B34D0CBA98EE727C9A61657616","CinematicNode_Response_0","Gdzie indziej poszli szczekać, psy kłamliwe. Mało wam było w tym roku? Znowu będziecie ludzi na bruk wywlekać i bić?","Başka yerde havlayın, yalancı köpekler. Bu yıl size yetmedi mi? Yine insanları sokağa sürükleyip dövecek misiniz?",""
"F4829F044D4676E554D221BBF765EA6D","CinematicNode_Response_0","Albo strzelać.","Ya da ateş edeceksiniz.",""
"FF14F8CF43FEAF5E0E0C8EAA3EF00A87","CinematicNode_Response_1","Co tu się stało? Myślałem, że macie to pod kontrolą.","Ne oldu burada? Kontrol sizdeydi sanıyordum.","Wiktor — kapıcıya"
"15E1E23D462DF0AB0CB498AFF8651EA5","CinematicNode_Response_1","Zaczęli strzelać. Kurwie syny. Znowu dzielnica spływa naszą krwią.","Ateş açtılar. Kahpe dölleri. Mahalle yine kanımızla yıkandı.",""
