"Hash","NodeName","PL"
"ED59EBA043A0C3AFCE0108AD9815B07E","CinematicNode_Choice_0","Wybierz młotek."
"311AC84741E0A30575E30CA28BA17F3C","CinematicNode_Choice_0","Wybierz obcęgi."
"2AFD6DAF4D3CB4F79ABEA99334B6FCC3","CinematicNode_Choice_0","Najpierw zapytaj, gdzie jest twój grymuar."
"0272F4F64F99020A1E699FAEBDE9A3C0","CinematicNode_Choice_0","Nic nie mów."
"5BF766A448B961B389251495B4374569","CinematicNode_Choice_0","1"
"8744DFC846E2C0A71FD7D2851527D3C4","CinematicNode_Choice_0","2"
"3F8909274E0024150A38ABAE4ECF40DE","CinematicNode_Choice_0","3"
"03CA91EB4567A22FDA8ACFBFC93E6AF9","CinematicNode_Choice_0","4"
"3BA1BB024B836903D94145AA9265DBBC","CinematicNode_Choice_1","Podsuń rozwiązanie."
"A5D620F340F8C20B47EAF496CA5A93D0","CinematicNode_Choice_1","Przekonaj ich przemocą."
"E3E57E6B41C662AC049D7A858BE8B933","CinematicNode_Choice_1","1"
"9549EFA84E30BB8B360195BACED854E2","CinematicNode_Choice_1","2"
"0F3564A944172DE2701FFDB7C7A1AC6B","CinematicNode_Choice_2","Zdradź, że przejrzałeś Czesława."
"E19A80294EAA3E83A4A23DAEF2432BE4","CinematicNode_Choice_2","Rozkaż, żeby oddali grymuar i puścili cię wolno."
"F07E8F9844313057EA623C96BD3EE6D0","CinematicNode_Choice_2","Powołaj się na wiedzę <i>wymacaną</> tu, w katowni."
"978946B849ABE8F387CA409855D21985","CinematicNode_Choice_2","Przekonaj ich przemocą."
"C7669F3B47F4CBD6C1EF48B0518206E9","CinematicNode_Choice_2","1"
"58B058D24DB3B1D59840AE91113A142C","CinematicNode_Choice_2","2"
"240633834096C36829EA8F87DF735634","CinematicNode_Choice_2","3"
"301EE8F24F606D361D58C1AC703EAF92","CinematicNode_Choice_2","4"
"A52C7BA9462CED2CF8308285B31D1D78","CinematicNode_Choice_3","Powiedz mu, co o nim myślisz."
"0D84BABB41F0FBC287F283ACAAB26E21","CinematicNode_Choice_3","Idź już."
"D152170F4AF9C1899E2A899F5A7BB152","CinematicNode_Choice_3","1"
"1F707A664353B863D1FC3BAF4AD36C96","CinematicNode_Choice_3","2"
"D4BC217B4C7D91ED24F56CA0B3A57BBC","CinematicNode_Choice_4","Przyznaj, że rozumiesz."
"4E7D39D743DF7A0952EFA68188F17869","CinematicNode_Choice_4","Powiedz, żeby ją zmienili."
"9CBC7721484F1768B942969A4739AE66","CinematicNode_Choice_4","Każ im powiedzieć dokładnie, kogo zamierzają aresztować."
"1E61762E402C91869A9802851DD8A632","CinematicNode_Choice_4","1"
"116CD71F4A8314AC1619A2BFCEEFD1C9","CinematicNode_Choice_4","2"
"12AE5C94409B94EDDCA340826C8ABD46","CinematicNode_Choice_4","3"
"542C897A41CD85E4C3E2A784E49F58BD","CinematicNode_Choice_5","Zadrwij, że przecież nie potrafią czytać."
"5F0B607A4C93813BBA63948BFB17F07C","CinematicNode_Choice_5","Ostrzeż ich, żeby nie igrali z jego potęgą."
"2987EB594C9746C1B43B919631A6B677","CinematicNode_Choice_5","1"
"230A73B54F17D2BE8CBD3E80EC89E8F3","CinematicNode_Choice_5","2"
"976F7BCC45EBFA54262F1DA8D149919E","CinematicNode_Response_0","Wiem, że działacie na własną rękę. I zrobicie wszystko, żeby naczelnik się nie dowiedział. Mylę się?"
"C4CCD498423B673125536BABB98C0841","CinematicNode_Response_1","Darujcie sobie, marni z was <dl>komedianci</>. Wiem, że Czesław to szpicel."
"91A997544DDD71FE8592059E9A22AB0C","CinematicNode_Response_1","Co?!"
"503FD64D41C46BE37044268083B6FC5F","CinematicNode_Response_1","Ale ten wybór między młotkiem, a obcęgami? Bardzo dobry, działa na wyobraźnię. Z Czesława żaden Hamlet, ale ty byłbyś dobrym Rozenkrancem. Albo Ofelią."
"97338ADE427AADC1EAF59DA8223DECB2","CinematicNode_Response_10","Iwan, a myślę, że mogę już tak mówić o naczelniku, nie będzie rad, kiedy się o tym wszystkim dowie."
"5C23C0A94BF43FEA5B395681532056ED","CinematicNode_Response_11","Mówcie lepiej do czyich drzwi pukają wasi ludzie?"
"348D2602418790B82942AAAA8EF3A634","CinematicNode_Response_11","Samuel Dickstein, Cecylia Górska, Polina Gawriłow..."
"4484B26E49DB70898A0A1A9FA6F1E61B","CinematicNode_Response_11","Wystarczy."
"38E91B3C403B93A31A2F439FBC39ECA2","CinematicNode_Response_12","On wszystko wie, wszystko rozczytał, przejrzał mnie. Zabijcie go!"
"593B9EB34528F3611B5B10ADFC319505","CinematicNode_Response_12","Bez grymuaru cię rozczytał?"
"789CFA5143881C55778619B524AF4EB8","CinematicNode_Response_12","I tak już za późno. Wyłapujemy ich w tej chwili, wszystkich twoich kolegów. Nie zdążysz powstrzymać tych aresztowań."
"34E6D5444D39F75770121394A3920A5C","CinematicNode_Response_12","Tracę cierpliwość. Gdzie grymuar?"
"A1D172AC4A6681CC1C0FD492BF77E7DD","CinematicNode_Response_12","Wyjdziesz ze swoją książka, po moim trupie."
"EC3351A14A469C6F58658393CF402536","CinematicNode_Response_13","Pan Szulski już przytomny, dobrze. Chcieliśmy zadać kilka pytań i nigdzie nam się nie śpieszy."
"75F10AFC49B51BDF983ADCA3615F6175","CinematicNode_Response_13","Ale najpierw, ten. Co, Czesław, od czego zaczniemy? Stopy, paznokcie, kolana?"
"4675533D423E0D5AA0AFAE9474B6AA0A","CinematicNode_Response_13","Błagam, panowie! Ja nic nie wiem, to jakaś pomyłka."
"082F843D45FC71639C669B8B487D353F","CinematicNode_Response_13","Czesław, Czesław. Wiemy o Dicksteinie, o studentkach i nawet o domu Szulskich wiemy."
"DEE510BB4FD811289EAE25AC6D8D917D","CinematicNode_Response_13","Wyłapujemy was po kolei, w tej chwili."
"77906A224C9E66891B1A2ABC4E2FD751","CinematicNode_Response_13","Wolisz młotek, czy obcęgi?"
