"Hash","NodeName","PL"
"A86E15A640CE82277403E4A88ADE7E08","CinematicNode_Choice_1","Każ im uważać na słowa."
"94D671AA4FEC36E649D9349ED63ACF2B","CinematicNode_Choice_1","Walcz o dorożkę."
"CF9BFC7840D190E62BB668963482284B","CinematicNode_Choice_1","Wycofaj się."
"7276774D45E4EC733B361AB2F9594894","CinematicNode_Choice_1","1"
"5A0885FE4A1DD371AA0C1A982E7BE2B9","CinematicNode_Choice_1","2"
"5A6E81104AB12DB5320E8282CD2ED7FE","CinematicNode_Choice_1","3"
"318919564C65E3DECC3424926582290F","CinematicNode_Response_1","<dl>Drynga, fiakier, bryka.</> Co, po ludzku nie rozumiesz?"
"B858692A4267839BC0C249AF6C54A8D4","CinematicNode_Response_1","Inaczej ci mamy wyjaśnić, żebyś spadał?"
"E18E271C43268AF5716656BB78A6B991","CinematicNode_Response_2","Gówno, magiku. Nie panosz się, bo cię odprowadzimy takim, co was na stos wsadzą."
"E9B203CF4E82ACC44E8F1C955B1DB5B0","CinematicNode_Response_2","Słyszałem, że już drewno zbierają."
"15CA69C847800C286CCDF9A29683FD30","CinematicNode_Response_3","Ta już zajęta."
"98B5441640E100171C0E2F80D99AFC26","CinematicNode_Response_3","Co?"
"E91D1C354555A6E75E1214B780D80E64","CinematicNode_Response_4","Odszczekaj to i może pozwolę wam żyć."
"5FED315C41174F5770EE6BB52CF2DB57","CinematicNode_Response_4","O, patrzcie go! O tym mówię. Porządnych obywateli prześladują! Szatańskie nasienie."
"CB1F33F84C71013BE416409CF7CB0F9D","CinematicNode_Response_5","Niestety, będę nalegał. Śpieszno mi."
"DA114B2B42DD172EFA95589FB267DCA9","CinematicNode_Response_5","Chyba do grobu."
"91A4590F4AB9AE2C646D68A55E5AB2A1","CinematicNode_Response_6","Zrozumiałem. Panowie jadą, ja się przejdę."
"2788D0354F7C5E63260F52893CF40C4F","CinematicNode_Response_7","Dobrze, magik zna swoje miejsce. W mig spotulniał."
"70311F84444F451BDE596292C763138D","CinematicNode_Response_7","Wie, co im się szykuje, to już nie kozaczy."
"B46904DB4244C6400483448F636D22E2","CinematicNode_Response_8","Nie jesteś stąd, to się pilnuj. No."
"29B354C04752A099BF45FBB4C32B7730","CinematicNode_Response_9","<dl>Dryndziarz</>, stój tu. To nie zajmie długo."
