"Key","Value"
"Progression.Unlocked.Effect.Deed.1","Złodziej myśli"
"Progression.Unlocked.Effect.Deed.2","Brutalność"
"Progression.Unlocked.Effect.Deed.3","Krwawa Odnowa"
"Progression.Unlocked.Effect.Deed.4","Osłabiająca rana"
"Progression.Unlocked.Effect.Deed.5","Sabotaż działań"
"Progression.Unlocked.Effect.Deed.6","Lokata"
"Progression.Unlocked.Effect.Deed.7","Żelazna skóra"
"Progression.Unlocked.Effect.Deed.8","Lecznicza medytacja"
"Progression.Unlocked.Effect.Heart.1","Hazard"
"Progression.Unlocked.Effect.Heart.2","Perfekcyjna efektywność"
"Progression.Unlocked.Effect.Heart.3","Zastrzyk adrenaliny"
"Progression.Unlocked.Effect.Heart.4","Oczywisty cel"
"Progression.Unlocked.Effect.Heart.5","Trzecia zasada"
"Progression.Unlocked.Effect.Heart.6","Kumulacja"
"Progression.Unlocked.Effect.Heart.7","Berserker"
"Progression.Unlocked.Effect.Heart.8","Podwojenie"
"Progression.Unlocked.Effect.Mind.1","Uspokojenie"
"Progression.Unlocked.Effect.Mind.2","Fartowna szansa"
"Progression.Unlocked.Effect.Mind.3","Lodowy pancerz"
"Progression.Unlocked.Effect.Mind.4","Usztywnienie ciała"
"Progression.Unlocked.Effect.Mind.5","Katalizator obrażeń"
"Progression.Unlocked.Effect.Mind.6","Lód"
"Progression.Unlocked.Effect.Mind.7","Furia"
"Progression.Unlocked.Effect.Mind.8","Wytrącenie z równowagi"
"Progression.Unlocked.Effect.Word.1","Fortuna"
"Progression.Unlocked.Effect.Word.2","Potężny umysł"
"Progression.Unlocked.Effect.Word.3","Przypadkowe uszkodzenie"
"Progression.Unlocked.Effect.Word.4","Perfekcyjne planowanie"
"Progression.Unlocked.Effect.Word.5","Nerwowe zdublowanie"
"Progression.Unlocked.Effect.Word.6","Słaby umysł"
"Progression.Unlocked.Effect.Word.7","Rozproszenie"
"Progression.Unlocked.Effect.Word.8","Nadejście Zimy"
