"Hash","NodeName","PL"
"01EE654040959CA9BACADEA4DEE8B07E","CinematicNode_Choice_1","Zapytaj, czy Mordechaj życzył ojcu śmierci."
"855C78E74A42F5DF1F63E6BC6D83D1F2","CinematicNode_Choice_1","Wróć do innych tematów."
"6EB01D474C0AB5E4D26FA6BFFF2595E2","CinematicNode_Choice_1","1"
"AB2AB8F24CC8C16634167DBCFA1E96EA","CinematicNode_Choice_1","2"
"C7396FED4702F09179A8AC9E66EBAC54","CinematicNode_Choice_10","Przyznaj, że Chajat pokazał ci to miejsce."
"C7FCC7FD43FFE4040A22B98A96F8FAFA","CinematicNode_Choice_10","Powiedz, że jesteś thaumaturgiem."
"7DC281884F99702486ADE4A107113B06","CinematicNode_Choice_10","1"
"C3C1EF8D4E477128B13462828B06A69E","CinematicNode_Choice_10","2"
"13257D7D430D2F0CD62FA49851B5DAB5","CinematicNode_Choice_11","Powiedz, że to kabalista."
"00A604C74A8CE47219D61B973D3B8AD4","CinematicNode_Choice_11","Powiedz, że to kryminalista."
"FC16EAC544BD44F3F60C9CB8034F9E29","CinematicNode_Choice_11","Powiedz, że to nieistotne."
"4D04F86F4D34B9E9950CEFAC912E08C6","CinematicNode_Choice_11","1"
"1D268FBF49235AB255FBD6AD46AD3D95","CinematicNode_Choice_11","2"
"CB3B7A6C48636640139405974DA79C8C","CinematicNode_Choice_11","3"
"FA2E24F54C20B5483A805293EB4C1F42","CinematicNode_Choice_12","Powiedz prawdę."
"47DF4F49444CB20DDF0181AAA2BEC839","CinematicNode_Choice_12","Oszczędź jej prawdy."
"DB96F93D438449041A61C2B73C2C6696","CinematicNode_Choice_12","1"
"E34F8BD340B1A2222C59F48F8F011DC0","CinematicNode_Choice_12","2"
"59E0FBB9440970C5AAEBE2877C2D4866","CinematicNode_Choice_13","Powiedz, że tak ustaliłeś."
"C1AA8D7E4061AB933265DB8CC79CA3CB","CinematicNode_Choice_13","Zapytaj, czy ci ufa."
"51374A1148745867212E1490582DDF2C","CinematicNode_Choice_13","1"
"222C25164569B7F3ACDC969038DB3D13","CinematicNode_Choice_13","2"
"2503B1194CF28CD56C8E3C9D4D6408BF","CinematicNode_Choice_14","Zapewnij, że nie pomyliłeś się."
"6D1C5DC74B8DE41EB91313A0C6DC7D3E","CinematicNode_Choice_14","Zapytaj, czy ci ufa."
"BC7AD68246C070CBE75D9EBF9048E25E","CinematicNode_Choice_14","1"
"E6A6DFF24F48E030DD2D33A994830D6E","CinematicNode_Choice_14","2"
"B7DDED57472DB68B10B99AB0370AF962","CinematicNode_Choice_15","Powiedz, że jak z tobą pójdzie, to uwierzy."
"85BEBB9745020F56A3EAC1A362A1A1D7","CinematicNode_Choice_15","Ponaglij ją."
