"Hash","NodeName","PL"
"7927FBCC4BD9E452F5CFA697467EE6EA","CinematicNode_Choice_0","Powiedz, żeby zeszli ci z drogi."
"A81C46CA4D566A899BF99BA3FC53BD69","CinematicNode_Choice_0","Utoruj sobie drogę przemocą."
"039FE7284787E21046EF959286A15D53","CinematicNode_Choice_0","Najpierw powiedz, co o tym sądzisz."
"BA0F0D3E4F4322C1A086E0B41DC37D24","CinematicNode_Choice_1","Przyznaj, że mają rację."
"65A6E6C9459A9C6DB8076EA1F1E56574","CinematicNode_Choice_1","Zakpij z nich."
"37AFE9214FBFD925A4172EA08FA62E9E","CinematicNode_Response_0","Ależ to było <i>czarujące</>. Spektakularne. Pan, z marsową miną i wypiętym torsem, i tamci, padający jak muchy w mgnieniu powieki!"
"877A2EB6479D7A02AF67ED9E4FE0CAD8","CinematicNode_Response_0"," Przewracający się sami z siebie, wpadający w <i>delirium</>... Niezwykłe."
"CF71824046305FADC6BDAC94930DC980","CinematicNode_Response_1","Ładnie proszę. Zejdźcie mi z drogi, pókim dobry."
"B86C13834BADEF09B13270AB5032EC95","CinematicNode_Response_10","To <i>tempermanta</>! Nie pozwólcie mu przejść!"
"8475953142A9AE9FAF5994AE7382AD15","CinematicNode_Response_11","A teraz, chciałbym przejść."
"6F65F3994BE54736D512389A062BBCEB","CinematicNode_Response_11","Nie, dalej nie postąpisz."
"517F1CF0439313BA3652B79E5F4E414D","CinematicNode_Response_12","Brać go! Ogniem i mieczem, heretyka!"
"CD8F2CE040639B2409861F8405BDD66E","CinematicNode_Response_13","Dziękuję, ale już jestem spóźniony."
"A882F2D74990C952FEDC589065CDCEBC","CinematicNode_Response_14","Konstancja Szabłowska, Kurjer Warszawski. Czy nie zechciałby pan udzielić wywiadu?"
"D86E04BB4B7B15B22BC84AB4EA103486","CinematicNode_Response_2","Szkoda czasu na dobre maniery."
"F9A67EF348EA314BD17AE2B4914D2FD3","CinematicNode_Response_3","Przepraszam, mogę? Spieszę się na pogrzeb."
"95E6C906485A54F6DF2692A532E6DEFD","CinematicNode_Response_4"," Czy możemy się umówić na wywiad?"
"28BFB5B44AA579884133E1848D65CDEC","CinematicNode_Response_5","Szatana chowają, na poświęconej ziemi!"
"3479C5E54E394C99682306821AB77363","CinematicNode_Response_5","Niektórzy tu obecni uważają, że to świętokradztwo. Konstancja Szabłowska, Kurjer Warszawski."
"5EAD026D4E9B944E880157B9E1BEC0FD","CinematicNode_Response_5","Jakie jest pańskie zdanie, zważywszy na księgę przy pana boku?"
"B8AA5AB5474E6505CEE37DBBD08F5F86","CinematicNode_Response_6","Przepraszam, co się tutaj dzieje?"
"89C906A646773B18CFDBD7A482EC185C","CinematicNode_Response_7","Proszę mnie potem zacytować."
"524BC7FE4F6B29F8D2EF0ABE510A47DC","CinematicNode_Response_8","To prawda, człowiek, składany teraz do ziemi, był faktycznie wcieleniem szatana."
"DEBA8EDF445E2EE47B0053A5387D9D7B","CinematicNode_Response_8","Doprawdy?"
"F64E838C40064B435475F98C6077CBA4","CinematicNode_Response_9","Ci ludzie, z tym panem na czele, to skończeni idioci. Wszyscy dobrze wiedzą, że thaumaturgów śmierć się nie ima."
"F8A3725E451FA7777BC5BE8C27002417","CinematicNode_Response_9","Coś takiego."
