"Hash","NodeName","PL"
"DC6643874AABE01208FD6F83C4FF40B4","CinematicNode_Choice_1","Spróbuj go przekonać."
"155AADD6470E8B8A299FE68122F621FF","CinematicNode_Choice_1","Odegnaj znużenie woźnicy."
"6F6395664953D566ED2EDFBDB4E9E235","CinematicNode_Choice_1","Odejdź."
"88BE104A4F18ADF9E1D692B7C542076D","CinematicNode_Response_0","Nigdzie nie jadę."
"40C05468492401AA8DDBE483F04E623E","CinematicNode_Response_10","Może pan jeszcze posłucha, co mam panu do zaoferowania za tę podróż?"
"5CCE0E994EED9BF8CAF036BA43DBA9F3","CinematicNode_Response_10","Mnie to tam w zasadzie nic nie brakuje. Poza jakim ciekawym zajęciem może... Ale słucham."
"4DD55C234014D670295030BB0F07EE35","CinematicNode_Response_11","Tutaj się nie ma co rozglądać, to już wszystko. Trudno się tu zgubić."
"58737CDA4A52EFE664CF85AD903C53BA","CinematicNode_Response_11","Pan zajdzie do gospody, tam, za tym placykiem, po schodkach. Tam panu powiedzą, gdzie ten kaznodzieja. Albo i o tej porze, to i on sam tam będzie."
"1CADB88F4257B8596480E38AF823BA3D","CinematicNode_Response_11","Dziękuję."
"C1BA647D4EF041A7D53252BB58D2483F","CinematicNode_Response_6"," Przepraszam, potrzebuję dostać się na tutejszy cmentarz, zawiezie mnie pan?"
"4C566BB84168C670FB5370B84CC120AB","CinematicNode_Response_6","Dopiero wróciłem rano z pocztą, nie będę koni znowu gnał. Jeszcze na cmentarz? Stamtąd nikt panu nie ucieknie. O, a koń ledwo zipie, zobacz pan."
"4CC22D0F45533C60EF893C8006F762D7","CinematicNode_Response_7","Może skuszę pana wysokością zapłaty?"
"DAEF98F244FD76D3317DA4BBE218E4E2","CinematicNode_Response_7","Panie, na mój czas wolny, to ceny nie ma. Nie robię, to nie robię."
"E7D1BD164674347D01723B9A3431E4F9","CinematicNode_Response_8","Jeszcze do pana wrócę."
"BE175074488037926B595E8F3BBDD336","CinematicNode_Response_9","Może zmieni pan zdanie i podrzuci mnie jednak na cmentarz?"
"0C1C81CF4EEBC32EEF287DAD52D3CA44","CinematicNode_Response_9","No, z drugiej strony... Tutaj nie dzieje się w zasadzie wiele więcej jak na cmentarzu, a przecież i tak miał się konik wybiegać, więc... Wsiadaj pan."
