"Hash","NodeName","PL","TR","Notes"
"1ECCEB774B75A2A1F7FC5A8D4A2E38DF","pw_vset_prostitute_f_02","Co to za zjawisko do nas zawitało?","Bize ne harika bir misafir teşrif etmiş?",""
"684E0D644798F12F6F78AEABFADA4DA9","pw_vset_prostitute_f_02","No chodź tu, nie wstydź się.","Hadi gel buraya, utanma.",""
"3F1EDEF74121B33CCEA80388AE4440FB","pw_vset_prostitute_f_02","Takich wytwornych panów to się tu nie widuje.","Böyle kibar beyleri pek görmeyiz buralarda.",""
"13C0F84C4B5F93D2E841639B0411FD45","pw_vset_prostitute_f_02","Bez wstydu, kawalerze.","Utanmadan gel bey delikanlı.",""
"7CD67B8D4BD396F4FC2049B6260F23D6","pw_vset_prostitute_f_02","Rozdziewiczyć cię, <dl>pędraczku</>?","Bekâretini bozayım mı, <dl>civcivim</>?",""
"4490BF834561B541514D89A7A88066A4","pw_vset_prostitute_f_02","No chodź, skradnę ci wianuszek.","Hadi gel, çelengini çalıvereyim.",""
"A1E239A74658472783B17A9D45045C49","pw_vset_prostitute_f_02","Pokazać ci tatuaże?","Dövmelerimi göstereyim mi sana?",""
"2FC7DA054CE8520C70DEB1B2D91D18E8","pw_vset_prostitute_f_02","U mnie pełny zestaw, od stukanka do skrobanka.","Bende tam takım: ayaküstünden kürtaja kadar.",""
"53893BC8494393E6CA33A780A1BBE3E1","pw_vset_prostitute_f_02","Czujesz? To powiślana ambrozja.","Kokluyor musun? Powiśle ambrosyası bu.",""
"03AA9909432C15B97440C3A013E55F0E","pw_vset_prostitute_f_02","U mnie w udach lepiej niż u niejednej w kroku.","Benim baldırlarımın arası, çoğunun apışarasından âlâdır.",""
"5CFDB69F4575C1BADD07CE906DAD2B6F","pw_vset_prostitute_f_02","Wczoraj myte było.","Dün yıkanmıştı.",""
"6569C140445A37756D0884AC904EF7C5","pw_vset_prostitute_f_02","Wielu tu było, wielu chwaliło. Zawsze wracają, bo mało mają.","Çoğu geldi, çoğu övdü. Hepsi geri döner, doyamadıklarından.",""
