"Hash","NodeName","PL","TR","Notes"
"DBA4195748B3A6D0DCDBC684AC262DE3","CinematicNode_Choice_0","Powiedz, że teraz mają do czynienia z prawdziwym thaumaturgiem.","Artık gerçek bir tılsımkârla karşı karşıya olduklarını söyle.",""
"768E1C3047A0B9F9584450AA041388B4","CinematicNode_Choice_0","Stań po stronie Romana.","Roman'ın yanında dur.",""
"936C9CE94C53787870E26E9CC5EE6897","CinematicNode_Choice_0","Wycofaj się.","Geri çekil.",""
"4D9831FC4DD5F65408464D940D678203","CinematicNode_Choice_0","1","1",""
"8AEE8B59495D805AEBE86CAFDB8502A3","CinematicNode_Choice_0","2","2",""
"833BB7034D09F9056502459D5ACB2CF4","CinematicNode_Choice_0","3","3",""
"D2BA14A64ED33F24FCAA369B83009A45","CinematicNode_Choice_1","Nic nie mów.","Hiçbir şey söyleme.",""
"48C3BB754B257FA2479B4C9DC13F15D9","CinematicNode_Choice_1","1","1",""
"A0D79C104C6619055DD1359EDA552233","CinematicNode_Choice_1","2","2",""
"5075C82948183E843DA96FB39E4F27F6","CinematicNode_Choice_2","Przeproś go za swoje wcześniejsze słowa.","Önceki sözlerin için özür dile.",""
"14ACDC9D4DBB76651970EE91CB2FAD89","CinematicNode_Choice_2","Wydaj mu królewski rozkaz, aby znalazł schronienie.","Sığınak bulması için ona kraliyet emri ver.",""
"228C36194410FD05C178F9819A51C1A6","CinematicNode_Choice_2","Pożegnaj się.","Vedalaş.",""
"FC41C4F04463BFC148B17C82ADF9973E","CinematicNode_Choice_2","1","1",""
"82311955498300E8A75E5EAB5FCF33B3","CinematicNode_Choice_2","2","2",""
"8565BDCA47124D7CC18768A1FCDF36E6","CinematicNode_Choice_2","3","3",""
"94282A0546588C569E023FBFC8F21951","CinematicNode_Response_1","Zaiste, twoja moc jest potężna, ale jesteś także potężnym tchórzem. W imieniu nas wszystkich, odbieram ci tytuł i tron.","Gerçekten, gücün büyük, ama aynı zamanda büyük bir korkaksın. Hepimiz adına, unvanını ve tahtını senden geri alıyorum.",""
"4AE313D64EFA87CA2713CCBADC4F30A7","CinematicNode_Response_10","<i>Král Tempermantów</>! Wasza Wysokość, przybyłeś!","<i>Tempermantların Kralı</>! Majesteleri, geldiniz!",""
"69B42CDF4064D654E68EE0BCF2309212","CinematicNode_Response_10","Słyszałeś? Króla mają magiki! Za takiego, to sami dostaniemy od Skałona po koronie.","Duydun mu? Büyücülerin bir Kralı varmış! Böyle biri için Skałon'dan başımıza bir şeyler yer biz.",""
"88454B1C44A463227E5E068A38068436","CinematicNode_Response_13","Nie mam na to czasu.","Bunun için zamanım yok.",""
"08CAEAC34AF068249E1E4A9E6D2CB3D4","CinematicNode_Response_13","Ale... tempermanta nigdy się nie poddaje. Nigdy.","Ama... tempermant asla teslim olmaz. Asla.",""
"9018B57845210B80956AA08C44E6FCDD","CinematicNode_Response_13","Nigdzie nie idziesz. Ja cię znam. Ty jesteś Szulski. Poszukiwany.","Hiçbir yere gidemezsin. Seni tanıyorum. Sen Szulski'sin. Aranıyorsun.",""
"5CD2D6A1457297E6E705DB97503EF4F7","CinematicNode_Response_13","<ru>Berem</> obu!","<ru>Berem</> ikisini!",""
"B1C51548497BB810A6CC69AE47BC7F3B","CinematicNode_Response_14","Zawiodłem się na tobie, Wiktorze Szulski. Może i jesteś tak potężny, jak mówią, ale honoru w tobie dopatrzyć się nie mogę.","Senden hayal kırıklığına uğradım, Wiktor Szulski. Söyledikleri kadar güçlü olabilirsin, ama sende şeref göremiyorum.",""
"B1BEB5EA42360503A4F92CA257EBBAD8","CinematicNode_Response_14","Tempermanta nigdy nie ucieka od walki, kiedy Zło zagraża słabszym.","Tempermant, Kötülük güçsüzleri tehdit ederken savaştan asla kaçmaz.",""
