"Key","Value"
"NewFact","Spostrzeżenie:"
"NewConclusion","Wniosek:"
"NewFlaw","Przejmujesz nową Skazę:"
"CombatAction_DeadTarget","Wróg pokonany"
"CombatAction_Interrupted","Przerwano"
"NewConclusion_Button","Pokaż Wnioski"
"NewFact_Button","Pokaż Spostrzeżenia"
"CombatAction_RemoveAction","Działanie zaniechane"
"Reinforcement_NextRound","Posiłki przybędą w następnej rundzie"
"CombatAction_Cancel","Anulowano"
"Reinforcement","Wrogie posiłki są w drodze"
"SaveBlocked_1","Zapis gry niemożliwy"
"SaveBlocked_2","Obecnie nie można zapisać gry"
"LoadBlocked_1","Wczytanie gry niemożliwe"
"LoadBlocked_2","Obecnie nie można wczytać gry"
"NewProgressionUpgrades_Title","Rozwijasz:"
"DifficultyLevel_Title","Poziom trudności"
"PopupCommon_Button","Kontynuuj"
"NewInsight_Title","Spostrzeżenie"
"Consequences","Podjęte wcześniej wybory doprowadziły cię do obecnej sytuacji."
"DifficultyLevel_Button_1","Walka jest łatwiejsza. Tryb dla osób pragnących skupić się na fabule."
"DifficultyLevel_Button_2","Walka stawia wyzwanie, jednocześnie umożliwiając dużą swobodę."
"PopupCommon_Next","Dalej"
"PopupCommon_Begin","Rozpocznij"
"ObjectiveUpdated","Aktualizujesz dziennik"
"Progression_Title","Rozwijasz:"
"QuestCompleted","Kończysz zadanie"
"Experience","Doświadczenie"
"StartBoard_1","<b>Thaumata</> to słowo wywodzące się z greki. Oznacza <b>""cuda""</>.

Thaumaturg, lub też <b>tempermanta</>, to ktoś zdolny do odkrywania sekretów ludzi i miejsc. Rozpoznaje Skazy, czyli piętno odciśnięte na ludzkiej psyche i może je zeń wydobyć na powierzchnię. Czy jest zatem lekarzem dusz?"
"StartBoard_2","<b>Nie da się w pełni pojąć istoty bycia thaumaturgiem, nie rodząc się jednym z nich.</>"
"ProgressionPoints","Punkty Thaumaturgii"
"ProgressionPoint","Punkt Thaumaturgii"
"Saving","Zapisywanie"
"InsiteFormatConnector","Spostrzeżenie: {insightname}
nosi {imprintstate}: {owner}"
"ItemAdded","Podnosisz:"
"ItemRemoved","Oddajesz:"
"Imprint_Discovered","Ślad znajomy"
"Imprint_OwnerRevealed","Ślad pewny"
"Imprint_Undiscovered","Ślad nieznany"
"ConfirmationPopup","Czy chcesz udać się w wybrane miejsce?"
"Conclusion","Wniosek"
"Expand","Rozwiń"
"Imprint_DiscoveredName","Ślad znajomy - {name}"
"Imprint_OwnerRevealed_Name","Ślad pewny - {name}"
"EndPrologueBoard","Wiktorze,

tata nie żyje. Będę odwlekać pogrzeb. Liczę, że zdążysz do Warszawy na czas. Mam nadzieję, żeś zdrów i cały. Że nic Ci na drodze nie stanie, żeby go pożegnać.

Ligia
"
"PopupCommon_ButtonManipulate","Zmanipuluj"
"LogEntry","Dodajesz wpis:"
"LocationYear_q001","31 sierpnia 1905"
"LocationYear_q101","7 września 1905"
"LocationYear_Warsaw","Warszawa"
"LocationYear_Causacus","Zakaukazie"
"PointsUnlocked_Unlocked","Zdobywasz"
"PointsUnlocked_ProgressionPoint","Punkt Thaumaturgii"
"LogEntry_PerceptionAvailable","Dostepna Percepcja:"
"LogEntry_Flaw","Przejmujesz Skazę:"
"NewQuest","Otrzymujesz zadanie:"
"PopupCommon_Show","Pokaż"
"NewInsight_Undiscovered_Info","Podejdź i odkryj tajemnicę drzemiącą w przedmiocie."
"NewInsight_Undiscovered","Ukryte spostrzeżenie"
"LocationYear_q401_pps_dead","12 października 1905"
"LocationYear_q401_with_rasputin","17 lutego 1906"
