"Hash","NodeName","PL","TR","Notes"
"DAC0629647FA24074A5299B31094A415","IC_q202","Rodzinne sekrety","Aile Sırları",""
"17AFF4F04F3BAF03597FF29CC1A1E606","IC_q202","Podejrzany adres i wiadomość, którą mógł odczytać tylko inny thaumaturg. Pachnie tajemnicą, pachnie spiskiem. Dokładnie o czymś takim mówił Konieczkin i Swietłana. Powinienem to sprawdzić.","Şüpheli bir adres ve yalnız başka bir tılsımkârın okuyabileceği bir mesaj. Sırların, komploların kokusunu taşıyor. Konieczkin ile Swietłana tam böyle bir şeyden bahsediyordu. Bunu kontrol etmem gerek.",""
"0E90A3284CA3AB58C047288D855510E7","IC_q202","Dokumenty własności ","Mülk Belgeleri ",""
"04A767854999A30B1C179C9924EDF43E","IC_q202","Wykaz nieruchomości należących do ojca. Dużo ich, ale większość to znane adresy w mieście i poza nim. Oprócz jednego.","Babama ait gayrimenkullerin listesi. Pek çoğu var; ama büyük çoğunluğu şehirdeki ve dışındaki bilinen adresler. Bir tanesi hariç.",""
"D8022A7E44CAD70E500EBEB801B27A36","IC_q202","Pudełko","Kutu",""
"163CD2904856B6616212839D9364DDDE","IC_q202","Zwykłe drewniane pudełko. Nic specjalnego.","Sıradan bir tahta kutu. Özel bir şey değil.",""
"E9DC01754C4D475BE53265A1109AED82","IC_q202","Umysł","Akıl",""
"234741234F88B2CAE04ADF8246085AEA","IC_q202","Pudełko niby jest puste, a jednak na jego dnie spoczywa klarowna i precyzyjna myśl. Nie zostawiono jej tu przypadkiem. Została ułożona starannie, wprawnym umysłem thaumaturga. Wiadomość brzmi lakonicznie: “Spotkajmy się”.","Kutu sözüm ona boş; ne ki dibinde berrak ve isabetli bir düşünce yatıyor. Tesadüfen buraya bırakılmamış. Bir tılsımkârın usta zihni tarafından özenle yerleştirilmiş. Mesaj özlü: “Buluşalım”.",""
"6928171E4E9890D7E9ED87A53B5521E6","IC_q202","Smutni panowie","Suratsız Beyler",""
"A0612C6E4936011D7A3A8EB9C4902A63","IC_q202","Wygląda na to, że Konieczkin wysłał za mną swoich ludzi. Komplement czy afront? Trudno ocenić. Panowie są wyraźnie zniesmaczeni zadaniem i chętnie wróciliby do naczelnika z pikantnymi szczegółami dotyczącymi mojego życia. Mógłbym ich przekonać, że robota jest skończona.","Görünüşe göre Konieczkin peşime adamlarını yollamış. İltifat mı, hakaret mi? Söylemek zor. Beyler görevden belirgin biçimde tiksinmiş; hayatımla ilgili çarpıcı ayrıntılarla amire dönmek için can atıyorlar. İşin bittiğine onları ikna edebilirim.",""
"593BDFA047AC2E3426A4E2AE53FD9EB9","IC_q202","Niedopałek papierosa","Sigara İzmariti",""
"EBB8FD28418FEB86947A9D950867A257","IC_q202","Precyzyjnie skręcona cygareta. Ktoś tu ma wprawę.","Titizlikle sarılmış bir sigara. Burada biri usta.",""
"9CCFF1B641950F6DD0FCDF849E5D4BF1","IC_q202","Umysł","Akıl",""
"216D732B4727DECE09D0ABB0452290D9","IC_q202","Idealnie skręcony niedopałek oplatają myśli gorzkie jak podłej jakości tytoń. Przepalone pretensją o pewność jutra. Wygodny dom. Elegancki strój. Rzeczy, których nie zapewni skromna pensja agenta Ochrany. Rzeczy, o których może on jedynie marzyć.","Kusursuzca sarılmış izmariti, kalitesiz tütün kadar acı düşünceler sarıyor. Yarının güvencesi için duyulan kırgınlıkla yanmış. Konforlu bir ev. Şık bir giysi. Sıradan bir Ochrana ajan maaşının karşılayamayacağı şeyler. Yalnızca hayalini kurabileceği şeyler.",""
"7F3CED1D4C1A487F6EA5A38D76133118","IC_q202","Gazeta","Gazete",""
