"Hash","NodeName","PL"
"14C15A2143BDDEF04E01C7A16719A7D5","CinematicNode_Choice_0","Powiedz, że tak."
"C81D2706499C82B87D03918944A62BF2","CinematicNode_Choice_0","Powiedz, że nie znasz tego dziecka."
"5654FEA043A2849B0BFADD9862B84B3C","CinematicNode_Choice_0","1"
"FA44276F4F1F9CC69D118EB9E93F85C4","CinematicNode_Choice_0","2"
"71C71FAE43B2A5F8EF163384F7FB85D4","CinematicNode_Choice_1","Wytknij mu, że nie wierzył w twoje ""rzucanie uroków""."
"496B27154F599C1DB97B8B9E3217D6D6","CinematicNode_Choice_1","Idź z Pielewinem."
"D760B32A4F9F6820154482976A2E28AD","CinematicNode_Choice_1","1"
"EAFA6DA841CDF43A7B8D1F88CCCF6A87","CinematicNode_Choice_1","2"
"C44A6025476C1B35CFCC5D9488C1EDEE","CinematicNode_Choice_2","Wznieć w Pielewinie wolę walki."
"20679F4D48A6C28E78348AA55BE96E00","CinematicNode_Choice_2","Pokaż Pielewinowi zdobyty haczyk."
"0F39BFAA4C657E335D0076AFC221A776","CinematicNode_Choice_2","Drąż temat ostatniej ofiary."
"CCB098B34E356952726AF4A04A75720A","CinematicNode_Choice_2","Zarządaj widzenia z Kajetanem."
"20E8CBD940722B6750052F811B14CA82","CinematicNode_Choice_2","Odejdź."
"F11C178A43C8E9E205C0CD981DAD34A0","CinematicNode_Choice_2","1"
"00FE71254257EC51BB3C6599453CB2ED","CinematicNode_Choice_2","2"
"ED07660147F5BEF847FF838C524478FB","CinematicNode_Choice_2","3"
"FDF792554E5BE466B5556D818E2F4556","CinematicNode_Choice_2","4"
"7B96E07543699265D78981A02F9547A6","CinematicNode_Choice_2","5"
"FD3BA5E84B430A4F7DC5D38ACB58D435","CinematicNode_Choice_3","Opowiedz, czego się dowiedziałeś do tej pory."
"E80E1C2C49BEB801186125B02F3EE36F","CinematicNode_Choice_3","Odejdź."
"0375F770425CA3114676CB873F28EE7A","CinematicNode_Choice_3","1"
"9BE6B8124301A0095DA8EBB1BAFF4051","CinematicNode_Choice_3","2"
"68AE5DC54A9361438230CC993A6ACC84","CinematicNode_Choice_4","Oznajmij, że znalazłeś kryjówkę Rybaka."
"E7139C8946E90048E7594D84AD183CAB","CinematicNode_Choice_4","Wspomnij tożsamość Rybaka."
"668296C24888E1A53049B3BC70809A3F","CinematicNode_Choice_4","Dowiedz się, gdzie jest Piotrek."
"55BE98104F9908F7E37A879C0E8C796D","CinematicNode_Choice_4","Dowiedz się, czy był tu Piotrek."
"72FBF807401E5CF4C48448AA2CC08C9A","CinematicNode_Choice_4","Odejdź."
"76FAE75C4F1F6BDA6D8D098F886596A9","CinematicNode_Choice_4","1"
"D5EF35BD4F326439121A08982471AC32","CinematicNode_Choice_4","2"
"B56C438B45C0D4E94E0C70B356A3515D","CinematicNode_Choice_4","3"
"08467DB641A9E10BF888628C8D100BAE","CinematicNode_Choice_4","4"
"71A6C12E42C6830DBBA80C9A394F6819","CinematicNode_Choice_4","5"
"91374756427D65613344F9916E4F75CB","CinematicNode_Choice_5","Powiedz, że jesteś gotowy."
"272F89104588A6F75948F4AF1EA4EA5E","CinematicNode_Choice_5","Wstrzymaj się jeszcze."
"4321B59D4ABA6C792C6D4A99F24B1077","CinematicNode_Choice_5","1"
"2636DE934DB42B4DBFB561ABA8D8A6DE","CinematicNode_Choice_5","2"
"8C4E1590413A32F1A616B9A04210B6A8","CinematicNode_Choice_6","Porusz temat obrączki."
"4BD60C0A418FE967978D65817685F00F","CinematicNode_Choice_6","Porusz temat lupanaru."
"4F7C3A424C24D6003958538D1A83224C","CinematicNode_Choice_6","Odejdź."
"F8FBFD344F6F96668D5EE6A95863C1F7","CinematicNode_Choice_6","1"
"CEBDE0D74E9E02220E8CB18052700FC3","CinematicNode_Choice_6","2"
"1EE61EC54552583C9F5C6591E733F6E8","CinematicNode_Choice_6","3"
