"Hash","NodeName","PL","TR","Notes"
"C8070D484C21A456C18A899E2E2DFBB9","lw_cm01_journal","Oni żyją","Yaşıyorlar","Görev başlığı"
"C904A3874CCCBFF06A8B7FB38DC3B44E","lw_cm01_journal","Coś się dzieje pod rodzinnym grobowcem. Grabarz zamknął cmentarz dla odwiedzających, abym mógł się temu przyjrzeć.","Aile mezarımızın altında bir şeyler dönüyor. Mezarcı, meseleye bakabilmem için mezarlığı ziyaretçilere kapattı.",""
"6AEC7C2C442F4D7BB1D076B0B51F5364","lw_cm01_journal","Warszawskie Towarzystwo Antythaumaturgiczne, o którym nigdy wcześniej nie słyszałem, postanowiło uprzykrzyć mi życie. Powinienem ich znaleźć.","Daha önce adını hiç duymadığım Varşova Tılsımkâr Karşıtı Cemiyeti hayatımı zora sokmaya karar vermiş. Onları bulmalıyım.","WTA (Factions DT tutarlı)"
"15B9781D427A47D48E43938E0CBE02F3","lw_cm01_journal","Najprostsze rozwiązania są zwykle najlepsze. Nie chcąc marnować z WTA więcej czasu, wyprowadziłem z cmentarza urnę z prochami ojca.","En basit çözümler çoğu kez en iyisidir. WTA ile daha fazla vakit kaybetmek istemeyip babamın küllerinin bulunduğu kabı mezarlıktan çıkardım.",""
"CB4519B646F597B8D874289622DA4C95","lw_cm01_journal","Nie chcąc tracić ani chwili dłużej, w sprawie WTA sięgnąłem po dobrą, sprawdzoną przemoc.","Bir an dahi kaybetmek istemeyip WTA meselesinde denenmiş, köhne şiddete başvurdum.",""
"EE7AD0A64E992B1A2EDC2C8DE7FB5AD3","lw_cm01_journal","A więc zwłokom w wędrówkach pomaga pomocnik grabarza, Lech. Grabarz polecił mi go odszukać na Placu Zielonym.","Demek cesetlerin gezinmesine mezarcının yardımcısı Lech destek oluyor. Mezarcı onu Yeşil Meydan'da aramamı tavsiye etti.",""
"247DE3FF4223A18EF983F18E0A517499","lw_cm01_journal","Włodzimierz, przewodniczący WTA, nosił Skazę zrodzoną z poczucia krzywdy ze strony thaumaturga. Skaza popychała go do obrania metod tak kontrowersyjnych, że nawet Światowe Towarzystwo Antythaumaturgiczne nie chciało mieć z WTA nic wspólnego.","WTA başkanı Włodzimierz, bir tılsımkârdan gördüğü haksızlık duygusundan doğmuş bir Kusur taşıyordu. Kusur, onu öyle tartışmalı yöntemlere itiyordu ki Dünya Tılsımkâr Karşıtı Cemiyeti bile WTA ile herhangi bir bağ kurmak istemiyordu.",""
"628203A3471A5A2411F76688F18EDB48","lw_cm01_journal","""Ożywające zwłoki"" okazały się inscenizacją zaplanowaną przez przewodniczącego WTA w celu nastawienia ludzi negatywnie do thaumaturgii.","""Dirilen cesetler"", WTA başkanının tılsımkârlığa karşı halkı olumsuz etkilemek için tezgâhladığı bir sahne çıktı.",""
"B263279643C1610B9CA2E0A2357552AD","lw_cm01_journal","WTA miało w swoich szeregach szpicla Ochrany, Mieczysławę. Wydałem ją przewodniczącemu w zamian za zakończenie problemów z fanatykami.","WTA'nın saflarında Ochrana muhbiri Mieczysława varmış. Fanatiklerle sorunların bitmesi karşılığında onu başkana ihbar ettim.",""
"13CEF70B4F5DC4F8087ADCB318745302","lw_cm01_journal","WTA miało w swoich szeregach szpicla Ochrany, Mieczysławę, która okazała się pomocna w pozbyciu się problemu. Przekazałem jej dowód na kolaborację Włodzimierza z podziemiem. To powinno rozwiązać sprawę.","WTA'nın saflarında Ochrana muhbiri Mieczysława varmış; sorunu ortadan kaldırmakta faydalı çıktı. Włodzimierz'in yeraltı ile iş birliği yaptığına dair kanıtı ona ilettim. Bu meseleyi çözmeye yeter.",""
"AE397F344A704365D49604A5B8228FFF","lw_cm01_journal","Zbadaj okolice grobu Szulskich","Szulski mezarının çevresini araştır","Quest objective"
"8C7C7F4345572F97EB08AA8810CB000A","lw_cm01_journal","Odkryj prowodyrów zamieszania","Kargaşanın elebaşlarını ortaya çıkar",""
"772F6CB649D2E982E248C39B453388EE","lw_cm01_journal","Odwiedź cmentarz w nocy","Mezarlığı geceleyin ziyaret et",""
"CF56B3D74A53A4CAD54283AB186B4107","lw_cm01_journal","Znajdź sposób na WTA","WTA'ya karşı bir yol bul",""
"1BD0CC794E0A3F86FEECA382687E3282","lw_cm01_journal","Zbadaj sprawę ożywających zwłok","Dirilen cesetler meselesini araştır",""
"0FEC94964893D45BDA4B35AAA9DCBCC4","lw_cm01_journal","Wręcz Mieczysławie list obciążający Włodzimierza","Mieczysława'ya Włodzimierz'i suçlayan mektubu ver",""
"4A069A6D451110DCBEB15E90DE0E5DF8","lw_cm01_journal","Podążaj za tropem myśli Mieczysławy","Mieczysława'nın düşüncelerinin izini sür",""
"128B85C04660538D99631ABFE3A0CED0","lw_cm01_journal","Porozmawiaj z grabarzem","Mezarcı ile konuş",""
