"Hash","NodeName","PL"
"F31B5C1F41E8F97410E8F884014B9F2A","CinematicNode_Choice_0","Przejdź od razu do walki."
"21097AF3447C9FF5C2BAB6B514608FCF","CinematicNode_Choice_0","Zauważ, że nabałaganili."
"F37BB04C4A01302E5FAFD88B766FAA2A","CinematicNode_Choice_0","Zapytaj najpierw, kim są."
"A15B33A148E4EDB97FBE18884488DFEF","CinematicNode_Choice_0","Zaoferuj swoje umiejętności i pomoc w przeszukaniu."
"EBF39830406E7B2A2C7A51B1305F085C","CinematicNode_Choice_0","1"
"C24D9C594FC827690CBD05B90ADAFB3F","CinematicNode_Choice_0","2"
"322B6C0B42B3E827663CC5B3964108FA","CinematicNode_Choice_0","3"
"57B57CB845BBD3E9F395B1B558E3E2AA","CinematicNode_Choice_0","4"
"707A274943A789008301D28B8C4CCB01","CinematicNode_Response_0","Straszny bałagan zostawiacie."
"DDA31AE0435A6EE745EC32B772444872","CinematicNode_Response_0","Właśnie będziemy sprzątać."
"4433C63945D6D7159326D1968D6278D4","CinematicNode_Response_1","Arek, drzwi miałeś zamknąć."
"D5FD8DFD4C93B2F8A088CCB499087259","CinematicNode_Response_1","<i>Pardon</>, przeszkodziłem?"
"ADA0AB3C4246BB15B7F5E196C413A91C","CinematicNode_Response_1","Później mnie opieprzysz, zajmijmy się nim."
"A258669748A38717D1604182345A32EA","CinematicNode_Response_2","Arka już znam, a reszta towarzyszy, kim jest?"
"A4F101FC4558B40F60B0FC82439C2D59","CinematicNode_Response_2","Wskrzesicielami Przenajświętszej Rzeczypospolitej, w Imię Pana Jedynego w Trójcy, Jezusa Chrystusa."
"4466BF9644CF317338A9118C17282804","CinematicNode_Response_2","Amen."
"60F1A9324DA7EC5C3DA0F88C10A9FE06","CinematicNode_Response_4","Jak sobie życzysz, Arek."
"FE321A5844FCB8372BC34F9473A95071","CinematicNode_Response_5","Może mógłbym wam pomóc? Też tu czegoś szukam i jestem thaumaturgiem."
"061828414EE1DE2F1A7E41AF86EE59C0","CinematicNode_Response_5","To gorzej od Żyda?"
"C90F983247F4F605DB8FEB96FA62FB3A","CinematicNode_Response_5","Jedyne, czego tu szukamy, to zdrajców Ojczyzny."
"1845928746E2E67EAA975696AD416815","CinematicNode_Response_5","Chyba trafiliśmy."
