"Hash","NodeName","PL","TR","Notes"
"E20EE75549EA4D73709CCA86C53FADBE","lw_SMG_POI_Readable","Pamiętnik dewotki","Sofu Kadının Günlüğü",""
"093E78C84E866FD2DCF6DC838D293051","lw_SMG_POI_Readable","Przejdę teraz do opisu dalszej części mojej familii.
Mój siostrzeniec, hrabia Orkowski - w młodym wieku stracił ojca i to wydarzenie przesądziło o jego dalszym życiu, spychając go powoli ku otchłani moralnego zepsucia. Odkąd ze słodkiego chłopięcia, któremu wszystko się wybaczało dla jego anielskiej twarzyczki, wyrósł na zuchwałego młodzieńca, apartament na ul. Erywańskiej 15 zamienił się w przybytek, w pobliżu którego każdy chrześcijanin powinien odwrócić twarz z pogardą. Mury, niegdyś będące dumą naszego rodu, teraz są świadkami ohydnych uczynków, goszcząc najgorsze towarzystwo, jakim tylko może się otaczać młoda osoba. Zatroskani sąsiedzi nieraz przynosili mi informacje, od których włos się jeży na głowie - podobno mój siostrzeniec dał się omotać egzotycznym modom...","Şimdi ailemin sonraki kısmının tarifine geçeyim.
Yeğenim, Kont Orkowski — genç yaşta babasını yitirdi ve bu hadise onun sonraki hayatına yön verdi, yavaş yavaş onu ahlaki çürümenin uçurumuna itti. Melek suratı uğruna her şeyi bağışlanan tatlı bir oğlancık iken, atak bir gence dönüştüğünden beri Erywańska sokağı 15'teki daire, her Hıristiyan'ın yüzünü tiksintiyle çevirmesi gereken bir müessese haline geldi. Eskiden soyumuzun gururu olan duvarlar, şimdi en berbat sohbetlere ev sahipliği eden iğrenç işlere şahitlik ediyor — genç bir insanın kendini çevreleyebileceği en kötü topluluklarla. Tasalı komşular bana birçok kez saç baş ürperten bilgiler getirdi — söylediklerine göre yeğenim egzotik modaların kendisini sarmasına izin vermiş…",""
"18D250164C43275471A8E08F3D47C6E2","lw_SMG_POI_Readable","Zgubione zaproszenie","Kayıp Davetiye",""
"F5A3DF6A40F0E2301227B7A97465697F","lw_SMG_POI_Readable","Drodzy Przyjaciele i Towarzysze wojaży do dalekich krain,

mam przyjemność zaprosić Was na przyjęcie, na którym woń kadzideł będzie się przeplatać z aromatem kurkumy i kardamonu. Czekają na Was wystawne posłania pod jedwabnymi baldachimami oraz piękno egzotycznych tancerek. Tego wieczoru będzie można spróbować także zakazanych rozkoszy.
Przybądźcie jak zwykle pod Bramy Sezamu. Aby otwarły się przed Wami, wypowiedzcie hasło:
""Szeherezada"".

Hrabia O.","Sevgili Dostlar ve Uzak Diyarlara Yolculuk Yoldaşları,

Sizi tütsü kokusunun zerdeçal ile kakule aromasıyla iç içe geçeceği bir ziyafete davet etmekten memnuniyet duyarım. Sizi ipek baldakenler altındaki görkemli döşekler ve egzotik dansözlerin güzelliği bekliyor. O akşam ayrıca yasak lezzetleri de tatmak mümkün olacak.
Her zamanki gibi Simsim Kapıları'nın önüne gelin. Önünüzde açılmaları için parolayı söyleyin:
""Şehrazat"".

Kont O.","'Sezam otwórz się' göndermesi — 'Simsim'; 'Szeherezada' → 'Şehrazat'"
"8C077BE3416E5E39A70E8BB96C4101F4","lw_SMG_POI_Readable","Dyspozycja dla kuriera","Kurye için Talimat",""
"248504E740081C00CDA387BDAC87E321","lw_SMG_POI_Readable","Wieczorem zanieść pakunek do apartamentu na ul. Erywańską 15, przekazać kamerdynerowi do rąk własnych. Nie otwierać pod groźbą kary.","Akşam paketi Erywańska sokağı 15'teki daireye götür, bizzat kâhyanın eline teslim et. Ceza tehdidi altında açılmayacak.",""
"E8A407F54E84550D6DC353B090801A9A","lw_SMG_POI_Readable","Fotografia","Fotoğraf",""
"481DB59B4F205CCE3A5B498D7665DE3A","lw_SMG_POI_Readable","Fotografia przedstawia kobietę w bieliźnie wiążącą sobie gorset. Podpis: Lady Dragonfly","Fotoğraf kendi korsesini bağlayan iç çamaşırlı bir kadını gösteriyor. Altyazı: Lady Dragonfly",""
"643761B34D9C22229A5678B94D865B85","lw_SMG_POI_Readable","Pamiętnik dewotki","Sofu Kadının Günlüğü",""
"A623A4744522E3427A6804A653EFC37D","lw_SMG_POI_Readable","Warszawa z roku na rok coraz bardziej pogrąża się w odmęty moralnego zepsucia. Ulice, które niegdyś były zamieszkiwane przez skromne i pobożne rodziny, teraz zamieniają się w siedlisko najgorszych indywiduów. Moja sąsiadka, droga pani S., opowiadała mi na przykład o kobiecie wynajmującej mieszkanie w kamienicy na Erywańskiej 7. To operowa artystka, którą odwiedza wielu bogatych mężczyzn. Ma pod dostatkiem sukien i pełne przepychu wyposażenie mieszkania. Ostatnio jeden z licznych protektorów zabrał ją w zagraniczną podróż, do Japonii. Że też nie wstyd takiej pokazywać się publicznie na ulicach.","Varşova yıldan yıla ahlaki çürümenin girdabına giderek daha fazla gömülüyor. Vaktiyle mütevazı ve dindar ailelerin oturduğu sokaklar, şimdi en kötü şahısların yuvasına dönüşüyor. Komşum, sevgili Bayan S., mesela Erywańska 7'deki apartmanda oda kiralayan bir kadından bahsediyor. Bir opera sanatçısıymış, birçok zengin adam kendisini ziyaret ediyormuş. Çokça elbisesi ve evinin görkemli tefrişatı varmış. Son zamanlarda çok sayıdaki hamilerinden biri onu yurt dışı bir seyahate, Japonya'ya götürmüş. Bu kadarı bile sokaklarda alenen görünmeye utanmıyor!",""
