"Hash","NodeName","PL","TR","Notes"
"1EF577514DD443C93989229DC15BE85A","CinematicNode_Choice_0","Porusz kwestię wykładu.","Ders meselesini gündeme getir.",""
"5B13FE7E423EDD6EFA1631867956D0C2","CinematicNode_Choice_0","Dowiedz się więcej o Uniwersytecie Latającym.","Uçan Üniversite hakkında daha fazla öğren.",""
"8DBC6D87491BDD03D815EDA130C29EBE","CinematicNode_Choice_0","Zauważ, że przyszło sporo osób.","Oldukça fazla kişinin geldiğine dikkat et.",""
"7C50B8104DA4D40CFF24209609EACF3B","CinematicNode_Choice_0","Odejdź.","Çekil git.",""
"3D5022CE4871E2B2D99E719930AE8A1A","CinematicNode_Choice_0","1","1",""
"6D9EF4204529ED4F926B40817819675A","CinematicNode_Choice_0","2","2",""
"2B87220949E051B4270F7980275BEE05","CinematicNode_Choice_0","3","3",""
"07133CBB475389A1E780FEAE6FAB7989","CinematicNode_Choice_0","4","4",""
"B7950DED49BE9FBA24BBFDA8DCFDF4CD","CinematicNode_Choice_1","Zgódź się.","Kabul et.",""
"14FD08AA4602B369F46BF481A8102515","CinematicNode_Choice_1","Przyznaj, że się wahasz.","Tereddüt ettiğini itiraf et.",""
"C8F17E9946B11ED7A0E8138A830AD3C3","CinematicNode_Choice_1","Odmów.","Reddet.",""
"409D13E04E4F9FC969904B8AD15A31CE","CinematicNode_Choice_1","1","1",""
"EAE6D147435238AFF3F921B0DEA97ED2","CinematicNode_Choice_1","2","2",""
"81395D5B43D9B76D995224BDACA389D6","CinematicNode_Choice_1","3","3",""
"D3F46B6E4A71C667F9E3D5803670A8BA","CinematicNode_Choice_2","Powiedz, że miałeś swoje sprawy na głowie.","Kafanda kendi işlerin olduğunu söyle.",""
"F56F77D94AFC0FD3E0FDBDAC3854DB17","CinematicNode_Choice_2","Przeproś, że się nie pojawiłeś.","Gelmediğin için özür dile.",""
"D74CF05542E7323CAB4AE883CF6B8F7F","CinematicNode_Choice_2","1","1",""
"942D2A7E4EC4D6CA7F7AA6B33C4BD117","CinematicNode_Choice_2","2","2",""
"BD41E47449B687F01F47DDAED1418A1A","CinematicNode_Choice_4","Zauważ, że takie zaangażowanie Ligii jest ryzykowne.","Ligia'nın bu kadar aktif olmasının riskli olduğuna dikkat et.",""
"AC1460C547729D0ED85F3095F7F57617","CinematicNode_Choice_4","Dopytaj, dla kogo jest ten uniwersytet.","Bu üniversitenin kimin için olduğunu sor.",""
"B0454726470D22DC420870BA4AB2460D","CinematicNode_Choice_4","1","1",""
"1CF24D3F4594A96D9F79229B81A25137","CinematicNode_Choice_4","2","2",""
"9D056FA447FF230A5DA34B9A9E4B75FA","CinematicNode_Choice_4","3","3",""
"CFF8E3D74FE0E1971E79A3B5070968E8","CinematicNode_Choice_5","Upewnij się, że się nie przesłyszałeś.","Yanlış duymadığından emin ol.",""
"CC7E21C94A4C8058DE9098BFA3C243B3","CinematicNode_Choice_5","Słuchaj dalej.","Dinlemeye devam et.",""
"BA4E60A64805BD5371A7299D38899AB2","CinematicNode_Choice_5","1","1",""
"723CEF31430298D9F02F1E92DC481F21","CinematicNode_Choice_5","2","2",""
"B15478AC46C37FFC2F39A6B74E577203","CinematicNode_Choice_7","Powiedz, że jesteś gotowy.","Hazır olduğunu söyle.",""
"4F49006245B9C26811FC3B891F5CBFE4","CinematicNode_Choice_7","Zaznacz, że potrzebujesz jeszcze chwili.","Daha biraz zamana ihtiyacın olduğunu belirt.",""
"F6CCCB124B4F7B1367CFEBA6A3814EE8","CinematicNode_Choice_7","1","1",""
