"Hash","NodeName","PL","TR","Notes"
"C7F93B70481AAC1CAA10C682FAF90152","CinematicNode_Choice_0","Dociekaj, co się dzieje.","Ne olduğunu araştır.",""
"5B874DB84DE52982D096A3A328F8FF05","CinematicNode_Choice_0","Oddal się.","Uzaklaş.",""
"FC49A9454183A4419E48CD90C14B0B9A","CinematicNode_Choice_0","1","1",""
"C2DB6F1944A687FDF4F15E8140E35AEE","CinematicNode_Choice_0","2","2",""
"5C2C14134414247097E39194C31B95A4","CinematicNode_Choice_2","Każ mu odstąpić.","Geri çekilmesini emret.",""
"D8A9A77D484C569288DFB1939694FBCB","CinematicNode_Choice_2","Zaoferuj mu pomoc.","Yardım teklif et.",""
"9B22E2F849C8D20B31E8EF8B297C7DA1","CinematicNode_Choice_2","Wycofaj się.","Geri çekil.",""
"34F07ECC429E4F6649A69E9BFD462968","CinematicNode_Choice_2","1","1",""
"5281C7344B17C3FDB8ECFF9E4AC55B74","CinematicNode_Choice_2","2","2",""
"1BA1418F47EC9B4D2D6DE2AEC5827B9C","CinematicNode_Choice_2","3","3",""
"3FE30505434F5808ABF92C88FBED05BC","CinematicNode_Choice_3","Zapytaj, czemu tu trafili.","Buraya nasıl düştüklerini sor.",""
"8665B72B42DA297ED8FEBEB02359BE79","CinematicNode_Choice_3","Pożegnaj się.","Vedalaş.",""
"3BCF176F4C8675EC18EC6B88B2D149EB","CinematicNode_Choice_3","1","1",""
"E248D2584CAE515EF7030F992CCB72C5","CinematicNode_Choice_3","2","2",""
"E0FAA5B44F2784CCFDB065991B7D7D5F","CinematicNode_Response_0","Ty, z książką! Weź im powiedz! Nie mogą nas tu trzymać wbrew woli.","Sen, kitaplı adam! Git söyle onlara! İrademize karşın bizi burada tutamazlar.",""
"4EAB14644FC098065785739B58891403","CinematicNode_Response_0","Wracać na izbę, ostatni raz powtarzam! Nie skończyliśmy wszystkich badań.","Odaya geri dönün, son kez söylüyorum! Tüm araştırmaları bitirmedik.",""
"8CE74D724A7A155D210A5E821A35FBBE","CinematicNode_Response_0","Panie, to jest więzienniczy kraj! Nawet konowały chcą ludzi zamykać.","Efendim, bu zindan bir ülke! Hatta şarlatan hekimler bile insanları kapatmak istiyor.","konował → şarlatan hekim (aşağılayıcı)"
"3E3222354E2ACC858BC09CB814BB8990","CinematicNode_Response_0","Pan się lepiej nie wtrąca, dobrze radzę.","Karışmamanızı öneririm, iyi söylüyorum.",""
"93D360F842C2F8681D1B05B89FB09BDA","CinematicNode_Response_10","Co was tak poharatało, że tu trafiliście?","Sizi bu hale düşüren ne oldu da buraya düştünüz?",""
"DC1E04684255863E732E6990327955F8","CinematicNode_Response_10","A co, sensacji szukasz?","Ne, heyecan mı arıyorsun?",""
"CE4E26F84E02DDFAAE4C63B6971C05DA","CinematicNode_Response_10","Daj spókój, tyle mu jesteśmy chociaż winni.","Bırak, bunu hiç olmazsa ona borçluyuz.",""
"5412825F423FEB6F425A8BADA7E2E997","CinematicNode_Response_10","Akcja była, i <i>kacapów</> było po prostu więcej. Tyle ci wystarczy.","Eylem vardı, ve <i>Ruslar</> sayıca fazlaydı. Bu kadar yeter sana.",""
"088B4C1846AA2AA5565ECC9AD01A2868","CinematicNode_Response_10","Idziemy, zanim opowiesz mu historię życia.","Hayatının hikâyesini anlatmadan önce gidelim.",""
"006BA4824029142CF07B1B8E1CEABF95","CinematicNode_Response_2","Tak zrobię. Powodzenia życzę.","Yapacağım. Bol şans.",""
"C80279B14CDD113D96A745B43F12E44F","CinematicNode_Response_3","Wszystko przez to, że pacjenci nie chcą być dłużej badani?","Hepsi hastalar daha fazla muayene edilmek istemediği için mi?",""
"76FE8FFD424888260B690A801D27EC67","CinematicNode_Response_3","Kolega się gorzej poczuł, to przyszliśmy, ale patrz pan na niego teraz. Chłop jak dzwon, zdrowiuteńki.","Arkadaşın hali bozuldu, geldik; ama şu an haline bak. Sağlam delikanlı, tertemiz sağlık.",""
"31257D934B6ED43177A85599834AC2F0","CinematicNode_Response_3","Przyszliście? Wozem was, pół martwych, przywieźli! Po dywersji jakiejś pewnie.","Geldiniz mi? Yarı ölü arabayla getirdiler sizi! Bir sabotaj eyleminin ardından muhtemelen.",""
"2FBB443244CA90693C8726B5080D6066","CinematicNode_Response_3","To są pomówienia!","Bunlar iftira!",""
"A35E5F574165B76E818254827EBCF9CA","CinematicNode_Response_3","Lepiej, aby zostali dłużej, na badania. Rozumie pan?","Daha uzun süre kalmaları daha iyi, araştırma için. Anlıyor musunuz?",""
"445DEAE2401240A8E4ED679D9B43166E","CinematicNode_Response_4","Rozumiem. Panowie mieli chwilę słabości, ale widać, że już im lepiej. Dajcie im odejść.","Anlıyorum. Beyler biraz zayıf düştü, ama iyileştikleri belli. Gitsin onlar.",""
"4D5030214DAA14DDB5770BA1FCF5537C","CinematicNode_Response_4","Słyszałeś pana? To my idziemy.","Duydun mu adamı? Biz gidiyoruz.",""
"470DC6C843F3F0CE6F69C3B665CE5569","CinematicNode_Response_4","Co to za solidarność podziemia? Wszystkich was do izolatek pozamykamy.","Bu ne yeraltı dayanışması? Hepinizi tecrit hücrelerine kapatacağız.",""
"E09469BD4984A0111203E7BA0705065A","CinematicNode_Response_5","Rozumiem. Dla ich własnego dobra, powinni jeszcze zostać.","Anlıyorum. Kendi iyilikleri için biraz daha kalmalılar.",""
"2159488049C262F50C0F32A32C0D27B9","CinematicNode_Response_5","O ty kanalio, ty! Z konowałami trzymasz? Taki z ciebie patriota? Stawaj!","Seni alçak! Şarlatanlarla mı takılıyorsun? Bu mu senin yurtseverliğin? Karşıma çık!","konował → şarlatan (aşağılayıcı)"
"45F9528544B3A31207C3ED9C2FB23167","CinematicNode_Response_5","Tą prostą sztuczką, zaoszczędzę nieco chloroformu.","Bu basit hileyle biraz kloroform tasarrufu yapacağım.",""
"9DC9C69A4DA7A3AC3A917FB62B84CF72","CinematicNode_Response_6","Rozumiem. Nie powinienem się mieszać.","Anlıyorum. Karışmamalıyım.",""
"7C08914E4F055469501EF1B8EC45E550","CinematicNode_Response_7","Tak będzie najlepiej.","En iyisi bu.",""
"975B705348E72B7912A1E587F5E18D95","CinematicNode_Response_7","E, co pan? Tchórzysz? Wszyscyście tacy sami, niech inni się o wolność biją, nie?","Ya, ne bu? Korkuyor musun? Hepiniz aynısınız, özgürlük için başkaları dövüşsün, değil mi?",""
"0CBAD48741A8B8421EC750912CC501D9","CinematicNode_Response_7","Koniec przedstawienia. Zabieramy ich.","Gösteri bitti. Onları götürüyoruz.",""
"762634BF480CF8FBCD25A7B80D26749F","CinematicNode_Response_8","Więcej nam trzeba takich towarzyszy niedoli.","Böyle kader arkadaşlarına daha çok ihtiyacımız var.",""
"0B6F1E4942A7174D0B0B8EA3D1C21DFA","CinematicNode_Response_8","Dzięki.","Sağ ol.",""
"1F7CA14A4AAE7FDAE66D1F9E1C53410F","CinematicNode_Response_9","Powodzenia. Trzymajcie się z dala od kłopotów.","Bol şans. Beladan uzak durun.",""
"9128E8B44795E28A7EB9EEB1FFB962A4","CinematicNode_Response_9","Słyszałeś go, bogacza pierdolonego, o dłoniach nieskalanych pracą?","Duydun mu onu, o kahrolası zengini, elleri iş görmemiş?",""
"D21F9E2C4F57F74349126B8875A5A75E","CinematicNode_Response_9","Daj już spókój. Idziemy.","Artık bırak. Gidiyoruz.",""
