"Hash","NodeName","PL","TR","Notes"
"14C15A2143BDDEF04E01C7A16719A7D5","CinematicNode_Choice_0","Powiedz, że tak.","Evet de.",""
"C81D2706499C82B87D03918944A62BF2","CinematicNode_Choice_0","Powiedz, że nie znasz tego dziecka.","Bu çocuğu tanımadığını söyle.",""
"5654FEA043A2849B0BFADD9862B84B3C","CinematicNode_Choice_0","1","1",""
"FA44276F4F1F9CC69D118EB9E93F85C4","CinematicNode_Choice_0","2","2",""
"71C71FAE43B2A5F8EF163384F7FB85D4","CinematicNode_Choice_1","Wytknij mu, że nie wierzył w twoje ""rzucanie uroków"".","Senin ""büyü yapma"" yeteneğine inanmadığını yüzüne vur.",""
"496B27154F599C1DB97B8B9E3217D6D6","CinematicNode_Choice_1","Idź z Pielewinem.","Pielewin ile git.",""
"D760B32A4F9F6820154482976A2E28AD","CinematicNode_Choice_1","1","1",""
"EAFA6DA841CDF43A7B8D1F88CCCF6A87","CinematicNode_Choice_1","2","2",""
"C44A6025476C1B35CFCC5D9488C1EDEE","CinematicNode_Choice_2","Wznieć w Pielewinie wolę walki.","Pielewin'de mücadele isteğini körükle.",""
"20679F4D48A6C28E78348AA55BE96E00","CinematicNode_Choice_2","Pokaż Pielewinowi zdobyty haczyk.","Pielewin'e elde ettiğin çengeli göster.",""
"0F39BFAA4C657E335D0076AFC221A776","CinematicNode_Choice_2","Drąż temat ostatniej ofiary.","Son kurban konusunu derinleştir.",""
"CCB098B34E356952726AF4A04A75720A","CinematicNode_Choice_2","Zarządaj widzenia z Kajetanem.","Kajetan ile görüşme talep et.",""
"20E8CBD940722B6750052F811B14CA82","CinematicNode_Choice_2","Odejdź.","Çek git.",""
"F11C178A43C8E9E205C0CD981DAD34A0","CinematicNode_Choice_2","1","1",""
"00FE71254257EC51BB3C6599453CB2ED","CinematicNode_Choice_2","2","2",""
"ED07660147F5BEF847FF838C524478FB","CinematicNode_Choice_2","3","3",""
"FDF792554E5BE466B5556D818E2F4556","CinematicNode_Choice_2","4","4",""
"7B96E07543699265D78981A02F9547A6","CinematicNode_Choice_2","5","5",""
"FD3BA5E84B430A4F7DC5D38ACB58D435","CinematicNode_Choice_3","Opowiedz, czego się dowiedziałeś do tej pory.","Şu ana kadar neler öğrendiğini anlat.",""
"E80E1C2C49BEB801186125B02F3EE36F","CinematicNode_Choice_3","Odejdź.","Çek git.",""
"0375F770425CA3114676CB873F28EE7A","CinematicNode_Choice_3","1","1",""
"9BE6B8124301A0095DA8EBB1BAFF4051","CinematicNode_Choice_3","2","2",""
"68AE5DC54A9361438230CC993A6ACC84","CinematicNode_Choice_4","Oznajmij, że znalazłeś kryjówkę Rybaka.","Balıkçı'nın sığınağını bulduğunu duyur.",""
"E7139C8946E90048E7594D84AD183CAB","CinematicNode_Choice_4","Wspomnij tożsamość Rybaka.","Balıkçı'nın kimliğinden söz et.",""
"668296C24888E1A53049B3BC70809A3F","CinematicNode_Choice_4","Dowiedz się, gdzie jest Piotrek.","Piotrek'in nerede olduğunu öğren.",""
"55BE98104F9908F7E37A879C0E8C796D","CinematicNode_Choice_4","Dowiedz się, czy był tu Piotrek.","Piotrek'in burada olup olmadığını öğren.",""
"72FBF807401E5CF4C48448AA2CC08C9A","CinematicNode_Choice_4","Odejdź.","Çek git.",""
"76FAE75C4F1F6BDA6D8D098F886596A9","CinematicNode_Choice_4","1","1",""
"D5EF35BD4F326439121A08982471AC32","CinematicNode_Choice_4","2","2",""
"B56C438B45C0D4E94E0C70B356A3515D","CinematicNode_Choice_4","3","3",""
"08467DB641A9E10BF888628C8D100BAE","CinematicNode_Choice_4","4","4",""
"71A6C12E42C6830DBBA80C9A394F6819","CinematicNode_Choice_4","5","5",""
"91374756427D65613344F9916E4F75CB","CinematicNode_Choice_5","Powiedz, że jesteś gotowy.","Hazır olduğunu söyle.",""
"272F89104588A6F75948F4AF1EA4EA5E","CinematicNode_Choice_5","Wstrzymaj się jeszcze.","Biraz daha bekle.",""
"4321B59D4ABA6C792C6D4A99F24B1077","CinematicNode_Choice_5","1","1",""
"2636DE934DB42B4DBFB561ABA8D8A6DE","CinematicNode_Choice_5","2","2",""
"8C4E1590413A32F1A616B9A04210B6A8","CinematicNode_Choice_6","Porusz temat obrączki.","Alyans konusunu aç.",""
"4BD60C0A418FE967978D65817685F00F","CinematicNode_Choice_6","Porusz temat lupanaru.","Kerhane konusunu aç.",""
"4F7C3A424C24D6003958538D1A83224C","CinematicNode_Choice_6","Odejdź.","Çek git.",""
"F8FBFD344F6F96668D5EE6A95863C1F7","CinematicNode_Choice_6","1","1",""
"CEBDE0D74E9E02220E8CB18052700FC3","CinematicNode_Choice_6","2","2",""
"1EE61EC54552583C9F5C6591E733F6E8","CinematicNode_Choice_6","3","3",""
"799823D2491835B19062CEA340CF46AE","CinematicNode_Choice_6","4","4",""
"4831F1954FBCEED77AA69BAAD3843AC3","CinematicNode_Response_0","...","…",""
"CE92E4F2426BF7FF6F5F1492B5EF7649","CinematicNode_Response_1","Dosyć. Kiedy wytrzeźwieję, trafisz za kratki, przysięgam. A teraz daj mi spokój.","Yeter. Ayıldığımda parmaklıklar arkasına gidersin, yemin ederim. Şimdi rahat bırak beni.",""
"1864BBB2457324A008C4DDBCB5B7C0BE","CinematicNode_Response_1","Co, rzucisz na mnie urok, magiku?","Ne, bana büyü mü yapacaksın, büyücü?",""
"9CCFB8C24AEDEA1C3BCACB849629017E","CinematicNode_Response_1","Kto wie. Nigdzie nie odchodź.","Kim bilir. Sakın bir yere ayrılma.",""
"7EC8C36D4B1F00BF2F910FADC463BAC5","CinematicNode_Response_10","Spośród wszystkich knajp na Powiślu, znowu trafiłeś właśnie do tej.","Powiśle'nin tüm meyhaneleri içinde yine bu meyhaneye düştün.",""
"1AC21B72441D5D4603D8FEA79894434B","CinematicNode_Response_11","Stąd jestem, to wiem. Lombard jest na Sowiej.","Buralı olduğum için biliyorum. Rehinci Sowiej Sokağı'nda.",""
"34ED7DAF4B2C399A266549A36CEB2E62","CinematicNode_Response_12","Widzisz? Rzucanie uroków, idzie mi całkiem nieźle.","Görüyor musun? Büyü yapma işi bayağı iyi gidiyor bende.",""
"76EAD28C4F535D33E81D138C8D24A717","CinematicNode_Response_13","Wiktor Szulski, thaumaturg.","Wiktor Szulski, tılsımkâr.",""
"BDA1C7D04B58FA4201696480F3F04FC0","CinematicNode_Response_13","Antonin Igorowicz Pielewin.","Antonin Igorowicz Pielewin.",""
"DF1057AE47BFA2CCD1C0A0B9D8BB9EAE","CinematicNode_Response_13","Prowadź.","Yol göster.",""
"572AAF7342FC883B4CA64EAB027E198D","CinematicNode_Response_13","Obym tego nie żałował, thaumaturgu.","Buna pişman olmayayım tılsımkâr.",""
"AD3ECEDD474FDB7012B986B1D7C40282","CinematicNode_Response_14","Gdzie Piotrek?","Piotrek nerede?",""
"2E0F6DD14CC9FCB4AB81BBAC625F6D8D","CinematicNode_Response_14","Nie mógł się na ciebie doczekać. Stwierdził, że ma jakiś pomysł i poszedł myszkować po dzielnicy.","Seni bekleyemedi. Bir fikri olduğunu söyleyip mahallede dolanmaya gitti.",""
"36FAF5B1418AC7AD54599CAB8F113029","CinematicNode_Response_14","Coś się stało?","Bir şey mi oldu?",""
"21220C0A488A2746A79407921E61F512","CinematicNode_Response_15","Coś nowego wpadło?","Yeni bir şey çıktı mı?",""
"193C55A948BA4421C00128BD5406019D","CinematicNode_Response_16","Serwus, wspólniku!","Selam ortak!",""
"7DCB017341C75D459E28B6B53804FBDC","CinematicNode_Response_16","Ten mały mówi, że pracujecie razem. To prawda?","Bu küçük birlikte çalıştığınızı söylüyor. Doğru mu?",""
"899CF352477EACE3C6EBB4AE7D715574","CinematicNode_Response_17","Jak idzie?","Nasıl gidiyor?",""
"D1FAB63544B85B2D75FA978DAB714761","CinematicNode_Response_17","Właśnie. Jak idzie?","Aynen. Nasıl gidiyor?",""
"1A3ACCE54841F942910891A0F90E2055","CinematicNode_Response_18","Zgadza się. Przynajmniej pije mniej od ciebie.","Doğru. En azından senden az içiyor.",""
"DE695B0F4630214538A0A9AAC9EDF3F1","CinematicNode_Response_18","No, rozumie się!","E tabii ya!",""
"759C1FE24CFFBFF82EE71D908350C874","CinematicNode_Response_19","Widziałeś tu gdzieś może małego i pyskatego powiślaka?","Burada bir yerlerde küçük ve geveze bir Powiśle çocuğunu gördün mü?",""
"346A8EB547C6601023C0A0AC7EF4FAE1","CinematicNode_Response_19","Nie. Czy on jest częścią śledztwa?","Hayır. O da soruşturmanın parçası mı?",""
"93CAB9C44D05D2A569B150BA71B347C4","CinematicNode_Response_19","Tak, powiedzmy. Miał mnie znaleźć.","Diyelim ki öyle. Beni bulmaya gelecekti.",""
"0ADCEC3544D83E2F6D2873B59FC7B563","CinematicNode_Response_2","Podsumujmy.","Özetleyelim.",""
"337E4CE84EDAEEE0D52916B6BD8841C7","CinematicNode_Response_20","Czego jeszcze chcesz?","Daha ne istiyorsun?",""
"589DB46B4019B497F59C0F8539534076","CinematicNode_Response_21","Jeśli znów przyszedłeś truć mi o sprawiedliwości, to daruj sobie.","Yine adalet üzerine başımı şişirmeye geldiysen bana bunu yapma.",""
"9ACB7C0C4B02B64B471781B5B087FEF5","CinematicNode_Response_22","Pierwszy raz go widzę.","Onu ilk kez görüyorum.",""
"6C91F2954AE3236CBD3125BBCFD270A8","CinematicNode_Response_22","Ej!","Hey!",""
"62E3743644C3E08BA085F6969B8CEBEA","CinematicNode_Response_23","Tylko dzięki mnie, to śledztwo dokądkolwiek zmierza!","Bu soruşturma yalnız benim sayemde bir yere gidiyor!",""
"F6B22A49437706A68AD6FAB151D9E826","CinematicNode_Response_23","Gdybym tylko... gdybym odznakę za to jakąś dostał, to by dopiero było!","Bunun için bir madalya bile alsam… o zaman bir görmek lazım!",""
"CAADF3A749150B3E123140A24A6B1DCD","CinematicNode_Response_23","Jak tam, masz coś nowego?","Eee, yeni bir şey var mı?",""
"DFC92F7241FA3453BA63EF8D1456198C","CinematicNode_Response_24","Odzyskałem haczyk z ciała ofiary. Lokalne dzieciaki go ukradły.","Kurbanın bedenindeki çengeli geri aldım. Yerel çocuklar çalmıştı.",""
"3471972349FDADD7B77A4BBE2D1A35DD","CinematicNode_Response_24","Mam już takich kilka.","Onlardan birkaç tane var bende.",""
"6CEC76C84B27B507215FCEABBA7C58BE","CinematicNode_Response_24","...ale ta sprawa jest zamknięta.","…ama bu dava kapalı.",""
"4C163C784E7F85E246DD5AAF0687BB73","CinematicNode_Response_25","Wydaje mi się, że wiem, kto jest Rybakiem. Ale muszę mieć pewność.","Balıkçı'nın kim olduğunu bildiğim sanırım. Ama emin olmam gerek.",""
"A6C7D1FF43103BE4503EEE8117A44964","CinematicNode_Response_26","Odzyskałem obrączkę Pielechy. Zostawił na niej swoje ostatnie, pełne lęku wspomnienie. <i>Konie na niebie.</>","Pielecha'nın alyansını geri aldım. Üzerinde son, korku dolu anısını bıraktı. <i>Gökyüzünde atlar.</>",""
"CCD3F0434C6355B8DC9FA6AA3240EE42","CinematicNode_Response_26","Głupi on jakiś, czy co?","Aptal mıydı yoksa?",""
"31965A144F36A784052B4AB525FA2666","CinematicNode_Response_26","Powodzenia z takimi informacjami. Coś jeszcze?","Böyle bilgilerle bol şans. Başka bir şey?",""
