"Hash","NodeName","PL"
"C82156A2471B42087ED2B5A171D1B068","CinematicNode_Choice_2","Podpuść Danisa do gry w rosyjską ruletkę."
"72C1F8244BDB860025558B9BACAE5518","CinematicNode_Choice_2","Zapytaj Danisa o ulubiony bar."
"D6E250294952DB865B23138923A8313E","CinematicNode_Choice_2","Spytaj o list od narzeczonej. "
"8F0F027D407E3A0BF6F301AF44E4D907","CinematicNode_Choice_2","Odejdź."
"501DCAE64EB176D255B7A4880B6D04BF","CinematicNode_Choice_3","Wybierz rewolwer Abaurycego."
"3ABF59F345B94965015998A29D7975AF","CinematicNode_Choice_3","Zostań przy swoim rewolwerze."
"7AFFCD8A433CB698B5F7C590D466029D","CinematicNode_Response_22","No chodź już, nie daj się prosić. Głowę ci opatrzę. Bez dodatkowych opłat."
"65128F814A6712BBFCD47CABF71DA528","CinematicNode_Response_22","Na górę mi nie spieszno. Z kimś bym pograł... Chcesz? "
"A982E2634CA79327AB7C7EAFBA41CC89","CinematicNode_Response_22","Ja?! W życiu! Ładne mam dłonie, wszyscy mi mówią. Nie pokiereszuję ich sobie tym żelastwem."
"5492D9474D7695B2FBDCC8A5FB87B525","CinematicNode_Response_22","A magik co się tu przysłuchuje?! "
"D524E25C42470CFEB8F17886979EAA64","CinematicNode_Response_23","<i>Meta, Seta i Lorneta</>, czy <i>Bar Londyński</>?"
"D1C9FE08422BA4238351FDA348FDAC1C","CinematicNode_Response_23","<i>Nora Demona</>!"
"CEFCDFCA43B42BAA8B9E94BC62007953","CinematicNode_Response_23","A co, kurwa, plebiscyt robisz? Czy dla Niedzica szpiegujesz?"
"607564AD4391563B26943FAAC61F16FB","CinematicNode_Response_23","Z czystej ciekawości pytam. Dla nikogo nie pracuję, to ja mam na usługach..."
"88BD9A114358C9B338E9F99D01223022","CinematicNode_Response_23","Diaboły, wiem, wiem... Idźże stąd, już mi się sprzykrzyłeś."
"7186250646464F0E107A1BA1AADD9490","CinematicNode_Response_24","Tak cicho siedzisz, może w coś zagramy?"
"1B5209D8451998ADD5B2A797167B29DB","CinematicNode_Response_24","Grywacie tu, chłopcy, w rosyjską ruletkę, czy jesteście za miękcy? "
"943112B34582557390D4C19A389E0B0E","CinematicNode_Response_24","Ha! Takiś chojrak?! Dla mnie to chleb powszedni! Gramy!"
"CB59F9384DA08516E3ECF29CA06DEEEB","CinematicNode_Response_24","Ktoś mówił o rosyjskiej ruletce?!"
