"Hash","NodeName","PL","TR","Notes"
"A220DC8343AF1031CC335995FC0224DB","CinematicNode_Choice_0","Podejmij decyzję.","Karar ver.",""
"78B8CAED4C32B697438DF7A548FEC558","CinematicNode_Choice_0","Rozważ drogę Rasputina.","Rasputin'in yolunu değerlendir.",""
"C69D310E40147368D72C6CBA610FFE2E","CinematicNode_Choice_0","Rozważ drogę komitywy.","Cemiyet'in yolunu değerlendir.",""
"8A553AEA4B2F668386E8EA9007E96BF8","CinematicNode_Choice_0","Rozważ inne możliwości.","Diğer olasılıkları değerlendir.",""
"0AAA04B54B7E64ECF37DC49E0A7B1FF7","CinematicNode_Choice_0","1","1",""
"8B1AA94E498684B7D23E11B53F822487","CinematicNode_Choice_0","2","2",""
"0FC0A78644450E8D79BE9799C530CAD3","CinematicNode_Choice_0","3","3",""
"A6CBE46C4F96CCC3A76B27BE98F864D0","CinematicNode_Choice_0","4","4",""
"142EEBB84E415A7393308A8FDF2BEEA5","CinematicNode_Choice_1","Wybierz Rasputina.","Rasputin'i seç.",""
"3AB60F3D476A2543125ADA8D7D070ACC","CinematicNode_Choice_1","Wybierz komitywę.","Cemiyet'i seç.",""
"091C50CC419197707911C9B78307F93C","CinematicNode_Choice_1","Wybierz ucieczkę.","Kaçışı seç.",""
"3244523D4101371DD75C70A0496E4EE4","CinematicNode_Choice_1","1","1",""
"2454330645A250E35903EBA375803415","CinematicNode_Choice_1","2","2",""
"C98A3A8D4DA2F12891D1DA93B3AC5D3D","CinematicNode_Choice_1","3","3",""
"015862C44DACA8D28860A8911AF355DB","CinematicNode_Response_0","Ty znasz mnie najlepiej, od tak wielu lat. Zawsze ze mną byłeś i zawsze będziesz.","Beni en iyi sen tanıyorsun, onca yıldır. Hep yanımdaydın, hep olacaksın.",""
"5B5F8C164C0F26BF698817A5C1B9DB18","CinematicNode_Response_0","Musimy pomówić o naszej przyszłości. Jakieś pomysły?","Geleceğimiz hakkında konuşmamız gerek. Fikrin var mı?",""
"E8A8A6A34725BE6CA05BBEBDB9144B6A","CinematicNode_Response_0","...","...",""
"86A7F8784026D28E25BB94BAC424A43F","CinematicNode_Response_1","Sprawdźmy, czy nasz brodaty mnich w ogóle żyje. I zawalczmy o swoją pozycję na carskim dworze.","Sakallı keşişimizin hâlâ yaşıyor mu diye bakalım. Ve Çar sarayındaki konumumuz için savaşalım.",""
"13124B0B4A0EE19726179492E04047E0","CinematicNode_Response_1","...","...",""
"5D31D6C9461464C10B9B648585A5A79F","CinematicNode_Response_10","...","...",""
"7FBE179B48CE295C1D8CE198CCA4B015","CinematicNode_Response_11","Trudny wybór, prawda?","Zor bir seçim, değil mi?",""
"0C648A794F1D24EB624E8691C5DCEDC1","CinematicNode_Response_12","Moglibyśmy stąd uciec. Może nawet uda mi się namówić Ligię, żeby zostawiła Warszawę?","Buradan kaçabiliriz. Hatta belki Ligia'yı Varşova'yı bırakmaya ikna edebilirim?",""
"8F05C5374B690ECA1E2118B9C44343BD","CinematicNode_Response_13","Uciec od gierek, intryg i zdrady.","Oyunlardan, entrikalardan ve ihanetten kaçmak.",""
"0EED791448D23F8711A17E81E301F7BD","CinematicNode_Response_14"," Co ty na to?","Ne dersin?",""
"5C18A3A940707A971152CDA03AFB4D3E","CinematicNode_Response_14","...","...",""
"6A8CD9824F4BBEE5C65B46ACE1DAA45B","CinematicNode_Response_15","To mi już nie będzie potrzebne.","Bu artık bana gerekli olmayacak.",""
"DEBE9D5A42ED9A6A933548B92D9D2E58","CinematicNode_Response_15","Żegnaj, ojcze.","Elveda, baba.",""
"7ADF459841B587BF6D7287A0AFA8BC17","CinematicNode_Response_15","Ruszajmy do <i>raju</>.","<i>Cennete</> doğru yola çıkalım.",""
"A621D0DF4EA79944C9464BBF468F2F6C","CinematicNode_Response_16","...","...",""
"E592CB254B11855601F2758E637A9F7D","CinematicNode_Response_17","Porozmawiam z Ligią.","Ligia ile konuşacağım.",""
