"Hash","NodeName","PL","TR","Notes"
"226D601F4DD87CC9FBC27DB9A886A4BC","lw_GRZ_POI_Readable","Raport agenta Ochrany","Ochrana Ajanı Raporu",""
"B50952F4444A147043F780B7B9A0B9CC","lw_GRZ_POI_Readable","Komisariat policji Warszawa-Śródmieście, 04.09.1905

RAPORT

Dnia 3-ego września po otrzymaniu anonimowej informacji o podejrzanym zgromadzeniu w mieszkaniu na ul. Twardowskiego 3/8 udałem się pod wskazany adres. Na miejscu okazało się, że znajdowała się tam grupa 12 osób grających w brydża. Sprawdziłem tożsamość zgromadzonych i powiadomiłem przełożonego o konieczności regularnej kontroli tego miejsca - brydż może być przykrywką dla jakichś wywrotowych działań.

Podpisano,
Piotr Iwanowicz Abałakow","Varşova-Śródmieście polis karakolu, 04.09.1905

RAPOR

3 Eylül tarihinde Twardowskiego 3/8 adresindeki evde şüpheli bir toplantı olduğuna dair isimsiz bilgi alındıktan sonra belirtilen adrese gittim. Yerinde anlaşıldı ki orada briç oynayan 12 kişilik bir grup bulunuyordu. Toplananların kimliklerini denetledim ve bu mekânın düzenli olarak kontrol edilmesi gerektiğini üstüme bildirdim — briç herhangi bir yıkıcı faaliyetin örtüsü olabilir.

İmza,
Piotr Iwanowicz Abałakow",""
"1769E876491AA7ADDC69FB9979EB5F24","lw_GRZ_POI_Readable","List","Mektup",""
"AA20659043FA342EFD99E3A9CCD3F812","lw_GRZ_POI_Readable","Mój drogi,

wieczorem znów spotykamy się na brydża - tam, gdzie zawsze. Będę tym razem potrzebował rezolutnego partnera, dlatego mam nadzieję, że nie odmówisz mojemu zaproszeniu. Na wejściu podaj moje nazwisko, a gospodarz wskaże Ci miejsce - ja mogę się nieznacznie spóźnić.

Bądź w zdrowiu i do zobaczenia,
J. N.","Sevgili dostum,

Akşam yine briç için buluşuyoruz — her zamanki yerde. Bu sefer kararlı bir eş lazım olacak bana, o yüzden umarım davetimi geri çevirmezsin. Kapıda ismimi ver, ev sahibi sana yerini gösterir — ben biraz gecikebilirim.

Sağlıcakla kal, görüşmek üzere,
J. N.",""
"99875E2940BBF02E8D7D72B7D8DCF77D","lw_GRZ_POI_Readable","Fotografia","Fotoğraf",""
"F074CF1145FBF32F04BFB19377D7191F","lw_GRZ_POI_Readable","Jan Nowacki
przewodniczący Klubu Miłośników Brydża [fotografia z podpisem]","Jan Nowacki
Briç Sevenler Kulübü başkanı [imzalı fotoğraf]",""
"4D0BD56E4B9E9102EDE7C8914F28D45E","lw_GRZ_POI_Readable","Szkic","Taslak",""
"5F525F054010D7ADE42E00AFDB62B2E0","lw_GRZ_POI_Readable","[szkic] Nowego typu teleskop ""Pluton"" skonstruowany przez Mordechaja Eisenbauma.","[taslak] Mordechaj Eisenbaum tarafından inşa edilmiş yeni tip ""Pluton"" teleskobu.",""
"9337716F4622AEB08A5440A4AA638AAC","lw_GRZ_POI_Readable","""Świat Wokół Nas""","""Etrafımızdaki Dünya""",""
"19606110480C1BA4B6AC278BFA3BD380","lw_GRZ_POI_Readable","ŚWIAT WOKÓŁ NAS
Ogłoszenia.
Dziś w nocy spodziewamy się zaobserwować niezwykłe zjawiska na niebie - przekonuje Mordechaj Eisenbaum, i zaprasza wszystkich entuzjastów astronomii do swojej pracowni na wspólne wypatrywanie przelatującej komety. Tego konstruktora nie musimy czytelnikom przedstawiać; w ubiegłym numerze ukazał się obszerny wywiad na temat zaprojektowanego przez Eisebauma nowego teleskopu.
Z pewnością warto skorzystać z tego zaproszenia.","ETRAFIMIZDAKİ DÜNYA
İlanlar.
Bu gece gökyüzünde olağanüstü olaylar gözlemlemeyi bekliyoruz — diye teminat veriyor Mordechaj Eisenbaum, ve tüm astronomi meraklılarını geçmekte olan kuyrukluyıldızı ortak izlemek için atölyesine davet ediyor. Bu mucidi okurlarımıza tanıtmaya gerek yok; geçen sayımızda Eisenbaum tarafından tasarlanan yeni teleskop hakkında geniş bir röportaj yayımlanmıştı.
Bu davetten yararlanmaya muhakkak değer.","'Eisebauma' kaynakta tipo — doğru Eisenbaum"
"58A0BB834E3245C3EA6EC59A0F9A4C78","lw_GRZ_POI_Readable","Ogłoszenie","İlan",""
"CDCD1B0049291A021BF87FB0DC553DC9","lw_GRZ_POI_Readable","NOWEGO TYPU TELESKOP
""""PLUTON""""

można wypożyczyć za niewielką opłatą i oglądać cuda nocnego nieba

Pytać pod adresem: ul. Grzybowska 5/13","YENİ TİP TELESKOP
""""PLUTON""""

Ufak bir ücret karşılığında kiralanabilir ve gece göğünün harikaları seyredilebilir

Adres için sorun: Grzybowska sokağı 5/13",""
