"Hash","NodeName","PL","TR","Notes"
"0B7313094A14760D18E23297D4EBD23F","CinematicNode_Choice_0","Podziękuj jeszcze raz.","Bir kez daha teşekkür et.",""
"94E989794AB7AAF395880CB3F364D7B4","CinematicNode_Choice_0","Zaczep ją o Michała.","Michał hakkında sataş.",""
"AF99B1C04F764BC1A86514BEC9D3CD40","CinematicNode_Choice_0","Pożegnaj się.","Hoşça kal de.",""
"4DED10324531AB53A9F3ECB08AC7A788","CinematicNode_Choice_0","1","1",""
"BA847C9F4D230B76C787C786B6F9141F","CinematicNode_Choice_0","2","2",""
"8B53576C41D4150B10FE3B9C03D6C014","CinematicNode_Choice_0","3","3",""
"79C0E9C7405DF558834A3D836BB68E86","CinematicNode_Choice_1","Zapytaj o odpowiedź lekarza.","Hekimden gelen cevabı sor.",""
"41E9CB234D0D573CC9FB6BA5234846CE","CinematicNode_Choice_1","Zgań ją za takie żarty.","Bu tür şakalar için onu azarla.",""
"243208D842A703CBD0008DBC920D7FD1","CinematicNode_Choice_1","Powiedz, że chętnie jej pomożesz.","Ona seve seve yardım edeceğini söyle.",""
"14EAA97A480ECFF9DA2A6288CB524F34","CinematicNode_Choice_1","1","1",""
"84B6AA1B47B561FA41DDB28CEF1EA2E8","CinematicNode_Choice_1","2","2",""
"96A0620C4DB9397BDA816FB44E9DEFF5","CinematicNode_Choice_1","3","3",""
"C33A67314BF62DD6DBDF558CE8E66DDA","CinematicNode_Choice_3","Powiedz, że na to liczysz.","Bunu umduğunu söyle.",""
"E79042834E3F627F952159BD8A6B04AA","CinematicNode_Choice_3","Przyznaj, że nie wiesz.","Bilmediğini kabul et.",""
"390B875B48B5C6504F9913863695A4C5","CinematicNode_Choice_3","Zapewnij, że to nie tak, jak myśli.","Düşündüğü gibi olmadığına temin et.",""
"04E5D1B84F55C90D9064E3AA52005DC9","CinematicNode_Choice_3","1","1",""
"299786124F629D1D717160A829D9DBC3","CinematicNode_Choice_3","2","2",""
"2DF21F7D407D2D6DE0B67DADB7E99F72","CinematicNode_Choice_3","3","3",""
"B377E924424A3E6B85540F999082344A","CinematicNode_Choice_4","Podziękuj.","Teşekkür et.",""
"7988BC194044DC32498399971FA2E0EA","CinematicNode_Choice_4","Nic nie mów.","Bir şey söyleme.",""
"B196E6774F7416C27C34099D71BFD8F8","CinematicNode_Choice_4","1","1",""
"4BEFD25241B31232ACD728A297E0DC4C","CinematicNode_Choice_4","2","2",""
"7C3EC2184192327C0BA892B743E76115","CinematicNode_Response_0","...","…",""
"4EF101B4460477DC75D0928D2F965A57","CinematicNode_Response_1","...","…",""
"F15D65BF4F88B8D26C6C999F51FDC389","CinematicNode_Response_10","Wiem.","Biliyorum.",""
"87030989474A9D17856679865BD6F658","CinematicNode_Response_11","To może po rewolucji zrobimy tu siedzibę partii?","Belki devrimden sonra burayı parti merkezi yaparız?",""
"1A70FDEB4595CA0B9F8389B35339EF09","CinematicNode_Response_11","Nie.","Hayır.",""
"AEE417DD487247BE463C658759D6CF34","CinematicNode_Response_14","Jesteśmy kwita.","Ödeştik.",""
