"Hash","NodeName","PL"
"DBDB3C614236032CB3EE149B7FBACFF2","CinematicNode_Choice_0","Pomyśl o słowie ""przyjaciel""."
"A83D4DEF445FB325D687F4BD80BA142F","CinematicNode_Choice_0","Skup się na słowie ""oszust""."
"1C60D7CC4B8BAB165F3ED088B1BFC338","CinematicNode_Choice_0","1"
"39793FBF46165194D3F15F9334A28D65","CinematicNode_Choice_0","2"
"6F11B9C74E68A9C9EBDB8A91BF5079C0","CinematicNode_Choice_1","Skup jej uwagę na ""komitywie""."
"1A2E96E244792FB1953FB6848FAD271A","CinematicNode_Choice_1","Przywołaj w pamięci sekret cara."
"493F88FE43A2FE5D2DCCA9BB7D0880A3","CinematicNode_Choice_1","Całą wolę skup na swoich salutorach."
"B8C98EB6455C5CA2C34BFAB76E1367D7","CinematicNode_Choice_1","1"
"F20B55044E29EF23935DF8AF2414ABD7","CinematicNode_Choice_1","2"
"7DAF9D9A434225A2E1202D85A1299212","CinematicNode_Choice_1","3"
"4ADA9BF7483EB06AC9A60CB168407DB9","CinematicNode_Choice_12","Myśl o wykluczeniu, jakie was dotyka."
"D4E60FF64CFD5262ECCBF7B7CE55E067","CinematicNode_Choice_12","Powiedz, że chciałeś z nią pomówić."
"EAA1137843BCC006CDE0BABED2B91304","CinematicNode_Choice_12","1"
"30865CC849348C60B5BE13BBE5F5F84F","CinematicNode_Choice_12","2"
"3A4B16C74B8291B055BE0984A10FDFAA","CinematicNode_Choice_15","Chwyć się myśli o zadośćuczynieniu."
"7E8F3974419CEE17AE9A3482AD908AFB","CinematicNode_Choice_15","Skieruj jej myśli na Zofię Skałon."
"9F29C5DB4F789D37412FB1BAB74FD905","CinematicNode_Choice_15","1"
"159C37D74489FBB8D322C4A8FEABB04E","CinematicNode_Choice_15","2"
"C0EB496247B8960DCD758692187B5536","CinematicNode_Choice_16","Szczerze pomyśl o niej."
"5DA255C5462FCDA4BB50ABBDA3E864BE","CinematicNode_Choice_16","Powiedz, że to wszyscy."
"E716E3F54C17B6048838079CA5CB5DC8","CinematicNode_Choice_16","1"
"C996E41046980A78017E349ED9396690","CinematicNode_Choice_16","2"
"D47926AF47F2587623E219B2BA7D58E7","CinematicNode_Choice_17","Zapytaj, jaki ma plan."
"05D5AFFA48634FE50F3F52A09D30E0B6","CinematicNode_Choice_17","Powiedz, że nie wyjdziesz bez grymuaru ojca."
"985084F742EF798D7DF735BF9A4CA840","CinematicNode_Choice_17","1"
"C0E4C6A242A755B0F8D189BF3163461D","CinematicNode_Choice_17","2"
"5798810E479AB7E4A1327BA0A6501D34","CinematicNode_Choice_3","Zataj tożsamość członków."
"9079B16C4CFFDA441E838CBA4F94AA5C","CinematicNode_Choice_3","Wydaj jej tożsamość fałdżeja."
"E08785DD4A9656DBF492B1AF6883C778","CinematicNode_Choice_3","Wydaj jej tożsamość Ariela Rofe."
"2F498E784D2FD0E95FAA2F9CDC1B5C90","CinematicNode_Choice_3","1"
"9B71EBE0485DE309492184B1A22371CA","CinematicNode_Choice_3","2"
"EF0A24CB4CFA250129E724814500DA0F","CinematicNode_Choice_3","3"
"6832B2DE4790D02E37EB6BB81468BE83","CinematicNode_Choice_4","Dokucz jej."
"75D5F5CC4EBCFA8A13E14BBA3B9E294D","CinematicNode_Choice_4","Bądź wyrozumiały."
"6D5395644AAAA7D6246B5CA157703EBF","CinematicNode_Choice_4","Zapytaj, czy gniewa się za tamto <i>soirée</>."
"609A66EF453F0D82C0123A8BDDDA46A1","CinematicNode_Choice_4","1"
"1905F9B94A0C327B504FA5BBA57E568A","CinematicNode_Choice_4","2"
"456170314E31ADED67AAD397284A8C88","CinematicNode_Choice_4","3"
"54BDA1C9485F4C107D83FCA731A15FAD","CinematicNode_Choice_5","Ty zapytaj, po co była jej Skaza Zofii."
"8E553598428F8886C18B93884D5BD388","CinematicNode_Choice_5","Przyznaj się, nawet bardzo."
"93E76D3245EF1C5B36FC15BA9025BC12","CinematicNode_Choice_5","Całą wolą skup się na Welesie i innych salutorach."
"56171DF340035C07C181A086981970A3","CinematicNode_Choice_5","1"
"0158D9004CA1D8E1E7F34C87FFD618DF","CinematicNode_Choice_5","2"
"EFA86E7D48DD262871BDD6B02AC78890","CinematicNode_Choice_5","3"
"CC3961BD4C2C4F44FE6C11AF79CD9C3B","CinematicNode_Choice_7","Myśl o wspólnej ucieczce."
"FC521B6F4CA3F607DE5F5D8E34FE8ACC","CinematicNode_Choice_7","Skup się na zemście na Konieczkinie."
"8354A416414878E87CDCD7B26D99C362","CinematicNode_Choice_7","1"
"9434CADA42D8915F870D9480075AC33D","CinematicNode_Choice_7","2"
"C4F55CE24F99605FF0A1E381D309E944","CinematicNode_Choice_9","Nie ukrywaj Rasputina."
"C672055D4FD02D0C14355B9C97497ED9","CinematicNode_Choice_9","Skieruj jej myśli na Szymka."
"DB316F0B4C15ED84461EC9853AA84858","CinematicNode_Choice_9","Myśl o Kiryle."
"B93BAB9A407EBD7578D51C83C6311D0D","CinematicNode_Choice_9","1"
"FF6E59D04D55B18C78C7B8A3318257EB","CinematicNode_Choice_9","2"
"2CCBD0B84C378E3D5F1DFE844F814314","CinematicNode_Choice_9","3"
"F60512DF423FA4C30F9301B312D2F748","CinematicNode_Response_0","<ru>Batyushka</>, który wszędzie widzi diabła, to żadne zaskoczenie."
"D75215804B2D6EF257D216AC89F33761","CinematicNode_Response_0","Dziwne towarzystwo dla thaumaturga."
"07A3E21F4A7C5AFFAAADBE8F48AEECE2","CinematicNode_Response_10","O czym ty myślisz?"
"9771A85D4EEB5398546BCB851F45E623","CinematicNode_Response_13","Co to ma być?"
"9051F90747A76155BE82B083D79CD64B","CinematicNode_Response_13","Towarzystwo Wzajemnej Pomocy Thaumaturgów."
"2009C2CE474C8B6B2F43308C1E0A1A62","CinematicNode_Response_13","Brzmi jak banda kryminalistów. Kto tam jeszcze jest?"
"C5F509FF4AA34FF29EA7219E7BBCC561","CinematicNode_Response_15","Fałdżej... Nie słyszałam o kimś takim."
"4CA5C65949EBA471BD997E95FC7C667A","CinematicNode_Response_15","Dobrze o nim świadczy."
"0117DDF248C70941DD301DB4E17E272E","CinematicNode_Response_16","Kim jest ten cały Ariel?"
"3C7CA901403A86581C2AD8926A9768D7","CinematicNode_Response_16","Jest najzłośliwszym thaumaturgiem na zachód od Wisły. Polubicie się."
"F27F67EA482F2249D4484B88300BACD3","CinematicNode_Response_19","W cerkwi odbywał się egzorcyzm na małym chłopcu... Ale on nie był opętany."
"8D5E2CF94A138F2663199D9D33F50F27","CinematicNode_Response_19","Był taki jak my. Był thaumaturgiem."
"7D6F147444C95C57B58D12832F79C68D","CinematicNode_Response_21","Kto jeszcze?"
"660F00BB4680E30A244B0AA8F327463C","CinematicNode_Response_26","..."
