"Hash","NodeName","PL"
"212A49D44A333F610E7B719D70F02794","IC_lw_PP_POIs","Amerykański rarytas"
"FA25D8F242B9D59A00F363BC69F68F77","IC_lw_PP_POIs","W magazynie nr 4 trzyma swoje produkty znany koneser zagranicznych przysmaków, Henryk Reiner. Wśród sprowadzanych przez niego produktów jest napój cola - chętnie daje go do spróbowania zainteresowanym."
"7C4F65AA422906A69798E8B0BDE6FE7A","IC_lw_PP_POIs","Zgubiona nalepka"
"87AB91A144EDC8C625D54BBA6DA2DE84","IC_lw_PP_POIs","Niewielka karteczka z napisem. W tych okolicach ktoś przenosił skrzynie z towarem. Tylko co to ta ""COLA""?"
"9C5C815A4C74CF4DC169428DD962ABE9","IC_lw_PP_POIs","Czasopismo ""Mucha"""
"2372454C4CBBFF60441852AD8FF42E0E","IC_lw_PP_POIs","Strona z czasopisma. Humorystyczna rubryka nawiązuje widocznie do jakiegoś ogłoszenia autorstwa Henryka Reinera, który chce rozpromować nowy produkt z Ameryki."
"B47976FD47FC5A829715588CBF083A52","IC_lw_PP_POIs","Tabliczka"
"D6E7C2744C232F5E67284DB0EB9DF1D5","IC_lw_PP_POIs","Informacja, która prawdopodobnie znajdowała się na drzwiach magazynu lub skrzyniach z towarem - Henryk Reiner przechowuje swoje towary w magazynie nr 4."
"D12FE3FC42DBA40DEB1AA2AF37E5FB34","IC_lw_PP_POIs","Nielegalny humor"
"BB006CC24685AC9BA04EF492E7AF15E5","IC_lw_PP_POIs","Aleksander Kirschner to komik, który lubi żartować z cara. Jego popisy odbywają się wieczorami w barze ""Spelunka"". Po oficjalnym wydarzeniu można zobaczyć także tajny występ - wystarczy udać się na zaplecze i podać przy wejściu hasło ""A niech sczeźnie""."
"22E2A7F84EAAED384CCAA781313E7AA6","IC_lw_PP_POIs","Raport informatora Ochrany"
"888C511F402BFD22273FC18381D2E261","IC_lw_PP_POIs","Niechlujnie zapisana notatka, prawdopodobnie szkic późniejszego, pełnego raportu. W Porcie Praskim kręci się ktoś, kogo Ochrana ma na oku."
"881525794858BF83A78E51B58FABB267","IC_lw_PP_POIs","Afisz"
"8818D28A452A563710E808B17A40F1EC","IC_lw_PP_POIs","Plakat reklamujący występ komika Aleksandra Kirschnera w barze ""Spelunka""."
"D8824B794469EEBB9314EC9C5E210E55","IC_lw_PP_POIs","Liścik"
"ED8A666D4571013E2A3DBD98E925DC51","IC_lw_PP_POIs","Notatka z tajną informacją, złożona kilka razy, aby łatwo ją było ukryć. Gdzieś można zobaczyć nieoficjalny występ komika - wystarczy podać hasło przy wejściu."
"14C9C3D74770D4615731879AA009EA41","IC_lw_PP_POIs","Aromatyczna degustacja"
"BE1B53D641846B50A22DECB1F3684B11","IC_lw_PP_POIs","W składzie kolonialnym nr 2 codziennie rano można wziąć udział w degustacji pysznej kawy RIO sprowadzanej z Brazylii. Jest to specyfik zalecany szczególnie na ciężkie poranki po nieprzespanej nocy."
"A07E062343A46597E6A42ABF0BB337C4","IC_lw_PP_POIs","Afisz reklamowy"
"CB6676FA41BFFC3C4037358F68D618D7","IC_lw_PP_POIs","Kolorowy wydruk reklamujący skład kolonialny w magazynie nr 2. Ostatnio pojawiły się tam nowe produkty z Brazylii."
"678BFDEA41FA108B48290D8546248D28","IC_lw_PP_POIs","Notatka dla służącej"
"132B1FC342A0835FB1728FB62B7A2973","IC_lw_PP_POIs","Karteczka zgubiona prawdopodobnie podczas zakupów. Z treści wynika, że RIO to coś, co idealnie pasuje do śniadania po intensywnej nocy."
"B3BE44B248BA24220C92A9AB59717170","IC_lw_PP_POIs","List"
"159133784363F262E0FA9BBBE24753C3","IC_lw_PP_POIs","Krótka wiadomość zapisana na papeterii, z której nadal unosi się lekki zapach bergamotki. Marcelina wspomina, że w tym tygodniu codziennie rano właściciel składu umożliwia degustację ulubionego specyfiku Lizy."
