"Hash","NodeName","PL","TR","Notes"
"AD7BD6DF4632869BDEE591BD0C705D76","CinematicNode_Choice_0","Sięgnij do trzewi jego gniewu na pracodawcę, nie na ciebie.","Öfkesinin gerçek kaynağını bul; işverenine duyduğu kini, sana değil, ona yönlendir.",""
"C2FAD92042BB75349438619F66374EDB","CinematicNode_Choice_0","Powiedz, że to nieporozumienie.","Yanlış anlama olduğunu söyle.",""
"AD02CFEA4EDC36F00CE079BC723E88C4","CinematicNode_Choice_0","Przejdź do bicia.","Dövüşe gir.",""
"4DEB52AE4FF0C4BE2CDEE3A967CA0FD6","CinematicNode_Choice_0","1","1",""
"C91925D64CF1D8BC29C6E3B49270A5C1","CinematicNode_Choice_0","2","2",""
"1AB05DF045B357CD3243FF87B36FB904","CinematicNode_Choice_0","3","3",""
"CDB01FF449A9AED91651B18995FDFF09","CinematicNode_Choice_1","Zapytaj, czy zauważyła cokolwiek dziwnego.","Garip bir şey fark edip etmediğini sor.",""
"0AFE7E5F496B0E83AE7E2DA0B4BBFECD","CinematicNode_Choice_1","Kup kwiatka.","Çiçek satın al.",""
"B2ABC75544FEA4D98EE8A5B8CEDCCBF1","CinematicNode_Choice_1","Odejdź.","Çekil git.",""
"6B2BAD354B25837A8CE113959CBDFC80","CinematicNode_Choice_1","1","1",""
"B86A641841D2B5F7493FE8AE88932968","CinematicNode_Choice_1","2","2",""
"0B9013EB43F5D95091DF689CB2D89562","CinematicNode_Choice_1","3","3",""
"9C5E8A994B5F5BF59BDCEF97CAF54CE9","CinematicNode_Choice_2","Powiedz jej, co zobaczyłeś.","Ne gördüğünü anlat.",""
"9B77298748D1993E4771DDA4812C008B","CinematicNode_Choice_2","Najpierw przyjrzyj się kwiatkowi.","Önce çiçeğe bak.",""
"DF9E30B64C758999961CABB05277BFD5","CinematicNode_Choice_2","1","1",""
"65CDD4DB4C6F01310E0274858124046A","CinematicNode_Choice_2","2","2",""
"282ECC0A47A4549E4A69EEBFC3EC1D39","CinematicNode_Response_0","Mam nieodparte wrażenie, że już się poznaliśmy.","Tanışmış olduğumuz hissinden kurtulamıyorum.",""
"387848B84457AC66DE17B4803590DB98","CinematicNode_Response_0","Szanowny pan mnie z kimś myli, to pewne.","Sayın efendimiz beni başkasıyla karıştırıyor, kesinlikle.",""
"62F8BAB94C70716EFFF79DB425522880","CinematicNode_Response_0","Wiem, co mówię. Identyczny kwiatek, z wielką satysfakcją, zostawiłaś na jednym straganie. W zamian za śliczny, porcelanowy talerzyk.","Ne söylediğimi biliyorum. Aynı çiçeği, büyük bir memnuniyetle, bir tezgâha bıraktın. Karşılığında güzel bir porselen tabak aldın.",""
"E27AE10641DA0A511BFCDDBA103E9B68","CinematicNode_Response_0","A wcześniej, oglądałaś złote zegarki. W obawie przed podejrzeniami sprzedawcy, jeden z nich sobie darowałaś. Mówić dalej?","Daha önce de altın saatler bakıyordun. Satıcının şüphelenmesinden korkarak, birini kendine hediye ettin. Devam etmemi ister misin?",""
"E764D75F4AB266909345D4A3DD2A8557","CinematicNode_Response_0","Thaumaturg. Słyszałam coś niecoś o was i waszych sztuczkach. Pokazać ci prawdziwą magię?","Tılsımkâr. Sizin hakkınızda ve numaralarınız hakkında bir şeyler duymuştum. Sana gerçek sihri göstereyim mi?",""
