"Hash","NodeName","PL"
"733C3CE249091CCB734BC9B6B8EBE8F3","IC_lw_Tailor_SMG","Sen we śnie"
"973FA33748C77F0A4A63C5BA0D6C4E98","IC_lw_Tailor_SMG","Tęsknota za marzeniami, sny na jawie, pragnienie tego, co jest poza zasięgiem... Fular farbowany syntetyczną moweiną ożywi sylwetkę, czarne wełniane spodnie dodadzą klasy, a kamizelka w romby przełamie całość. Nadchodzą nowe czasy - mężczyzna nie musi już nosić się skromnie."
"8ACFE1884057731F6AEFE3A1D0A3AE26","IC_lw_Tailor_SMG","Pusta tubka"
"CFD6CD354F93DCABD45E2CAB70956ED1","IC_lw_Tailor_SMG","Opakowanie po fioletowej farbie."
"CFCC6810436D4CF88545098459C2BADF","IC_lw_Tailor_SMG","Serce"
"906037AE4E0B5FD0213461A68D8F0515","IC_lw_Tailor_SMG","Drżące na wietrze płatki malw jak jej usta, drżące podczas pierwszego pocałunku tamtego upalnego lata... Fiolet rozedrgany promieniami słońca, serce przepełnione słodyczą. Wspomnienie tamtej chwili budzi się za każdym razem, gdy barwi płótno fiołkowym kolorem."
"0628004F41696B366C4B639BE443DAA9","IC_lw_Tailor_SMG","Podręcznik do geometrii"
"A5ED69144BFA2D4D24BBD092450B4304","IC_lw_Tailor_SMG","Wysłużona książka ze śladami łez na okładce."
"1BBB9C7949F71DA6415AEA815A77D99A","IC_lw_Tailor_SMG","Umysł"
"E3F093D843B35EB38BD295BE1E10F5B7","IC_lw_Tailor_SMG","Dobrze, że jest geometria - ideał, którego gorzkie słowa nie zdołają zniszczyć. Choć rodzice podcinają mu skrzydła, on wierzy, że będzie kiedyś wspaniałym matematykiem - i znajdzie swoją bezpieczną przystań wśród perfekcyjnych rombów, kojących okręgów, przyjaznych trapezów."
"DAD041C3468F92E27E3E1C89853EBD85","IC_lw_Tailor_SMG","Pocztówka z Łodzi"
"268896E741F3944E328EE48D338D3C38","IC_lw_Tailor_SMG","Kartka z widokiem na zakłady włókiennicze w Łodzi."
"2817D1534C607F4633F17F9E4AECD564","IC_lw_Tailor_SMG","Słowo"
"55FAD16E4745EDDD3E3AA6A173ACBC2F","IC_lw_Tailor_SMG","Słowa pozdrowień na pocztówce pokrywa warstwa tęsknoty. Wspomnienie prezentu, który był dołączony do pocztówki, pozłaca litery: kawałek wełny z łódzkich zakładów przypomina o serdecznej cioci, którą musiał tam zostawić."
"6A3B0EBD49CD6776CD4E8F8911433964","IC_lw_Tailor_SMG","Miraże"
"EAFF013B4362A833976540A057BDDFB5","IC_lw_Tailor_SMG","Ułuda, maskarada, teatr. Rzeczy jawią się nie takimi, jakimi są naprawdę. Szamerunek nawiązuje do stylu militarnego, podkreślając sylwetkę; wzór paisley to ostatni krzyk mody, a surdut dodaje powagi. Czasem trzeba przywdziać przebranie: jedną twarz ukryć, inną pokazać światu."
"056D5BF54363A481BFA501924331D6DE","IC_lw_Tailor_SMG","Zgubiony guzik"
"D7640FFF467B9A9999A9DC8AF14B51D4","IC_lw_Tailor_SMG","Niewielki i mosiężny."
"B36FF42A4269C7A476C189A505591A7A","IC_lw_Tailor_SMG","Czyn"
"4F1C839D48040183B5D070A157EB5688","IC_lw_Tailor_SMG","Wysłużony guzik wpadł do kałuży. Kiedyś był przyszyty do czamary, manifestującej pamięć o powstaniu prosto w gęby Rosjan. Po latach znalazł miejsce w nowym płaszczu; ten jednak, choć sprezentowany przez wnuków w dobrej wierze, jest tylko nędzną atrapą dawnego ukochanego stroju."
"B00C0C184D4F94E1B2483AB094B46FCA","IC_lw_Tailor_SMG","Jedwabna poszetka"
"0081BAB94304383163A588AC28FAC9F8","IC_lw_Tailor_SMG","Poszetka z jedwabiu tkanego we wzór paisley."
"37AA7E384714728A774D40BF34D29DC4","IC_lw_Tailor_SMG","Czyn"
"0EE943894D2F2F445092FFA7001C8A63","IC_lw_Tailor_SMG","Poszetka poszybowała na bruk, ciśnięta ze złością. Wciąż przenika ją zapach indyjskich kwiatów - i głębokiego rozczarowania. Nie tak miała wyglądać ta podróż, miał wrócić z fortuną... Obiecany sukces okazał się ułudą. "
"A871FB384F80F414A18955B5BE35F3F9","IC_lw_Tailor_SMG","Ulotka reklamowa"
"24373ADF4DE99B34E35E9FAEEC550FE9","IC_lw_Tailor_SMG","Ulotka reklamująca surduty ze składu M. Hassego."
"35DD308945994B3B5FAE97B200F9626B","IC_lw_Tailor_SMG","Umysł"
"A6C1DB4E48173EDBF372108E8F7E5E17","IC_lw_Tailor_SMG","Doskonały plan układa się w głowie, pełne wiary myśli szepczą o sukcesie. To jest to: kupi sobie porządny surdut i będzie udawał przed jej rodzicami, że jest majętny. Nie wyda się, jakim jest nieudacznikiem - może po ślubie."
