"Hash","NodeName","PL"
"1E10E84344B8CB4EE0C91F909CF3ECFA","CinematicNode_Response_0","<fr>Adieu.</>"
"38FAF0D24FEB8DAB05EF9E9CA2F1CC50","CinematicNode_Response_1","Pilnuj tych kwitów z przepisaniem majątku."
"F15B451B4F08C971DFFC3EA78D11BC8E","CinematicNode_Response_1","..."
"F1933CF8493A2AADA74F959B98A4675D","CinematicNode_Response_1","Jakby był problem z płatnością, odezwiemy się do ciebie."
"66A32C3A4D70F09608AEB4B930D229D1","CinematicNode_Response_1","Skąd ten brak zaufania?"
"EC2B57B34CC0DE56EB0D3E8626ED185B","CinematicNode_Response_1","<i>Kiedy ubogi je kurę, to albo on chory, albo kura chora.</>"
"3B36AF95415336B163A43383A9FA1BB4","CinematicNode_Response_1","<sp>Amigos…</>"
"CC72D91C4CB8578DDC7556A81B6A84FA","CinematicNode_Response_2","[Przez kadr przetacza się stare drewniane koło, jak kłab chwastów “biegaczy” w westernach. Trzej mężczyźni śledzą koło wzrokiem, które toczy się i znika za drewnianą ścianą portowego hangaru. Słychać, że upada i zaraz po tym dźwięku słychać dźwięk łamiących się desek i jakiś niesprecyzowany rumor. Słychać bardzo głośny dźwięk, a z dachu sypie się pył.]"
"18BFB1BF4A74EFAA88641D8B28AA4055","CinematicNode_Response_3","Wiktor!"
"943D296546B7850D4FEBA993188A20EE","CinematicNode_Response_4","[Wszyscy trzej patrzą, jak za ścianą hangaru i stosem skrzyń i worków widać sylwetkę nieokreślonego, formującego się w coś kształtu.]"
"41C24A994B7038133822F1B38963484B","CinematicNode_Response_4","Javier!"
"0A7121C94F11DB8C6C1AF48F3F77EA92","CinematicNode_Response_8","[Dach hangaru zawala się na Swietłanę.]"
"B8928F084D00ED4FDE9AECB700C03B76","CinematicNode_Response_9","[Wiktor wraca na pomost.]"
