"Hash","NodeName","PL"
"5AD784DE4E8785CAF9BADF9E0A97985A","CinematicNode_Choice_0","Powiedz, że szukasz swojej drogi."
"F72127F5450DDF9EFC9F488B8D90B916","CinematicNode_Choice_0","Przyznaj, że lubisz kościoły."
"905E8E714A72B8FB0D60EBBE4E143B51","CinematicNode_Choice_0","Utnij temat, jesteś niewierzący."
"AFBBA35C478D987BCF9A3AAECB8E2A46","CinematicNode_Choice_0","1"
"450343CB46BDB89CDA2B46B85A2A0522","CinematicNode_Choice_0","2"
"4F827793460C8C6412AF5BA0BA206B8C","CinematicNode_Choice_0","3"
"8814E5704AFB1295CD39CFA34881B251","CinematicNode_Choice_1","Przyznaj, że wierzysz w Boga."
"9802F312466CDA73B524E7A49892605D","CinematicNode_Choice_1","Powiedz, że nie."
"534084F542CC22C096855E854321997F","CinematicNode_Choice_1","1"
"F0863E854842CD9BFF11A0A44A18278C","CinematicNode_Choice_1","2"
"504FA2014B505E1E42081F823517C614","CinematicNode_Choice_2","Zapytaj o egzorcyzmy."
"1C4CA93C4415812389ECCBAEEA9ABE3C","CinematicNode_Choice_2","Wypytaj o carycę."
"845B622344D7B5E41696D18CA1720225","CinematicNode_Choice_2","Porusz temat Rasputina."
"9D87BBCB43FE242ACA2622A6D8F9F553","CinematicNode_Choice_2","Dowiedz się, co Cerkiew sądzi o thaumaturgii."
"EF623D3C40942D9941C8F28F702665B6","CinematicNode_Choice_2","Odejdź."
"6E147D974DAFA20A6BFDF5AC906E0B53","CinematicNode_Choice_2","1"
"63A99C9B4DC097136385FB9542B4F8D4","CinematicNode_Choice_2","2"
"02142C5943C48237E4629D9245A7DEE0","CinematicNode_Choice_2","3"
"6F75C984485F870D2E5C989BB21C50C8","CinematicNode_Choice_2","4"
"B08265D94AF2195DD774459880D5B108","CinematicNode_Choice_2","5"
"CEF7377741372E971A335B831BD26093","CinematicNode_Choice_6","Zwróć uwagę na zapach kadzideł."
"7DA8F7D74BCD9AF9792F34BC40AC1145","CinematicNode_Choice_6","Powiedz, że chodzi o ciszę."
"2E4A8F0A4CF224A876DF09B6F7B7EA03","CinematicNode_Choice_6","Wspomnij o estetyce."
"560CA67A4831AD5D39C5FB8F1DE509DC","CinematicNode_Choice_6","1"
"07DCEB67462D1CFEA87563BE45F03F26","CinematicNode_Choice_6","2"
"8C5843034DD45E4199AC95AD0B0324F0","CinematicNode_Choice_6","3"
"73A3FC224A3CEEF91CA303A92402AD0B","CinematicNode_Choice_8","Zapytaj, czy wierzy w egzorcyzmy."
"55030EC7414D1ED5C778739904D9C1ED","CinematicNode_Choice_8","Zmień temat."
"265E3EAA4EA50A0D54078AA5C99075CD","CinematicNode_Choice_8","1"
