"Hash","NodeName","PL"
"1CEF33A64960628E21717CB155344F59","CinematicNode_Choice_0","Zarzuć mu bycie pospolitym kłamcą."
"2EC4BF644852392F2622B7982AE046C4","CinematicNode_Choice_0","Powiedz, że nie warto dać się rozstrzelać."
"87D9C7C74427104A6B14DEAE00FD8127","CinematicNode_Choice_0","Wyznaj, że posiłki są w drodze."
"BA5034F04EE5A15C9130128277567BC7","CinematicNode_Choice_0","Zauważ, że wszystko zaczęło się od figla."
"0DDBF76D44911BC6416D2BB02DAD232C","CinematicNode_Choice_0","1"
"1830C95A4932C15EBD9FBFB42B8143C6","CinematicNode_Choice_0","2"
"F3EAD503400DCD1A1C9F7ABD33DEFA51","CinematicNode_Choice_0","3"
"63EDFB8C4F241F0864C55ABF93F6CF7C","CinematicNode_Choice_0","4"
"C4B189594C369AB819836B8155F5692D","CinematicNode_Choice_1","Podpuść Edka do składania dalszych obietnic."
"462CCC594F547BF6D5AF2391C6F1332D","CinematicNode_Choice_1","Nie przerywaj mu."
"C3FB1DC4406AA9CB6A09E6B4157147D9","CinematicNode_Choice_1","1"
"95BB73F34DAFBC6E478DBEAD9EB4401E","CinematicNode_Choice_1","2"
"3F04DABC47C72726AE577AB463E90F4F","CinematicNode_Response_0","..."
"15B97DC4411DCD6D7A811899F465529A","CinematicNode_Response_10","Stąd nie ma ucieczki! Złóżcie broń, a może potraktujemy was łagodnie!"
"CF07361842868FCF3F7370BB33CCA7AE","CinematicNode_Response_10","Won stąd, carskie psy! Dzisiaj port, jutro reszta Warszawy!"
"BAA7B5664E275A8BE17AAA97467CEBF2","CinematicNode_Response_10","Panie sierżancie, to ten magik!"
"602F993346DCE08246B887B1B30ED73E","CinematicNode_Response_11","Coś mi się wydaje, że on nie jest z Ochrany."
"C02E83A140D4981345A2EF98D6D52580","CinematicNode_Response_12","To się nie skończy dobrze."
"FEF487CF4C59E398BEA6368DE5B05CC2","CinematicNode_Response_12","Słyszałeś? Zachowuj się."
"6B53FACC4A8B8A85C1DFDE86B7F7ED77","CinematicNode_Response_13","Jemioł, idiota... Miał jedno zadanie! Nie wchodź nam w drogę!"
"8936509B452BF479C59E2B9A2A42FDBC","CinematicNode_Response_14","Ten żandarm, którego więziliście, uciekł. Niedługo wróci tutaj z nowymi oddziałami."
"510F459F40FA6F2C1F43319067150182","CinematicNode_Response_14","Spalą cały port, a wy będziecie w samym jego środku."
"B0A520BD490FCD75CE143D887494FF88","CinematicNode_Response_14","Edek, to spalmy port, zanim tu dotrą! Z <dl>kacapami</> trzeba na ostro. Do broni, ludzie!"
"F9EF56A14ADA016CE06EE7AC56D8C115","CinematicNode_Response_15","Nie masz żadnej wizji, żadnego planu. Nie będzie żadnego powstania. Jemioł powiedział, że ukradliście ten ładunek po pijaku. Dla żartu."
"0D302455475EBB07B0F7A6AFA28B2951","CinematicNode_Response_15","Wierzysz temu idiocie?"
"CAD9F0BA4CDBB0B4BD9AEFBC51FAF8C9","CinematicNode_Response_15","Teraz się nie zatrzymamy! <dl>Gliny</> się z nami nigdy tak nie liczyły, jak teraz. Spalmy to wszystko!"
"0B4049754561945CCB929A95C6292651","CinematicNode_Response_17","Nawet gdybyś chciał, nie zakończysz już tego bezkrwawo. Stałeś się zakładnikiem własnej demagogii."
"777666BB436521E81DFE5591978D0999","CinematicNode_Response_17","Masz rację. I nie mam zamiaru przestać."
"A79FC13249EC7D63A5B786B019D74FA2","CinematicNode_Response_19","A jak już odbijecie port z carskich rąk, to co wtedy?"
"E52A08CF43A77DF88A46D5B175E351D0","CinematicNode_Response_2","To wszystko skończy się rzezią i większymi represjami. Prowadzisz tych ludzi na śmierć, a ich bliskich narażasz na carski odwet."
"1781756C4DA66C7FD84AAC918B5AAAAE","CinematicNode_Response_2","Ku chwale nas prowadzi!"
"D47285C54D9B9518BF20B2A7CAA41094","CinematicNode_Response_2","On nie jest stąd! On tego nie zrozumie!"
"96453C63497C055F571ECD8EAAD46A31","CinematicNode_Response_20","Ludzie! Przed nami pierwsza wielka bitwa, która odmieni historię tej ziemi! Damy znak do narodowego zrywu, poderwiemy wszystkie zabory do walki!"
"A9BD62B345C74B2FF0174CAF67AA663A","CinematicNode_Response_20","Ale port będzie nasz, nie, Edek?"
"0FB544454251A09380627EBC43279295","CinematicNode_Response_20","Najpierw odbijemy port, potem Warszawę, a potem zmusimy samego cara do negocjacji!"
"ABCFE2B84F4EA8B1DA22148534D49B7D","CinematicNode_Response_21","Jeszcze się tu kręcisz? Zawsze pojawiasz się przed jakąś rozróbą."
"AF9742554604DF836CB5F3BFD989ADD6","CinematicNode_Response_3","Łatwo porywać tłumy, kiedy można im obiecać wszystko. Trudniej będzie spełnić te obietnice bez pokrycia, prawda?"
"C5CB3F324D826BA4DBFD339FCF6E182F","CinematicNode_Response_3","Bez pokrycia? Rozejrzyj się i zobacz ilu ludzi za mną stoi. A to dopiero początek!"
"BB3A35124701FE3864895A9DE4C8AA65","CinematicNode_Response_3","Edek zdobył broń i mamy szansę wygonić <dl>kacapów</> z portu!"
"C1F7A41C4B586E1B01924BB10EB92EF1","CinematicNode_Response_3","I zwyciężymy!"
"0EFBF0D04BE45E04160382B8E82C40E6","CinematicNode_Response_6","..."
"3FFE23A74FB56D2FF66D75B596758CAD","CinematicNode_Response_7","Panie sierżancie, to zaczyna się nam wymykać z rąk."
"4EE2CDD245888432473484B14EB56821","CinematicNode_Response_7","Bierzemy ich, chłopcy!"
"04CAB02A463C9E60FE2DB7B25E027D16","CinematicNode_Response_7","Ludzie! <i>Co nam obca moc wydarła, teraz odbijemy!</>"
