"Hash","NodeName","PL"
"0B7313094A14760D18E23297D4EBD23F","CinematicNode_Choice_0","Podziękuj jeszcze raz."
"94E989794AB7AAF395880CB3F364D7B4","CinematicNode_Choice_0","Zaczep ją o Michała."
"AF99B1C04F764BC1A86514BEC9D3CD40","CinematicNode_Choice_0","Pożegnaj się."
"4DED10324531AB53A9F3ECB08AC7A788","CinematicNode_Choice_0","1"
"BA847C9F4D230B76C787C786B6F9141F","CinematicNode_Choice_0","2"
"8B53576C41D4150B10FE3B9C03D6C014","CinematicNode_Choice_0","3"
"79C0E9C7405DF558834A3D836BB68E86","CinematicNode_Choice_1","Zapytaj o odpowiedź lekarza."
"41E9CB234D0D573CC9FB6BA5234846CE","CinematicNode_Choice_1","Zgań ją za takie żarty."
"243208D842A703CBD0008DBC920D7FD1","CinematicNode_Choice_1","Powiedz, że chętnie jej pomożesz."
"14EAA97A480ECFF9DA2A6288CB524F34","CinematicNode_Choice_1","1"
"84B6AA1B47B561FA41DDB28CEF1EA2E8","CinematicNode_Choice_1","2"
"96A0620C4DB9397BDA816FB44E9DEFF5","CinematicNode_Choice_1","3"
"C33A67314BF62DD6DBDF558CE8E66DDA","CinematicNode_Choice_3","Powiedz, że na to liczysz."
"E79042834E3F627F952159BD8A6B04AA","CinematicNode_Choice_3","Przyznaj, że nie wiesz."
"390B875B48B5C6504F9913863695A4C5","CinematicNode_Choice_3","Zapewnij, że to nie tak, jak myśli."
"04E5D1B84F55C90D9064E3AA52005DC9","CinematicNode_Choice_3","1"
"299786124F629D1D717160A829D9DBC3","CinematicNode_Choice_3","2"
"2DF21F7D407D2D6DE0B67DADB7E99F72","CinematicNode_Choice_3","3"
"B377E924424A3E6B85540F999082344A","CinematicNode_Choice_4","Podziękuj."
"7988BC194044DC32498399971FA2E0EA","CinematicNode_Choice_4","Nic nie mów."
"B196E6774F7416C27C34099D71BFD8F8","CinematicNode_Choice_4","1"
"4BEFD25241B31232ACD728A297E0DC4C","CinematicNode_Choice_4","2"
"7C3EC2184192327C0BA892B743E76115","CinematicNode_Response_0","..."
"4EF101B4460477DC75D0928D2F965A57","CinematicNode_Response_1","..."
"F15D65BF4F88B8D26C6C999F51FDC389","CinematicNode_Response_10","Wiem."
"87030989474A9D17856679865BD6F658","CinematicNode_Response_11","To może po rewolucji zrobimy tu siedzibę partii?"
"1A70FDEB4595CA0B9F8389B35339EF09","CinematicNode_Response_11","Nie."
"AEE417DD487247BE463C658759D6CF34","CinematicNode_Response_14","Jesteśmy kwita."
"6C1ED3A44846DFC5EDA633B923BBE51F","CinematicNode_Response_15","A teraz wybacz, idę poszukać podpałki na nasze przyszłe <i>tête-à-tête</>."
"B75F11734FE0D1487E17C88FF9FEC508","CinematicNode_Response_16","..."
"2A9EAAA749FA1C210B0D2A80221D402F","CinematicNode_Response_17","Dziękuję, przekażę."
"64B1470941D93D7F3019FE9E6CF0D300","CinematicNode_Response_18","Jeszcze się nie oświadczył."
"540FA3724B668896C62E279EE7C2B060","CinematicNode_Response_19","Do zobaczenia."
"39B0C6B84768542083C69EA39690F57A","CinematicNode_Response_2","Odezwał się?"
"20A222B74713793B165E77AFE062E106","CinematicNode_Response_2","Mhm, i wiesz co? Utwierdził mnie w wierze, że thaumaturdzy to dziwacy."
"D5814E9242E14478745AD3987106D9B6","CinematicNode_Response_20","Czy panienka będzie nas odwiedzać częściej?"
"7BA838894D7BEC78247E87B6BDAFD944","CinematicNode_Response_21","Mam nadzieję."
"86DE6FD0497BCC88F38D9D9599B06876","CinematicNode_Response_22","Skąd mam wiedzieć."
"D6172020491D91D3B62547A4499CB072","CinematicNode_Response_22","No trudno, to ja już pójdę."
"06E8453F4C3653B61CADFBB566420918","CinematicNode_Response_23","..."
"992E725D411BA2E41CBEEFA09120D3ED","CinematicNode_Response_26","Dziękuję, Wanda."
"D10242D04F9FBF83BC00C5811E7F0FC0","CinematicNode_Response_27","Poza tym umówiłam się z Michałem."
"72A887C84B0406A6B554DD94155755FE","CinematicNode_Response_28","To nie tak. Niech sobie Grażynka nie wyobraża."
"8D0BC42B474757E949943499424AFC76","CinematicNode_Response_3","Do zobaczenia."
"C2B7CF984F0FDB94E2D4C2ABF361BB54","CinematicNode_Response_3","Szybciej, niż myślisz."
"061E03FE4CAA19CBD77B36886ED2CF34","CinematicNode_Response_30","Mhm."
"CCA7984B483E77AA514D28B72678950A","CinematicNode_Response_4","Panie Wiktorze, <i>koleżanka</> do pana. Podam herbatę w salonie."
"29CBF1524DEF7E5DF791488348A94C88","CinematicNode_Response_4","Nie zostanę długo, nie trzeba."
"39FDFD3041A4135349584B983B5ABCC5","CinematicNode_Response_4","Dziękuję, Grażynko."
"C2BF1E4A4EC604187D507CABB35C95B1","CinematicNode_Response_4","Miły dom, herbatka, gosposia."
"72427FF6496B1FB62F76A7901B05639C","CinematicNode_Response_4","Kiedy przyjdzie rewolucja, to wszystko pójdzie z dymem."
"B15846654FA605D0B4B26C884C1A517F","CinematicNode_Response_5","Po moim trupie. Ten dom to moje dziedzictwo."
"920A061042FA86344ECDD2AB3A407924","CinematicNode_Response_5","Droczę się."
"C4D83AD84CF7C8D2DDDC3CA9A631A763","CinematicNode_Response_6","Powiedz tylko kiedy. Podłożę pierwszą pochodnię."
"DFEFE8EF47122FD60BDBDDAE67F0EAEB","CinematicNode_Response_6","Jesteśmy umówieni."
"10214ED44161C52D87E0AFACD915C79C","CinematicNode_Response_7","Cieszę się, że mogłam pomóc. Jestem umówiona z Michałem."
"DB4469FB4A7AF6ABCE871CB6E171832C","CinematicNode_Response_8","Dziękuję raz jeszcze. Wyświadczyłaś mi wielką przysługę."
"0D269884462A1216952EFD97A42DDBA4","CinematicNode_Response_9","Pozdrów narzeczonego."
