"Hash","NodeName","PL"
"D300CDEE4F8EC672EC4C328367BD882D","CinematicNode_Choice_0","Zacznij temat niespełnionego życzenia."
"4DA36F8A4501A901586D0181781E53F6","CinematicNode_Choice_0","Dopytaj o jego spełnianie życzeń."
"81DA0FD249380B41880D10A7702CEE7D","CinematicNode_Choice_0","Zastanów się, czego byś sobie życzył."
"DA0E56C64C344C267CC9618C52E156AC","CinematicNode_Choice_0","Odejdź."
"30E0604E468D414491A1B4824FA17E31","CinematicNode_Choice_0","1"
"5EC2FCDF4AEB1AC077A29D92DFAFF252","CinematicNode_Choice_0","2"
"65F9342446EF64F563D354B1991861FA","CinematicNode_Choice_0","3"
"2EB00F71464DD2712E802FAB8A9C6AFB","CinematicNode_Choice_0","4"
"294F58864F5789244019E1847671B349","CinematicNode_Choice_1","Brnij dalej."
"721B721545639E08D96FC79A0AA32FB2","CinematicNode_Choice_1","Odpuść mu."
"60FF759B475503E9039EE4BB025B10E9","CinematicNode_Choice_1","1"
"87D972DE452189557981DABEAB61AE9B","CinematicNode_Choice_1","2"
"BFC5770E4EC65FF68D6F0BBEAC826A59","CinematicNode_Choice_2","Powiedz, że chcesz być najlepszy, jak nigdy dotąd nikt."
"36C1D3AC4AFDE75080A5159D2C04CD42","CinematicNode_Choice_2","Przyznaj, że pragniesz miłości."
"AD0B78DF42DCFC39F9F3E493AA346651","CinematicNode_Choice_2","Zauważ, że najbardziej chcesz wolności."
"83D6E729485E48FFFEBAF0985F73026D","CinematicNode_Choice_2","1"
"9B0637EF4E432AE82E33AD874157F142","CinematicNode_Choice_2","2"
"74C91E714C23DAEF45C124A02CFB3AC3","CinematicNode_Choice_2","3"
"F67EE7A74EBCC76EFA6A598EA50CAC96","CinematicNode_Choice_3","Przeproś."
"59F7548D4FC88C0CB0E472AA6D2D8969","CinematicNode_Choice_3","Powiedz, że twojego życzenia też nie spełnił."
"550E0D4F44987C17B21EFB933C2DD09E","CinematicNode_Choice_3","1"
"5F8A5C3F40B76E5B3FEF6E9029F04038","CinematicNode_Choice_3","2"
"FAD4656A4544547D442800B03A3C76A1","CinematicNode_Response_0","Dzień dobry."
"687D9E8C49B3CD796FA7618D75B3E18A","CinematicNode_Response_0","I może być jeszcze lepszy. Czego pan potrzebuje, ja to szybko wynajduję."
"A69F470C419D03D3B491D49AE14CF5E8","CinematicNode_Response_0","No słyszałem, że ma renomę."
"68DBAC824519ED84B09EAE8EBD9A2966","CinematicNode_Response_0","Jakie ma pan życzenia?"
"04C9CB5E431E3A48F0CE9B8E112FEFC4","CinematicNode_Response_1","Wpadły panu jakieś nowe życzenia do głowy?"
"0318FE9A45053A65E3D2ACA4C7A705BE","CinematicNode_Response_10","Pragnę prawdziwej miłości."
"524D53D348AF16368B40BFBD59E64A3A","CinematicNode_Response_10","To musisz się pan, uzbroić w cierpliwość. Miłości się nie pogania, prawda?"
"3B4FD05C44097FCA7FA25288CDC180DB","CinematicNode_Response_10","No, prawda."
"25C579FE4FDC428A3A3FDA8E16462D0E","CinematicNode_Response_11","Chcę wolności."
"D13E93044295EA718696F7AEF8F94C49","CinematicNode_Response_11","Takie cuda potrafię od ręki. Od czego ma pan wolną wolę? Chcesz pan czegoś, próbuj pan. Nie spróbujesz, pożałujesz."
"6AC33B64458E0D940F13F3ADE119189F","CinematicNode_Response_12","Następnym razem, pan mi nakreśli bardziej materialne życzenia."
"1E25708647F6163734C7D2B122DAB5D2","CinematicNode_Response_13","Chciałbym wrócić do tematu tego felernego życzenia."
"67DAB45A4C890ACF56A124B0F66BF117","CinematicNode_Response_13","Panie, czego pan to jeszcze drążysz?"
