"Hash","NodeName","PL"
"E1FD4A354FBF78AC18998BA7100E4AAB","CinematicNode_Choice_1","Zapytaj, czemu dzwoni."
"997F293E4AA445488262948A1AFC5FAC","CinematicNode_Choice_1","Dowiedz się, skąd ma twój numer."
"5E1C8E06456FC5AA8F01C4B1B5EC6B0C","CinematicNode_Choice_1","Zwróć uwagę, że jest późno."
"B66603FF45F93031AF783DA3CBC7334C","CinematicNode_Response_10","Tak, to niesamowity wynalazek. Jest też trochę późno."
"BC7AFEA746554CC3D3834F805F697A67","CinematicNode_Response_11","Wiktor, odbierz! Wiem, że tam jesteś."
"C15548AE44DD2B8D7925728EA8EB93AA","CinematicNode_Response_6","Słucham?"
"68C0A9884F08FEDED62612A43CAB9EF7","CinematicNode_Response_6","Tutaj mówię...? Słyszy mnie teraz? Wiktor? Wiktor, jesteś tam?"
"B52B176E4DF126F87B3A3CABAC48944A","CinematicNode_Response_6","Grigorij? Tak..."
"0AF866984B5C2FE8297101B706B7FB51","CinematicNode_Response_6","Wiktor? Gdzie jesteś?"
"70246624402BF36719B9D69EF9A9A173","CinematicNode_Response_6","Po drugiej stronie drutu. W domu. Gdzie zadzwonił telefon."
"7ADC74C144DBDEF8F8F560BE5FBE1B32","CinematicNode_Response_6","Niesamowite..."
"2167A24D45CC420F4C43E987D4520013","CinematicNode_Response_7","Coś się stało?"
"5EDD25AD43DBCC0BD4679B849237F238","CinematicNode_Response_7","U mnie? Nie."
"0B504B374D689E3260271C9BA579601B","CinematicNode_Response_8","Skąd wiedziałeś, że mam telefon w domu?"
"A1A4513F446BAA494741E6ADA409A134","CinematicNode_Response_8","Coś cię przerywa... Wiktor."
"818FA4284D764C4B1A0012B1B5AE7498","CinematicNode_Response_9","Telekomunikuję się z tobą, żeby ci powiedzieć, że znalazłem sobie przystań, tu, w Warszawie."
"4D2846264A99F71A1B72D1B355BE3F4B","CinematicNode_Response_9","Gdybyś mnie potrzebował."
"79464F274C63F927D11268B1446938A3","CinematicNode_Response_9","Jestem przy cmentarzu... Który to numer? Tak, tak... Powązkowska siedem. Numer siódmy, przy cmentarzu. Powązkowska."
"072CB0874D0750380AB090A128C0E0C7","CinematicNode_Response_9","Cieszę się. Dobrze cię słyszeć."
"5621460A4313BDF52760F094979B7641","CinematicNode_Response_9","Ciebie też dobrze słychać. Do zobaczenia."
"D25ADBD34DFD1AA909A323BF9FF08AF8","CinematicNode_Response_9","Chcę już kończyć. Co teraz...? W ten sposób? Wspaniały aparat. Niesamowity. Słucham...? O. A teraz...?"
