"Hash","NodeName","PL"
"51A054474FFFC024906D39B4D0ABFE9F","CinematicNode_Choice_0","Poprzyj Neumayera."
"2BA26FF04EE379EBE595A3B701D925DD","CinematicNode_Choice_0","Udziel poparcia Rudemu."
"FD6F48B1401A02156547C596DCDEC7BE","CinematicNode_Choice_0","Spróbuj załagodzić sytuację."
"EED1759047B61EB0316E7C88D091FCC8","CinematicNode_Choice_0","Nic nie mów."
"6EA40031428852B58481BE91293D493B","CinematicNode_Choice_0","1"
"112A4B3D4F6B5621388170BF52D04046","CinematicNode_Choice_0","2"
"E9FCBE9F4C91878D33FA21BDBADB5DB8","CinematicNode_Choice_0","3"
"105EAF1444DCA325E9639FB831219F76","CinematicNode_Choice_0","4"
"4BB2E88A49A736913EF5A099BE525CBB","CinematicNode_Choice_1","Daj znać Rutkowskiemu, żeby żądał więcej."
"56C306F44978495B59F2E39C3114683A","CinematicNode_Choice_1","Zasugeruj Neumayerowi, żeby się targował."
"3D33C7644C4AF14A9935A5A6813ED961","CinematicNode_Choice_1","Nic nie mów."
"9D8EC48F489B4731F4DCACA9B09E5BCF","CinematicNode_Choice_1","1"
"171661684316E7960552C3BD5FD570DC","CinematicNode_Choice_1","2"
"FC4D2736497E82A98FCEB89B82C0BEAF","CinematicNode_Choice_1","3"
"04F04FD64E2317E8BD4B8CBCFD047AEB","CinematicNode_Choice_2","Poproś Neumayera o rozmowę na stronie."
"B29CC660475BF4C25AB827A7B3FC2C49","CinematicNode_Choice_2","Stwierdź, że jesteś tu z ciekawości."
"6CB9049E4D374911A3553AAD5D09D23A","CinematicNode_Choice_2","Przyznaj, że jesteś tu dla Abaurycego."
"A34E557047C2B17FE958E59813AC1B2D","CinematicNode_Choice_2","1"
"4EDD267A4B57C9DD85A6DE9CF3ACB351","CinematicNode_Choice_2","2"
"EEFA312E47A952F4D2DD588127DC62BA","CinematicNode_Choice_2","3"
"F66FEB974645B52A095C22A949A5D128","CinematicNode_Response_0","Napędza pan gospodarkę, tworzy miejsca pracy, ale czy ktoś to szanuje? Ktoś to docenia?"
"D9D284544CB7257FE632F8A700CA7DF8","CinematicNode_Response_0","Szanowny panie, nikt. <i>Niemand.</>"
"BE28083D4F02BE2BAE10B093FCBF1644","CinematicNode_Response_0","Swój do swego ciągnie, kurwa jego mać."
"B07EC04E4352FD3FB82C8F9EAAB3F18D","CinematicNode_Response_0","Panie, coś pan za jeden i co tu robisz?"
"E5C32D23455E31ED64449D82292935F7","CinematicNode_Response_1","Kapitalista trzyma but na szyi protelariatu, a teraz ma żal, że się ludzie buntują."
"7FA68A0B4FFEA1830F9FDF8780AC0AE6","CinematicNode_Response_1","Ta jest! Dość tego ucisku, kurwy i złodzieje!"
"19C3422D474AB8952FA1DFA7B1C549E0","CinematicNode_Response_1","Dość tego! <i>Solch Schandgerede!</> Nie życzę sobie!"
"CB26BC9D4309AE6BA69653BED0CA73CC","CinematicNode_Response_1","Rudy!"
"E362D60940A10819CE2F0798E43324C4","CinematicNode_Response_10","Powie im pan, albo oferta kupna Bucefałka idzie do prasy. Razem z komentarzem redaktora Fejgina."
"809FB2F64AB3136C266A77888652B713","CinematicNode_Response_10","<i>Meine Herren,</> chodźcie tu, wasze na wierzchu. Będę z tego powodu cierpiał, ale to już nikogo nie obchodzi. <i>Was für ein Schicksal!</>"
"B064821B47B02C71C35B28A3A501B6F8","CinematicNode_Response_10","Zaraz dostanie wylewu."
"0F93EDC1440FDEEDAB3682998A6772F2","CinematicNode_Response_10","Zrobiłem co było konieczne, żebyście wy byli zadowoleni. Przyjmuję wasze warunki, wygraliście."
"700EBBAB483F169EF2DC9889841AA517","CinematicNode_Response_10","Hurra!"
"372846CC49F711DDFCF3E48402B62364","CinematicNode_Response_10","A teraz, <i>robotać!</>"
"91A855914D8A3CEEEE16698FEAFB7869","CinematicNode_Response_11","No, jak negocjacje, to negocjujmy. Bez nas pan nie skończy tego zlecenia. Taka jest prawda."
"4641CAF04C8B9410560B2794797E68B2","CinematicNode_Response_11","Pan Neumayer?"
"973A7C014461AEA7A93D7999E0DC8B11","CinematicNode_Response_11"," <i>Nicht jetzt!</> Nie wiem, ile razy mam powtarzać. Tego się nie da zrobić, to się nie opłaca, nie tak się robi <i>Geschäft.</>"
"73C3E2484C91D25A577955BF72415F8D","CinematicNode_Response_11","Panie! My się nie damy. Albo pan zatrudniasz zwolnionych chłopaków, albo do widzenia, do jutra."
"CF7AB7234232ABEE111AF38450B20DD9","CinematicNode_Response_11","Sam se te kanały buduj. Kapitalista zapchlony, w dupę kopany."
"15C15ABE4C40E3110D2E82A4ECF08F84","CinematicNode_Response_11","Rudy!"
"1A7389D44F3FAE2D009F5BB6E67DCFEB","CinematicNode_Response_11","To jest rynsztok, a nie negocjacje."
"616DE24E4B60331F35D388B6E050E3AB","CinematicNode_Response_12","Chłopaki, strajk trwa dalej! Nie ruszamy roboty. Fajrant, aż do odwołania."
"A9DBBCED4F956842464E55A74858B35A","CinematicNode_Response_12","To może teraz znajdzie pan chwilę?"
"19C59FFA423958CDC2DF36B438155F03","CinematicNode_Response_12","Nie tutaj. Proszę za mną."
"BA9722A84F61DFD2BC5D309057FFC07B","CinematicNode_Response_13","Nie!"
"AE3533504245EFFA25E0EA8D2BDDDED0","CinematicNode_Response_14","<i>Dwa razy</> wyższe."
"62194BED4A2E1EA3401F638DAA08BABC","CinematicNode_Response_14","Dwa razy wyższe dniówki! I da pan rentę siostrze Rudego. Jako gest dobrej woli."
"DB435111452789B71C44E299393E3A73","CinematicNode_Response_14","Tak jest!"
"781AE78E469500A7D4B7C2A4CF205647","CinematicNode_Response_14","I my do roboty wracamy i koniec tego cyrku."
"D741489941A29DF34BD1D3AD8EC59C41","CinematicNode_Response_14","Trzydzieści cztery raz siedem... razy sześć... i odliczę sobie to od opłat...  Tak. <i>Alles klar.</> Zgadzam się."
"7715093749B3156931554E85F2D82C7F","CinematicNode_Response_14","I bardzo dobrze. Chłopaki koniec przerwy. Do roboty!"
"ABA114F4459811C365A6139011E15103","CinematicNode_Response_15","Ekhem. Wezmą mniej."
"69384ADB406043D6567F149E79A075DD","CinematicNode_Response_15","Nie, nie, nie. O połowę to za dużo. Dam wam trzydzieści procent. Bierzecie, albo zatrudniam kogoś na wasze miejsce."
"A4A4D5374FEB71326757788B804CD7A9","CinematicNode_Response_15","Niech będzie."
"E1739A95480C908AFC1F068DE25B4B08","CinematicNode_Response_15","Dusigrosz."
"D2E1C5A14D46475C2190FF81535B43C2","CinematicNode_Response_15","Ale da pan rentę dla siostry Rudego. Wylądowała na bruku z piątką dzieci, trzeba jej pomóc."
"2C88A98D4AEA68402D159A8BA1437649","CinematicNode_Response_15","To mogę zrobić. Dostanie zapomogę, ale w wysokości pensji sprzed podwyżki."
"F64FB68B4168897DA2DF58907BE62137","CinematicNode_Response_15","Niech będzie. Chłopaki, słyszeliście. Wracamy do roboty."
"3CA52E7347B283B5EE3BD2BBD3658797","CinematicNode_Response_16","..."
"EF1E79E04E5AC368B02A4C88DD55B8BC","CinematicNode_Response_16","Siedemnaście raz sześć... razy sześć... Tak, to się da zrobić... "
"9960F4A044EAE91FB5329CB1EB0FECB8","CinematicNode_Response_16","I jeszcze da pan rentę siostrze Rudego. Musimy jej pomóc."
"C1E45D6D47F515A9C671BAAFD3F05D16","CinematicNode_Response_16","...No to razy siedem i odliczę sobie to od opłat... <i>Alles klar.</> Zgadzam się na te warunki. A teraz do roboty."
"C5EAD5D146821CC108DFEB9009D07E37","CinematicNode_Response_16","Chłopcy, słyszeliście szefa. Do roboty!"
"88A5CBB448490D7E30DCC8A3162F09A8","CinematicNode_Response_2","To nawet pasuje, że rynsztok. W końcu budujecie kanały."
"080CE42242BA86518B25F8851071D4AC","CinematicNode_Response_2","..."
"43C0303D439ED83BB99847AA707676F2","CinematicNode_Response_2","..."
"AC3C966A4DE85C1C21728382822A3887","CinematicNode_Response_2","Taki żart."
"2F5BE5E94AEB8B5658082DA99CE22858","CinematicNode_Response_3","..."
"B58AE2E94779382CF4159D9C0617FD59","CinematicNode_Response_3","Nic dziwnego, że ludziom nerw wchodzi. Pan nie może zmieniać wszystkiego z dnia na dzień i oczekiwać, że wszyscy się dostosują."
"1C0D972C439F213B2348A293D0334B78","CinematicNode_Response_3","<i>Ich kann das sehr wohl.</> Mogę. To się nazywa sprawczość."
"6ACF99644BF9DDA928902BA0BA12F567","CinematicNode_Response_3","My panu pokażemy sprawczość."
"F066081749BDCC16B63F8AA537E2BB37","CinematicNode_Response_4","Kim pan jest i czego pan chce?"
"A754199F4AC54D870BFD2CB9F23DBC54","CinematicNode_Response_5","Chciałem z panem porozmawiać."
"F42947984AA38D7B24586DBD02AEAEFD","CinematicNode_Response_5","<i>Zeit ist Geld.</> Nie mam czasu. Ani na pana, ani na te negocjacje. Wracamy do roboty."
"9C2CBDAA4CDF47532CC8A4B2A2E09F40","CinematicNode_Response_6","Przeszedłem z ciekawości. Macie tu frapujący dylemat."
"B4DB2CA04B6A2E80490017AC054DB436","CinematicNode_Response_6","Dylemat? Panie, tu o porządnych chłopaków chodzi, o ich rodziny! To nie cyferki w notesie, to są ludzie!"
"C4410B224E111FBCFD709DBE6F55E854","CinematicNode_Response_6","Panie, ja nie mam czasu na sentymenty. Czas to pieniądz. <i>Bewegung!</>"
"92CE621E4B7F5AE0314E0D8F28EE090C","CinematicNode_Response_7","Przyjaciel prosił, żebym się przyjrzał sprawie strajku."
"BA6960ED487B21D5A9166583E6BFE6F1","CinematicNode_Response_7","Starajku? Jakiego strajku? Już po strajku, negocjacje skończone, wszyscy wracają do roboty."
"4CE381724830380173A9E698EFC76F25","CinematicNode_Response_8","<i>Meine Herren</> posłuchajcie, proszę. Wiem, że padły między nami słowa przykre, ale znalazłem rozwiązanie. Wasi <i>Freunde</> wrócą do pracy."
"39AB380C4BC99AE4CC72A2AC497BAB51","CinematicNode_Response_8","Naprawdę?"
"4CE7E9184D9742008D2720A5258B572D","CinematicNode_Response_8","Tak. Zrozumiałem, co się liczy. Jesteście najważniejsi, wszyscy wracają do pracy. <i>Ich verspreche es!</>"
"F86B91214B9E2DEB49547584DCA40E51","CinematicNode_Response_8","Upadł na głowę, czy co?"
"019556594BECDCEA122797BFB8941862","CinematicNode_Response_8","Panowie, to działa! Zakładamy związek."
"10FFA660467D74C3742888897DC39FF0","CinematicNode_Response_9","Wznawiamy negocjacje."
"D77C3E4C470C236387DCAB9C1E96B953","CinematicNode_Response_9","Odzyskał pan rozum, <i>ja?</>"
"BAA7BBB44B53AA119C7198B7035CE448","CinematicNode_Response_9","Nie tylko ja, my wszyscy. Bez lojalności, solidarności nie ma."
"398E5B144BE9CD7F863193AEFF278187","CinematicNode_Response_9","Dobrze gada."
"E45BDCE4439A8267760167A3545211F9","CinematicNode_Response_9","Nowe postulaty mamy. Wszyscy dostajemy dniówki o połowę wyższe. "
