"Hash","NodeName","PL","TR","Notes"
"717FEFC045F92682100F44BB26160F2F","lw_PW_POI_Readable","Kwit ","Makbuz ",""
"7DC7E84E43853F1164DC03A5C11EECA7","lw_PW_POI_Readable","dnia 12.VIII.1905

Droguerja ""Sanitas""
skład materjałów aptecznych oraz handel artykułów i nowości domowo-gosp.

KWIT

Poświadczam, że Roch Sochalski nabył:
 - lodownię pokojową
 - roczny abonament na lód w ilości 2 kg miesięcznie
 - gazę sterylizowaną w ilości 20 szt.

za które zapłacił w zupełności.

Podpisano,
Jan Rostocki","12.VIII.1905 tarihinde

""Sanitas"" Ecza Deposu
ecza malzemeleri deposu ve ev-eşya maddeleri ile yenilikler ticarethanesi

MAKBUZ

Aşağıdakilerin Roch Sochalski tarafından satın alındığını tasdik ederim:
 - oda buzdolabı
 - aylık 2 kg buz için bir yıllık abonman
 - 20 adet steril gaz bezi

bunların bedeli tamamen ödenmiştir.

İmza,
Jan Rostocki","'Lodownia' = dönem buzdolabı (buz bloklu)"
"D9DC406A4BA5988B0E5E21AA3B67BA4F","lw_PW_POI_Readable","Raport stróża","Bekçi Raporu",""
"6938EB7140216169815BD7A77E85B04B","lw_PW_POI_Readable","komisariat policji Warszawa-Śródmieście<br>
3.IX.1905

RAPORT

Donoszę o wzbudzającym wszelkie podejrzenia zachowaniu dwóch braci mieszkających pod numerem 2. Bracia Sochalscy, Wacław i Roch, często wracają do domu długo po zamknięciu bram, przeskakując mur. Wracają o różnych porach, więc zanim zdołam ich złapać na gorącym uczynku, już są w swoim mieszkaniu i twierdzą, że cały czas spali, a Wacław mruga na mnie swoimi kaprawymi oczkami i uśmiecha się szyderczo.

Maurycy Antczak
stróż kamienicy przy Bednarskiej 4","Varşova-Śródmieście polis karakolu<br>
3.IX.1905

RAPOR

2 numarada oturan iki kardeşin her türlü şüphe uyandıran davranışını bildiriyorum. Sochalski kardeşler, Wacław ile Roch, sık sık kapılar kapandıktan çok sonra, duvarın üzerinden atlayarak eve dönüyorlar. Değişik saatlerde döndükleri için onları suç üstü yakalamaya yeltendiğimde çoktan kendi dairelerinde oluyorlar ve baştan beri uyuduklarını iddia ediyorlar; Wacław da o çapaklı gözlerini kırpıp bana alaycı bir gülümseme atıyor.

Maurycy Antczak
Bednarska 4 apartman bekçisi",""
"FD1367FD4FBC841BB61B6D865523F23F","lw_PW_POI_Readable","Opakowanie po gazie aptecznej","Ecza Gaz Bezi Ambalajı",""
"2386EECC48210B28061B92BA4C9C598A","lw_PW_POI_Readable","Gaza higroskopijna
sterylizowana","Higroskopik gaz bezi
sterilize",""
"F7C78B53494D1B37E6F6098C0ADE4E85","lw_PW_POI_Readable","Afisz z ogłoszeniem","İlanlı Afiş",""
"F5848DE04D00D259690AAEB8AC198671","lw_PW_POI_Readable","POSZUKIWANI ŚWIADKOWIE

Każdemu, kto:
 - udzieli informacji na temat miejsca i organizatorów nielegalnych walk na pięści w naszem mieście,
 - pomoże w ujęciu braci znanych jako ""Zupa"" i ""Kaprawy Wacław""
zostanie wypłacona NAGRODA 50 rb.
Zgłoszenia na każdym warszawskim komisariacie.","ŞAHİT ARANIYOR

Şu kişilere:
 - şehrimizdeki yasadışı yumruk dövüşlerinin yeri ve organizatörleri hakkında bilgi verene,
 - ""Çorba"" ve ""Çapaklı Wacław"" namlarıyla bilinen kardeşlerin yakalanmasına yardım edene
50 rb. ÖDÜL verilecektir.
Bildirimler Varşova'nın her polis karakoluna.","'Zupa' = Çorba lakabı"
"E78351574C18D0B5A62778A395982E85","lw_PW_POI_Readable","Ulotka ","Broşür ",""
"14B596F1418BF5DB642901B222B08D58","lw_PW_POI_Readable","Bracia!

11-to godzinny czas pracy zabija nas dzień po dniu. Wzorem robotników z fabryk niemieckich i angielskich walczmy o skrócenie czasu pracy do 9 godzin!
Weźcie udział w STRAJKU - 13-ego września odłóżcie swoje narzędzia i przystąpcie do walki o naszą przyszłość.","Kardeşler!

11 saatlik iş günü bizi gün gün öldürüyor. Alman ve İngiliz fabrikalarındaki işçiler gibi, iş günümüzü 9 saate indirmek için savaşalım!
GREVE katılın — 13 Eylül'de aletlerinizi bırakın ve geleceğimiz için mücadeleye geçin.",""
