"Hash","NodeName","PL"
"4BB93ECA4F0DA90DE1E4DDBD3BEE62C1","CinematicNode_Choice_11","Pozwól mu mówić."
"CF9948CF4E2EDFE9CC83769F14F5DB54","CinematicNode_Choice_11","Zapewnij, że po tobie zostanie więcej, niż po twoim ojcu."
"4CB0BE25471F5B7AF061D7AAAB6C7533","CinematicNode_Choice_11","1"
"1B375A9D478C637EF35159B513188A8A","CinematicNode_Choice_11","2"
"6E81447542511805CE46FCB0CF61A7AF","CinematicNode_Choice_12","Zaznacz, że ojciec nie miał tylu salutorów."
"B258D5814039F3AABA013D8C26A13EDA","CinematicNode_Choice_12","Powiedz, że ojciec nie znał Rasputina."
"DD48A52D44FC13C95FF2F79B0BAB868C","CinematicNode_Choice_12","Nawiąż do jego porażki z komitywą."
"1AF906BE4B1A21735D99E7BEF6319D3B","CinematicNode_Choice_12","1"
"4CBBC0D24074AED7F564C380B1AA78BA","CinematicNode_Choice_12","2"
"CA78CAA94FB41C315E262A853B3A71CC","CinematicNode_Choice_12","3"
"76DC922A40AEF79CB3EEB9940000B16B","CinematicNode_Choice_13","Wyprzyj się tego."
"18C839484B2693D7FF3F87801B841E5C","CinematicNode_Choice_13","Powiedz, że już go przerosłeś."
"1494266443CFFDE8EC48AFAD914003A0","CinematicNode_Choice_13","Przyznaj mu rację."
"BF8446A04C7D8745F7C559A8C1FB85C4","CinematicNode_Choice_13","1"
"FAACBBA04BDAD5818172EB8F712ED369","CinematicNode_Choice_13","2"
"83BF26C64FC5AB9106C7F6B5C37EF618","CinematicNode_Choice_13","3"
"D79AC8E84CBFDFA5CB7164900055FDB8","CinematicNode_Choice_14","Powiedz, że tak."
"B1DC854C46BFC98B89CAAFAD9BC2B405","CinematicNode_Choice_14","Przyznaj, że chciałbyś."
"08CC6FCC4C838AF53FD4EABFE8643297","CinematicNode_Choice_14","Powiedz, że nie."
"95A9B74D4EC8B0A3FFEC8490BC1213CD","CinematicNode_Choice_14","1"
