"Hash","NodeName","PL"
"545F604F41B97881C1F2D9A8A9AB606A","CinematicNode_Choice_2"," Chyba pomyliła cię ze swoim lokajem."
"BF4BA0994F7A246D06E621A06C6410C0","CinematicNode_Choice_2","Przyklęknij."
"54EA7F1744519D018F2843B2E06F275F","CinematicNode_Choice_3","Zapytaj, kim ona jest."
"8254D5A949871D0CEEA97AB46C293AF3","CinematicNode_Choice_3","Powiedz, że mógłbyś ją wydać."
"196CDA3943D3CA7AF2379F80AFD29BE5","CinematicNode_Choice_3","Zapytaj ją, co proponuje."
"1E9C42744859C5B03EE9A98E1509B2AF","CinematicNode_Choice_3","Odejdź."
"14A1EF5D4E7BB6DC019BCC84BF81ECE7","CinematicNode_Response_12","Albo ktoś z was się sam przyzna do zakłócania porządku, albo <ru>vsekh zabirayem</>!"
"C7A5E67F41F5BD64BBC645814B1B7F02","CinematicNode_Response_12","Wszystkich to nie dacie rady!"
"B66145FF4C1A7DA5B2934591EAFC05B5","CinematicNode_Response_12","Możesz nas stąd wydostać?"
"4B7DEE57413E4AF5E369F082FBA4E52B","CinematicNode_Response_14","To wygląda raczej na zadanie dla służby, panienko."
"85B9B9B04A4550C6F36D7BBC1771470E","CinematicNode_Response_14","Proszę. Spójrz w dół."
"28CBCF3A4B42DCE238D526B4AFB6788E","CinematicNode_Response_15","Sam nie śmiałem proponować."
"21FE23AB4E7176AC5D1571938E5B02E1","CinematicNode_Response_16","Mogę cię prosić o jedną, niewielką przysługę? Rosjanie nie mogą się o tym dowiedzieć."
"5CE62D9D4025E7FB3AB72FA7A21D3F91","CinematicNode_Response_16","Wojsko szuka tylko pretekstu, żeby spacyfikować tłum, a ci robotnicy marzą, żeby przylać rosyjskiemu żandarmowi."
"F420060E47B9AD6539AC2D9F38B83FB1","CinematicNode_Response_17","Wielcy gieroje, z tym swoim wyczuciem czasu. Teraz do bójki to są pierwsi!"
"9ED14E494E6B8AA6F32EA9B8575B2C1F","CinematicNode_Response_17","<ru>Samoobladaniye! Polyaki!</> Chcemy tylko tego buntownika, krzykacza!"
"E342014F40B2C6C5439AD5B9A4B5875B","CinematicNode_Response_17","Psia krew!"
"C0F777E74E54F446017BD08B0E8A571E","CinematicNode_Response_17","Co się stało?"
"B98056CE4B08E002B33B09B40960D29A","CinematicNode_Response_17","Bądź dżentelmenem, przyklęknij proszę i zawiąż mi bucik."
"A9C93BE0498C11C2625D69996AA33786","CinematicNode_Response_18","Pójdę się rozejrzeć."
"A39892B84AF6779D8837F582E4900031","CinematicNode_Response_19","Kim ty właściwie jesteś?"
"3DD6F02E439DBC6459BB2DA135F982D8","CinematicNode_Response_19","Damą w opałach."
"90995CC0402A86271966E7800723EE5B","CinematicNode_Response_19","Takie nie chowają zwykle nabojów w pończochach."
"B56237234C94B8711059EAA5A5D32BA6","CinematicNode_Response_19","Może wyjaśnię ci kiedy indziej?"
"0E6978BB490AD44A2D288DBDCC71D54C","CinematicNode_Response_20","Mógłbym na przykład wyznać jakiemuś żołnierzowi, że przyszłaś tutaj z nabojami pod kiecką."
"E374500E4E82073B980B6E9066211D6D","CinematicNode_Response_20","Może zobaczymy, komu uwierzą?"
"2EDA7916456FB8D99FE6CFA59DFBCAD3","CinematicNode_Response_20","Szanowanej syreniance, czy pospolitemu <i>magikowi</>, który jeszcze sto lat temu spłonąłby na stosie?"
"C6362E5342A9D08D95F721AD6D200768","CinematicNode_Response_20","Cóż, skoro tak ładnie prosisz."
"B280885541FAD07973D22682FF445792","CinematicNode_Response_21","Chyba jestem gotów wysłuchać każdej sugestii."
"31F49AE9457BEAAA20FD3C82549B1253","CinematicNode_Response_21","Z taką książką, dowiedziałabym się, co przekona któregoś z tych łajdaków, żeby nas puścili."
"50BC70C54C219594405ECD93F4AE7885","CinematicNode_Response_21","Albo zajęłabym się tym samozwańczym liderem proletariatu."
"10E92B584021461FAE3A4686F1ABD75E","CinematicNode_Response_21","Ciekawa strategia."
"DF1C96B649A236BDC081DB8EF015F80F","CinematicNode_Response_22","Jeszcze mnie nie sypnąłeś?"
"8C80600E4AC6F59E5CBE769B6FD9004E","CinematicNode_Response_23","Może mógłbyś myśleć trochę szybciej?"
