"Hash","NodeName","PL","TR","Notes"
"6407D3984E00785D8FD2ABA8D4885614","smg02_04_students_about_ochrana_chats","Słyszeliście już o Waldemarze?","Waldemar'dan haberiniz oldu mu?",""
"59B6E77A441BF90D75076086B71C5B2E","smg02_04_students_about_ochrana_chats","Trudno było nie usłyszeć, tak gruchnęło.","Duymamak zordu; bu kadar çıktı.",""
"270B0F9A480345E50052029E2C815712","smg02_04_students_about_ochrana_chats","Janka się boi teraz chodzić na wykłady.","Janka artık derslere gitmeye korkuyor.",""
"3FA21BFB4CC56872CC044EB7D58BE812","smg02_04_students_about_ochrana_chats","Ja chyba też odpuszczę.","Ben de bırakacağım galiba.",""
"FB828DF3405F806466E50FBE18C5EF47","smg02_04_students_about_ochrana_chats","Wszystko przez nią, mówię wam.","Hepsi onun yüzünden, söylüyorum.",""
"2F705910410278127189E892F174E408","smg02_04_students_about_ochrana_chats","Przez Polinę?","Polina'nın yüzünden mi?",""
"587399E54FC8E085A8DC20ABB0625EB8","smg02_04_students_about_ochrana_chats","No a jak. To jasne jak słońce.","Evet tabii. Güneş gibi aşikâr.",""
"1F13EB9E4D173089C23FAD802D1B43C0","smg02_04_students_about_ochrana_chats","A Dickstein ją jeszcze tu zaprasza.","Bir de Dickstein onu buraya davet ediyor.",""
"BE1195C94B7A936863FE23A61F4BC85A","smg02_04_students_about_ochrana_chats","Myślisz że oni... no wiesz.","Sence onlar... bilirsin işte.",""
"0DFD05CE4DB14D1FE2F4A9B81A202C10","smg02_04_students_about_ochrana_chats","Ja tam nie wiem. Ale podejrzanie to wygląda.","Ben bilmiyorum. Ama şüpheli görünüyor.",""
