"Hash","NodeName","PL","TR","Notes"
"2E5CCE00452CCAAEBDF5E688138EED78","CinematicNode_Choice_0","Odezwij się, żeby wiedziała, że tu jesteś.","Orada olduğunu bilmesi için ses ver.",""
"3468C0D346A48E74B06B53BECE4CCBED","CinematicNode_Choice_0","Zwróć na siebie uwagę chrząknięciem.","Öksürme sesiyle dikkatini çek.",""
"895381EB48EF9DFB404E729FDCCB7368","CinematicNode_Choice_0","Obserwuj ją dalej.","Onu izlemeye devam et.",""
"4B0B69B54066448D78629D99C6936F4B","CinematicNode_Choice_0","Zapytaj, czego szuka.","Ne aradığını sor.",""
"B833198D4A076696055AB8B6C96098FB","CinematicNode_Choice_0","1","1",""
"4B07762F4EEB671A95525290A5F5935F","CinematicNode_Choice_0","2","2",""
"95EACC0A4EDB21F494AA1B8F08550180","CinematicNode_Choice_0","3","3",""
"927DC4264B594CD080E235BF75263FAE","CinematicNode_Choice_0","4","4",""
"3383AA544044FF49127C1586C9171003","CinematicNode_Choice_1","Dociekaj, czy buszowala w twojej sypialni.","Yatak odasında dolaşıp dolaşmadığını araştır.",""
"F477268948128BE6E65270A41E7E0887","CinematicNode_Choice_1","Dowiedz się, co spodobało jej się najbardziej.","En çok neyin hoşuna gittiğini öğren.",""
"56EB5BBC40B8F175E9EEF68B866EB433","CinematicNode_Choice_1","Przyznaj, że schlebia ci jej zainteresowanie.","İlgisinin seni gururlandırdığını itiraf et.",""
"CCEBC74E4E20E3226909EAA977B64793","CinematicNode_Choice_1","Nalegaj, aby wyszła.","Çıkmasını ısrar et.",""
"A9206BD142D80B1BC4095FA1361312E0","CinematicNode_Choice_1","Odejdź.","Çekil git.",""
"70EC6B6A49B4B0FF5B49F8ADCE8C32E9","CinematicNode_Choice_1","1","1",""
"FB69159548F0638E3D7BAB84C0E2689F","CinematicNode_Choice_1","2","2",""
"499C8A264610EE461089C58B9BFA1E3B","CinematicNode_Choice_1","3","3",""
"DCA179A643A75CAC413B41A105C584E3","CinematicNode_Choice_1","4","4",""
"C928F76D44F09FB995E8D4B59A315C20","CinematicNode_Choice_1","5","5",""
"6B8400964E307E616337E29E009B65F9","CinematicNode_Response_0","...","…",""
"4475F8AB4A15D5914AA0D5AC1B8FF577","CinematicNode_Response_10","I co panienka najbardziej sobie tutaj upatrzyła?","Peki hanımefendi burada en çok neyi beğendi?",""
"0935C24D48071DF70162EC90E2FDC774","CinematicNode_Response_10","Nie potrafiłabym wybrać chyba tylko jednej rzeczy.","Herhalde yalnızca bir şeyi seçemezdim.",""
"7F86F529460953DA62FCBF974DAD0223","CinematicNode_Response_10","Najbardziej mnie chyba fascynuje, że za każdym prozaicznym przedmiotem, może się kryć jego drugie, wielce magiczne przeznaczenie.","En çok ilgimi çeken şey, her sıradan nesnenin ardında son derece büyülü ikinci bir amacın gizlenebileceği düşüncesi.",""
"3898FAC64221FC92C3404791F7B43000","CinematicNode_Response_10","To prawda, chciałem o tym mówić na wykładzie.","Doğru, derste bundan söz etmek istiyordum.",""
"3204145A4690B6AC840139813FEB8012","CinematicNode_Response_10","Nie mogę się doczekać.","Sabırsızlanıyorum.",""
