"Hash","NodeName","PL","TR","Notes"
"BCA48D024AA6A277AC0BC6BF92EB81EA","CinematicNode_Choice_0","Dowiedz się, ile czasu tu siedzi.","Burada ne kadar zamandır oturduğunu öğren.",""
"80825D41456B6A1AAB6ED99E68562B10","CinematicNode_Choice_0","Dopytaj, czy jest tu z własnej woli.","Burada kendi rızasıyla mı bulunduğunu sor.",""
"11CB14154D962D59F603CFB79B2A3A47","CinematicNode_Choice_0","Zapytaj, czy ma coś wspólnego ze skradzioną bronią.","Çalınan silahla bir bağlantısı olup olmadığını sor.",""
"4DDE3E4F4182A262E4DB749A860635F0","CinematicNode_Choice_0","Podpytaj, czy rozpozna sprawców.","Failleri tanıyıp tanımayacağını sor.",""
"29863C234B4B2AC2A93DFEBC903364A1","CinematicNode_Choice_0","Odejdź.","Çek git.",""
"D1B4ED074D599E84B2F5688903ACB614","CinematicNode_Choice_0","1","1",""
"DAD77D0B428C301FD6641E89548B4AD1","CinematicNode_Choice_0","2","2",""
"BD7F07D6433A65DC31097B83AB8C064E","CinematicNode_Choice_0","3","3",""
"2D2E3A7E49B5E47008DA6699CB831840","CinematicNode_Choice_0","4","4",""
"D56192ED4FC5D9EDCC60BF967B8BE825","CinematicNode_Choice_0","5","5",""
"9FCA717348DD8FDF647465B8CBC0D6A4","CinematicNode_Response_0","Jest tam kto?","Orada kimse var mı?",""
"C80B5FAC45AB0D914A915F8C0DB8A3AE","CinematicNode_Response_0","Nie zrobię ci krzywdy.","Sana zarar vermem.",""
"0CF3868649A5D5E68C9238A4E1E54C3A","CinematicNode_Response_0","...","…",""
"C889EBD0454758375896E08B6D998A64","CinematicNode_Response_0","Umówmy się, dwa stuknięcia na <i>tak</>, jedno na <i>nie</>. Rozumiesz?","Anlaşalım: <i>evet</> için iki vuruş, <i>hayır</> için bir. Anlaşıldı mı?",""
"A4E92B7545A284EE912B4EB3FF8E85D5","CinematicNode_Response_1","Długo tu jesteś? Dzień, dwa?","Uzun zamandır mı buradasın? Bir gün, iki gün?",""
"09AED99E445E1E1BFF7007812542772C","CinematicNode_Response_1","<i>Stuk</>.","<i>Tık</>.",""
"883184EE471263D41F55598EA2834784","CinematicNode_Response_1","Tydzień? Więcej?","Bir hafta? Daha fazlası?",""
"45A8B81E46EAB2CF9E6C9B86198B5EB3","CinematicNode_Response_1","<i>Stuk, stuk</>.","<i>Tık, tık</>.",""
"C4D74D6C4CFECFBD39C53987E36A16AB","CinematicNode_Response_1","Jesteś pracownikiem portu? Albo marynarzem?","Liman çalışanı mısın? Yoksa denizci mi?",""
"6A6B7B9B44E0E8229F2930A4EA3AB214","CinematicNode_Response_1","<i>Stuk</>.","<i>Tık</>.",""
"B4308BB74F013C4E5BF9A19C2706FC1E","CinematicNode_Response_10","Żyjesz tam jeszcze?","Hâlâ orada mısın?",""
"762F8B7F4AB4954E67363B88E9A8EF56","CinematicNode_Response_11","Transport broni... jaki możesz mieć z nim związek?","Silah nakliyatı… onunla nasıl bir bağın olabilir?",""
"EB6141F443F937F9BA4287AD72C1BD7E","CinematicNode_Response_12","...","…",""
"DCCEF1D449732A4E38EE07A7E6722725","CinematicNode_Response_14","Niedługo wrócę. Nie odchodź nigdzie.","Yakında dönerim. Sakın bir yere gitme.",""
"F31E49E3448B36B06B9E58B8138D45CF","CinematicNode_Response_14","...","…",""
"297E14384F20FFC500748681C0DE220B","CinematicNode_Response_14","Taki żart. Spokojnie.","Şakaydı. Sakin ol.",""
"9568FE4D42617E17440CCE830D0F67CC","CinematicNode_Response_2","Sam się tu zamknąłeś?","Buraya kendin mi kapandın?",""
"E05B8D0A433C50B0979808BFE2731CD8","CinematicNode_Response_2","<i>Stuk</>.","<i>Tık</>.",""
"DD12E4284B6BDEEC28F9D4B38B5A367A","CinematicNode_Response_2","Poza pewnym skrępowaniem, coś ci dolega?","Bir miktar bağlı olmanın dışında bir derdin var mı?",""
"13CBA65743185FCFBDD6D28180E432BB","CinematicNode_Response_2","<i>Stuk</>.","<i>Tık</>.",""
"B881380749B647EA511FADA87971B931","CinematicNode_Response_3","Wiesz coś o skradzionym transporcie broni?","Çalınan silah nakliyatı hakkında bir şey biliyor musun?",""
"E2B37CAF4989B071A8F228A07855199C","CinematicNode_Response_3","<i>Stuk, stuk</>.","<i>Tık, tık</>.",""
"700FE8724415A6DDD964FC87C0425646","CinematicNode_Response_4","<i>Stuk, stuk</>.","<i>Tık, tık</>.",""
"A01909ED4FF128871FB031AFB32D7E85","CinematicNode_Response_5","Masz szczęście, że zwietrzyłem tu dzikiego salutora. Znajdę sposób, aby cię uwolnić.","Burada vahşi bir salutorun kokusunu almama şükret. Seni kurtarmanın bir yolunu bulacağım.",""
"0E6F2B174D485B3D00D42E8A94096A29","CinematicNode_Response_6","Wrócę. Cierpliwości.","Döneceğim. Sabret.",""
"1689807047E5D45E26F6E098312B1339","CinematicNode_Response_7","Widziałeś twarze sprawców? Wiesz, kim są?","Faillerin yüzlerini gördün mü? Kim olduklarını biliyor musun?",""
"F4F8DC00489C95B354A6D1B6FBDC472B","CinematicNode_Response_7","<i>Stuk, stuk</>.","<i>Tık, tık</>.",""
"AC117D8240553ADC7F381991C63E4489","CinematicNode_Response_7","Czy to ma związek z jednym znanym warszawskim zbirem, Abaurycym?","Bunun, Varşova'nın tanınmış bir kabadayısı olan Abaurycy ile bir bağlantısı var mı?",""
"90BB93A844F59E5A2AE27B9A046F0E40","CinematicNode_Response_7","<i>Stuk</>.","<i>Tık</>.",""
"7467F73844E4D19E71EB868D3EA4AF80","CinematicNode_Response_7","Sądzisz, że to ma jakiś związek z socjalistami?","Sosyalistlerle bir bağlantısı var mı dersin?",""
"2CDA36904F9D431E369EE6A951BE1DC9","CinematicNode_Response_7","<i>Stuk</>.","<i>Tık</>.",""
"E3110CCF40CFF749C6C900B17B5541BD","CinematicNode_Response_7","Czyli zrobił to ktoś miejscowy?","Yani bunu buralı biri mi yaptı?",""
"5FCBA4FE4CF29B75BC8D1DB56B9F4ABB","CinematicNode_Response_7","<i>Stuk, stuk</>.","<i>Tık, tık</>.",""
"4F8C8C584BC7A1392D4F2499CEA2A578","CinematicNode_Response_8","Czyżbyś był jednym z żandarmów, którzy ochraniali konwój?","Yoksa konvoyu koruyan jandarmalardan biri misin?",""
"DCE21F8447994ACDEADBD3AB4AC71917","CinematicNode_Response_8","<i>Stuk, stuk</>.","<i>Tık, tık</>.",""
