"Hash","NodeName","PL"
"CECC5E484A3F81F25EE1BFA533820ADD","CinematicNode_Choice_2","Przyznaj, że żałujesz, że wtedy nie byłeś tak dobrym thaumaturgiem."
"7337F5944465AAB2F0AB14A4FA3A5F0E","CinematicNode_Choice_2","Nic nie mów."
"18E7941844733CAEF6978D97082C11BB","CinematicNode_Choice_2","1"
"0299EDE94C25F5C3F527B5B3BFBAC4B8","CinematicNode_Choice_2","2"
"9FBB88B54FAE6BC557CEAAA3717140A3","CinematicNode_Choice_3","Przyznaj, że tak."
"2CDE103946DCF3C21793D3A729517985","CinematicNode_Choice_3","Powiedz, że pewnie wymyśliłby coś innego."
"0E6D76004EC77CE83C5603B95A5ABF56","CinematicNode_Choice_3","Zauważ, że Abaurycy i jego ojciec by wtedy nie ucierpieli."
"E52BF79C4E168C2FB666BCA524DDC265","CinematicNode_Choice_3","1"
"4AFA27D241B73C8A40BF6FA81E530EB6","CinematicNode_Choice_3","2"
"D10E4C374C01F8A01DEE2B92A253911F","CinematicNode_Choice_3","3"
"5473522340824A89A00960971596E972","CinematicNode_Choice_4","Powiedz, jak to pamiętasz."
"5C91E31746C6AFD7EFBD63BC509F0461","CinematicNode_Choice_4","Przyznaj, że nie pamiętasz dokładnie."
"8E9A48F648048A321C90BFA5FD71653F","CinematicNode_Choice_4","1"
"650D236B4146718A722856B50EC2905D","CinematicNode_Choice_4","2"
"3E3E7BE8404E4A62531B60837C5DAB26","CinematicNode_Choice_5","Broń decyzji ojca. Ochronił cię."
"D47D9B0445621A2FBA63B883BA8EEE3A","CinematicNode_Choice_5","Skrytykuj decyzję ojca. Czułeś się wygnany."
"B04A92754584CCF2A35D7CA695CD5258","CinematicNode_Choice_5","Przyznaj, że nie potrafisz zdecydować."
"3A342F1442AC82FE38CB7087DF95DC59","CinematicNode_Choice_5","1"
"CB28A3A6470B8AD91A1212A19450D4BE","CinematicNode_Choice_5","2"
"9B9F4FC44C051467A3B4A688F83DE948","CinematicNode_Choice_5","3"
"E2226CB6453C8FC5BA9F2D8A6B73D653","CinematicNode_Choice_6","Wyznaj, że ojciec był na łasce Ochrany."
"ECF104074B8B37F101F1AB97EE4D14A5","CinematicNode_Choice_6","Nic nie mów."
"2C546B9948330C888D50A7819A12B812","CinematicNode_Choice_6","1"
"B88DB4124869539DAD70928E418B217A","CinematicNode_Choice_6","2"
"84D3FAEC454060D9279168ABCA94C322","CinematicNode_Choice_7","Zapytaj, czy to już koniec waszej sentymentalnej przygody."
"D203B2114BC09937A800DF875362F94B","CinematicNode_Choice_7","Zapytaj, co będzie z Maksem."
"649A3AD340DA12552A4D458400055BD0","CinematicNode_Choice_7","Pochwal zdobyczną wódkę."
"E44A3CC448F9A9C01072809FD94E8A48","CinematicNode_Choice_7","Przejdź do toastu i zakończ waszą sentymentalną podróż."
"7D8BA1B5424DF81FF9970DAAA0EC5D44","CinematicNode_Choice_7","1"
"5C815E6844E21810EBDA1A886EAC0E42","CinematicNode_Choice_7","2"
"5759934E463664CE46AD76A31A086417","CinematicNode_Choice_7","3"
"242FD3E84346AD9F3054AE93170CFCD6","CinematicNode_Choice_7","4"
"8F72DE0F4685BD8E4C1E969C78405BCC","CinematicNode_Choice_8","Zapytaj, czemu nagle chce wiedzieć."
"E495EAB844BDE93F820BC4991BD85773","CinematicNode_Choice_8","Wyznaj, że uważasz go za przyjaciela."
"39FE566542EC23E0A76A4680613699F3","CinematicNode_Choice_8","Powiedz, że przeraża cię jego nieprzewidywalność."
"19711F214540A67CD626E8A474B69416","CinematicNode_Choice_8","Przyznaj, że to zbyt skomplikowane."
