Hash,NodeName,PL,TR,Notes
26F307FD46E66011FB197CB8C58904CE,CinematicNode_Choice_2,"Przyznaj, że już kiedyś siedziałeś.",Daha önce içeri girdiğini kabul et.,
8BDB4CC34586FFE01FFF22BDB58222F7,CinematicNode_Choice_2,"Dopytaj, kim ona jest.",Kim olduğunu ayrıntılı sor.,
B9A91037424FD93DE2459388C65BBD00,CinematicNode_Choice_2,"Zapytaj, czy pozbyła się nabojów.",Mermilerinden kurtulup kurtulmadığını sor.,
5C0FCE68418DCF229F557A8C99E6FD96,CinematicNode_Choice_3,"Zapytaj się, czy ona też tam bywa.",Onun da oraya uğrayıp uğramadığını sor.,
67FF20314CCAD874F522B5B318D21EDA,CinematicNode_Choice_3,Dowiedz się więcej o jej znajomych.,Tanıdıkları hakkında daha fazlasını öğren.,
801C69044B8E4B5D536E1F9EEDC30D6B,CinematicNode_Response_10,Spędziłem trochę czasu przy <fr>Rue de la Roquette</> w Paryżu.,Paris'te <fr>Rue de la Roquette</>'de biraz vakit geçirdim.,"Fransızca cadde adı; aynen"
B875523E44C613F14396C389414D6E16,CinematicNode_Response_10,Zburzono je pięć lat temu.,Beş yıl önce yıkıldı.,
C83F164F47F51CDE179918AABAA5D8FE,CinematicNode_Response_10,<fr>Oui.</> A ty?,<fr>Oui.</> Ya sen?,"'Evet' — Fransızca"
F93721144DAD125C650AF8AB03023C01,CinematicNode_Response_11,Wyglądasz na obeznaną z takim środowiskiem. Często tutaj bywasz?,Böyle ortamlara aşina görünüyorsun. Sık mı geliyorsun buraya?,
FA0802AC4E730D22263ADD90D7E90A22,CinematicNode_Response_11,"Wezmę to za komplement. I owszem, czasami, jeśli sprawa tego wymaga.","Bunu iltifat sayacağım. Ve evet, dava gerektirirse ara sıra.",
A9CE44E34502A31646ADF4A3182E0262,CinematicNode_Response_11,Jaka sprawa?,Hangi dava?,
87E82A1243E8D0DDF44CF1BDE8FB1F78,CinematicNode_Response_12,"Powiedz lepiej, czy zdążyłaś się pozbyć swojej amunicji?","Sen söyle, mermilerinden kurtulmaya vakit buldun mu?",
DE170D224998DF37A0CC9EA8336E392B,CinematicNode_Response_12,"Gdyby tak nie było, siedziałabym już w Cytadeli. Przyznaję, że twoje zachowanie skutecznie odwróciło uwagę ruskich.","Öyle olmasaydı şimdi Sitadel'de olurdum. İtiraf ediyorum, davranışın Rusların dikkatini başarıyla dağıttı.",
755B30B54A4C211C78908C8F7E597F1F,CinematicNode_Response_12,Nie ma za co.,Rica ederim.,
