"Key","Value"
"Flaw.Progression.Deed.1","Należała do Vesny, prostej chłopki z Zakaukazia, która w odwecie za okrucieństwo własnego ojca, zabiła go."
"Flaw.Progression.Deed.2","Należała do mojej drogiej siostry. Tak, jak moja Duma, tak i ta Skaza, jest pochodną Pychy. Skazy naszego ojca."
"Flaw.Progression.Deed.3","Należała do generał-gubernatora Skałona. Jest szansa, że bez niej, przestanie być ciemiężycielem Warszawy."
"Flaw.Progression.Heart.1_weak","Moja wrodzona Skaza. To ona wpędziła mnie nie raz w kłopoty, ale też czasem pozwoliła ich uniknąć. Jest integralną częścią mnie."
"Flaw.Progression.Heart.1_medium","Moja Skaza rośnie w siłę, czuję to. Im dalej będę ją podsycał, tym potężniejsza się stanie. Może otworzyć mi niektóre drzwi, ale i zamknąć inne."
"Flaw.Progression.Heart.1_strong","Jestem dumnym człowiekiem., thaumaturgiem. Przerosłem nawet ojca. Moja dojrzała Duma to moje narzędzie, moje zbawienie, moje Ja."
"Flaw.Progression.Heart.2","Należała do Leili, dziewczyny wychowanej przez ulicę. Zuchwalość pozwalała jej przetrwać, ale i sprowadziła ją na drogę występku."
"Flaw.Progression.Heart.3","Należała do Szymona, młodziutkiego thaumaturga, nieświadomego swoich mocy. Pozbawiając go Skazy, dalem mu szansę na życie bez stygmy."
"Flaw.Progression.Mind.1","Należała do Danisa, tragicznie zakochanego Kozaka, który wciąż rzucał wyzwanie śmierci."
"Flaw.Progression.Mind.2","Należała do Kajetana, malarza zwłok z Powiśla. Być może bez niej, odnajdzie w życiu jakiś sens."
"Flaw.Progression.Mind.3","Należała do mojego młodszego kuzyna, Pietii. Pozbawiony jej, powinien stanąć na wysokości zadania i wziąć odpowiedzialność za siebie i innych."
"Flaw.Progression.Word.1","Należała do Zofii Skałonówny. Bez niej, dziewczyna znajdzie wytchnienie od skandali. Mam taką nadzieję."
"Flaw.Progression.Word.2","Należała do Edka i wpędzała go w coraz to nowe tarapaty. Czyniła go więźniem jego własnych kłamstw. Ale nigdy więcej."
"Flaw.Progression.Word.3","Należała do Włodzimierza, przeciwnika wszelkiej thaumaturgii. Być może, bez niej, będzie mu dane przejrzeć na oczy."
"Flaw.Progression.Deed.1_salutor","Za tą Skazą, podąża Bukavac."
"Flaw.Progression.Deed.2_salutor","Za tą Skazą, jak i za krwią Szulskich, podąża Golem."
"Flaw.Progression.Heart.1_salutor","Za tą Skazą, podąża Upyr."
"Flaw.Progression.Heart.2_salutor","Za tą Skazą, podąża Djinn."
"Flaw.Progression.Mind.1_salutor","Za tą Skazą, podąża Lelek."
"Flaw.Progression.Mind.2_salutor","Za tą Skazą, podąża Morana."
"Flaw.Progression.Word.1_salutor","Za tą Skazą, podąża Weles."
"Flaw.Progression.Word.2_salutor","Za tą Skazą, podąża Krampus."
