"Hash","NodeName","PL"
"6B4F6BB741C83D86977DEA938C9A3053","CinematicNode_Choice_0","Przyznaj, że ci się podobają."
"56A99DA0498B6591C887A8A88A88C73F","CinematicNode_Choice_0","Powiedz, że jeszcze nie wiesz."
"E30CBEEC416DAF6FD5FB0294E548FF23","CinematicNode_Choice_0","1"
"206AD64049CCAE2219AC9FA8A857411C","CinematicNode_Choice_0","2"
"2903F0E6464EFA61CC12018F03236A76","CinematicNode_Choice_1","Powiedz, że chciałbyś wejść."
"BC70B0C04BC311B0E3911DB9EEEE64B4","CinematicNode_Choice_1","Dowiedz się, kim one są."
"98B002E341D899C45DD7BD8C90989BA7","CinematicNode_Choice_1","Zapytaj, czy zawsze chodzą w parze."
"86AF29B74BBBE6ECD45C1E8190BC1863","CinematicNode_Choice_1","Odejdź."
"1617C507444E30086038D29DA36B9352","CinematicNode_Choice_1","1"
"EBD197B94FFEC2FAAB132B96EF2EDB39","CinematicNode_Choice_1","2"
"CE8BC5F248DE569DB865738F8C5E88A5","CinematicNode_Choice_1","3"
"36FB1686437C97EA5B613A94C5E47FA8","CinematicNode_Choice_1","4"
"2D67F86C4E7C31041C0E43B4A31CEE8D","CinematicNode_Response_0","Papużki nierozłączki z was. Bywacie czasem osobno?"
"FE35BFA74528225B64CA819B04338B19","CinematicNode_Response_0","Rzadko. Uzupełniamy się. Nie tylko w rozmowie."
"58ED936241CF4E11F03327BB74E8814D","CinematicNode_Response_0","Cii... Pewnie nie przyszedł z nami pogadać."
"190B55574D973BEF25042794406425A0","CinematicNode_Response_0","To czego chce?"
"6AB6C61E441A371C24F929B41BE3CA13","CinematicNode_Response_1","Jestem zmuszony się z wami pożegnać."
"239125284DDAD809178804BDF45E81E0","CinematicNode_Response_1","Och... No to do zobaczenia."
"F882ABC146723F47F1E77A887BF33264","CinematicNode_Response_10","Chyba jednak wrócę później. Przypomniało mi się... coś."
"BA1C2FCC40969930EBF01F9D1FB1208F","CinematicNode_Response_10","Zapomniał kultury osobistej chyba. My tu czekamy na jaśniepana, a ten nam się każe pocałować w rzyć. "
"A0E123844A63BD7ABC7E0FB6D8F7DE79","CinematicNode_Response_10","Maria! Ależ ty masz niewyparzony język!"
"C249F6C14F606F32646A70B667C7DA31","CinematicNode_Response_10","Wrócę. Obiecuję."
"0C41A37B4C25DB3939BD69A3301F5779","CinematicNode_Response_11","Dobry wieczór?"
"395E663F4523B2B8DF1FDAA8CD4ACC3A","CinematicNode_Response_14","Podobacie, podobacie. To duża zmiana. Pozytywna."
"ABA2DB2046F60AA49CD5ADA302301B23","CinematicNode_Response_14","No, widzisz? Nie jest taki zły."
"19121A754B7D7CBB014FD6989FE90DAF","CinematicNode_Response_15","To się okaże. Za krótko się znamy."
"42923F6747A0E63C206E0FAACF1C765D","CinematicNode_Response_15","Mi tyle wystarczy, żeby wiedzieć, z kim mam do czynienia."
"DFE64D4B4F2D135857FAD8AFD78BD2C0","CinematicNode_Response_17","To jest Maria."
"351AF41F4B55AD3086FB69838D8FF6C4","CinematicNode_Response_17","A to Magdalena."
"FB7FB8FE440083B7FB6BB4AB84B0B835","CinematicNode_Response_17","Wszyscy na ciebie czekaliśmy."
