"Hash","NodeName","PL","TR","Notes"
"F62211CC443F6D6CD1CB1B8FF651D0CB","CinematicNode_Choice_1","Postaw się.","Kafa tut.",""
"606F737C48104ACB2D679EA6AD043474","CinematicNode_Choice_1","Zapłać.","Öde.",""
"84FC7E7D403B6DDCE7A8ECBB0971D1CB","CinematicNode_Choice_1","1","1",""
"DA1F6E0F4E775C9420292A8A1B87008A","CinematicNode_Choice_1","2","2",""
"502E19B34414C789ABB86DABCDBD1962","CinematicNode_Response_3","A zezwolenie jest?","Ruhsatın var mı?",""
"D0EA5C3C46FD41F4F046E2827470F736","CinematicNode_Response_3","Jakie zezwolenie? Rzeka chyba należy do wszystkich?","Hangi ruhsatı? Nehir sanırım herkese ait?",""
"D28D13B1470E295918130FAE6FB8EA93","CinematicNode_Response_3","A pana zdaniem, to kto ją zarybia, co? Te pięć kilo leszcza to samo się do rzeki wpuściło?","Peki sizce kim balık bırakıyor buraya? Bu beş kilo sazan mı kendi kendine nehire girdi?",""
"6CB0BDC84CC59D068866539CA317D4BE","CinematicNode_Response_3","Płać pan karę pięć rubli, pókim dobry!","Beş ruble para cezası öde, iyiyken!",""
"3B3A6B5C4C7495B9A6F19AAA8AF05F44","CinematicNode_Response_4","Nie zrobisz pan ze mnie głupka. Ryby w rzece były, są i będą. Łowić może każdy.","Benden aptal çıkaramazsınız. Nehirde balık vardı, var ve olacak. Herkes tutabilir.",""
"301A60D1486C3F58A28C28A8731531CC","CinematicNode_Response_4","Mięsiarz pierdolony, nasze ryby będzie haratał! Już my cię ciulu nauczymy, co to znaczy odpowiedzialne korzystanie z rzeki.","Orospu çocuğu kasap, balıklarımızı yutacak ha! Gösteririz sana sorumlu nehir kullanımının ne demek olduğunu, salak.",""
"112847A24B2E864210DC569B4E27EF35","CinematicNode_Response_4","Chłopy, kłusola dorwałem! Na niego!","Herifler, kaçak avcıyı yakaladım! Üstüne!",""
"9260EE31436B75C2259B85B776917D08","CinematicNode_Response_5","A jak tak, to dziękuję i nie przeszkadzam. Pamiętaj pan, że co na haku to w plecaku. Do zobaczonka.","Öyleyse teşekkürler, rahatsız etmiyorum. Unutmayın, oltadaki balık torbaya girer. Hoşçakalın.",""
