"Hash","NodeName","PL","TR","Notes"
"B2C0E41345C888E70A2E4DA0F18CEDF4","CinematicNode_Choice_10","Zapytaj, czy Skałon załatwił mu posadę.","Bu makamı ona Skałon'un ayarlayıp ayarlamadığını sor.",""
"FDDAB4FE437E3E715FFE4581D5DB5476","CinematicNode_Choice_10","Pogratuluj mu.","Onu tebrik et.",""
"837DE5924395043FEE66A99D6D6AB60A","CinematicNode_Choice_10","1","1",""
"C871FD62483E487164A6BA8A3309B3EB","CinematicNode_Choice_10","2","2",""
"1C5E48F44E67BB541F74CD98CFD7CF0C","CinematicNode_Choice_11","Zduś wątpliwości Siergieja. Niech wyzna, co go męczy.","Siergiej'in şüphelerini söndür. Onu rahatsız edeni itiraf etsin.",""
"C536FB1B42E81F1F77A334B2C9D709BD","CinematicNode_Choice_11","Wyznaj, co robisz na przyjęciu.","Davette ne yaptığını itiraf et.",""
"D4727F0144D4BCA0D741BE8FC7AD6AC6","CinematicNode_Choice_11","Zapytaj, co oni tu robią.","Onların burada ne yaptığını sor.",""
"1248763049A2A05C049219BDCF3A4F55","CinematicNode_Choice_11","Pożegnaj się.","Vedalaş.",""
"715520DF44F3EAFB50C9BF837DDE4F86","CinematicNode_Choice_11","1","1",""
"BC5E1E384ED8B9288739AEA2E3E2E68F","CinematicNode_Choice_11","2","2",""
"DD731D9248D2E19DD10D86970E3F4E26","CinematicNode_Choice_11","3","3",""
"797B7A7B41417F32C60D2E8DA29866D3","CinematicNode_Choice_11","4","4",""
"8306E0CD45BC6DE599D3A0A2F06A222C","CinematicNode_Choice_12","Ostrzeż ją, aby uważała na słowa.","Onu, sözlerine dikkat etmesi için uyar.",""
"4F8A914048842F19968DBDA9254F459F","CinematicNode_Choice_12","Przyznaj, że pogromy zabrały ci kogoś.","Pogromların senden birini aldığını kabul et.",""
"DA8BDCE24CC279E05CBA6983751F1774","CinematicNode_Choice_12","Zignoruj zaczepkę.","Sataşmasını görmezden gel.",""
"F205B26D4343DC982C4FCF96DFE17C72","CinematicNode_Choice_12","1","1",""
"21B87B814EC46E00F18FEF947CF52260","CinematicNode_Choice_12","2","2",""
"C52740AE45A4431EA252E9BD37E04889","CinematicNode_Choice_12","3","3",""
