"Hash","NodeName","PL"
"C82D00DE402E3A32C8E4B39568AAFE86","CinematicNode_Choice_10","Zapytaj, co teraz zamierza."
"088B28404886EF43689F62B4887A74C3","CinematicNode_Choice_10","Powiedz, że twój ojciec też był trudny."
"025A112545AD00C0D83DB3A01ED3B0DF","CinematicNode_Choice_10","Nic nie mów."
"F674243D41032C91C03E3AA0043B4109","CinematicNode_Choice_11","Powiedz, że znalazłeś swój sposób na życie."
"F919A21448A8B92B9EF7B78F54A5C988","CinematicNode_Choice_11","Przyznaj, że ojciec umarł."
"F7074F4A4EC06797751025ABFFE8EF57","CinematicNode_Choice_6","Przeproś Siergieja."
"2C22E22443303B754122A980709CFDDD","CinematicNode_Choice_6","Podaruj Zofii spokój."
"DF9ADEB24CE3E237DE7079AB967ED020","CinematicNode_Choice_6","Przyznaj wszystkim, że to przez ciebie."
"B3E023FF4318ABEA1EBFDB870392A5A8","CinematicNode_Choice_6","Powiedz, że to przez Skazę Zofii."
"64AFCAD649260C280D4A3D994FEFEA4F","CinematicNode_Choice_7","Spraw, żeby ci zaufał."
"F755E0BA4ABBCE2FC211308D52067CD3","CinematicNode_Choice_7","Zrezygnuj. Nie zatrzymasz go."
"296016B44F1CA3FDD25F2DADEF570543","CinematicNode_Choice_8","Nie sprawiaj im problemów."
"48A1D52D45693D2DEB23B1B950CD2AAF","CinematicNode_Choice_8","Powiedz, że mogą spróbować."
"133083ED4BB85763EBE2D699FF441268","CinematicNode_Choice_9","Powiedz, że miałeś swoje powody."
"0CC845EE4D04F9DAFC4BB4B37B7A170B","CinematicNode_Choice_9","Obróć to przeciwko socjecie i Zofii."
"054DA40049F97ACA5026D7896C6BA786","CinematicNode_Response_33","Drodzy państwo, duchy, jak widać, były dziś wyjątkowo niespokojne."
"10A559164F74770E84DAC68111A5C0EF","CinematicNode_Response_34","A pan co nam powie?"
"0C57321F4AA0EC8C4B030FBD0DE0D79E","CinematicNode_Response_35","Mnie ""duchy"" powiedziały już wszystko, co powinienem usłyszeć."
"9375F47343E51506A1C2F9A9B57D53C2","CinematicNode_Response_35","..."
"2AF226044FE41DB30AAF538698A55EE8","CinematicNode_Response_36","Panno Zofio, czy wszystko w porządku?"
"F2B72148402B07A9A346D48AB9E5FFA0","CinematicNode_Response_36","..."
"7D819589410A8631E777909C92695264","CinematicNode_Response_37","Siergiej, proszę zaczekać."
"7F3A507A40DE9236257009938E22696F","CinematicNode_Response_37","Panie Szulski, dżentelmen może znieść tylko pewną liczbę upokorzeń. Ja wyczerpałem już swój limit."
"9343B4C74D39A85EF961448B7005E121","CinematicNode_Response_37","Winszuję wam obojgu."
"E5EEE2E94F2E7ED11C48909FED623402","CinematicNode_Response_38","Zofia...?"
"808E58A041343FB2DDBE8C91B154E078","CinematicNode_Response_38","Podobało się panu widowisko? Moje najlepsze do tej pory..."
"C00E3B0849EA2AF0F5F514A17868C07D","CinematicNode_Response_38","To teraz jest chyba pora na brawa?"
"6DAE4A654970C2E6AAA0E38C82DB110D","CinematicNode_Response_39","Widzę, że pana nie przekonam."
"AF7A50F541C9D431395D6EA5F53F159A","CinematicNode_Response_40","Pan mi teraz zaufa. Nie jestem pańskim rywalem."
"87675D2A4D2F95B9B97A5C997626C833","CinematicNode_Response_40","Nie miałem zamiaru pana ośmieszać. Użyłem pana tylko do swoich celów."
