"Hash","NodeName","PL"
"67F230FB443A7FC8B030EF82D06C866B","CinematicNode_Choice_1","Powiedz, że przyszedłeś najszybciej, jak się dało."
"97241074485A0E9C806AAC9898BFD819","CinematicNode_Choice_1","Zapytaj, o co chodzi."
"1A2B8739427AD2F8A86B299A1F049EE0","CinematicNode_Choice_1","Powiedz, żeby najpierw odebrał telefon."
"F63813D04A1F8BFB962BEFA2FF23E8CB","CinematicNode_Choice_1","1"
"3A8A2EF342C2348C0A5326A90201C9F6","CinematicNode_Choice_1","2"
"8F1E71D640D1C931F058BEA46CADF8AA","CinematicNode_Choice_1","3"
"2B74432B4F1E4FB9E6E50E82C038AD14","CinematicNode_Response_0","O co dokładnie chodzi?"
"E8AAD351424F41287CB5399580D8F169","CinematicNode_Response_0","Jeden ze studentów aresztowany, konspiracja chwieje się w posadach."
"64EFC4074AB9354BDA19A4AACC6F7B57","CinematicNode_Response_0","To co się stało jest tragedią. Taki młody, zdolny człowiek..."
"CD27150A471149A95FB7A7838A1ED257","CinematicNode_Response_0","Wszystko wyjaśnię, tylko może najpierw odbiorę."
"BBA87FCD4C102932C078A99588DC4F4C","CinematicNode_Response_1","Dzień dobry."
"80423316443EB0F8945C6D939E042007","CinematicNode_Response_1","Pan Szulski, dziękuję, że pan przyszedł."
"DA49832B42BC7B4D15CFF4979FB73C67","CinematicNode_Response_3","Proszę się rozgościć, zaraz wrócę."
"DA64F4724F5F3F3B719BC8AEF933489B","CinematicNode_Response_6","Przybyłem, jak tylko mogłem najszybciej."
"4D0C2E144028F9689D3632A1F4A94218","CinematicNode_Response_6","Tak, dziękuję. Musi pan jednak na mnie chwilę poczekać, mam telefon."
"ABA2A4654339056082C8BEA9A3FE92E1","CinematicNode_Response_7","Może sprawdzi pan, kto telefonuje? Potem porozmawiamy na spokojnie."
"3B0CFFCD4BDBA0982A8A1BA3D0686C47","CinematicNode_Response_7","Tak, oczywiście."
