"Hash","NodeName","PL","TR","Notes"
"FE7989FE4FAB3418513FFFB14CBFB501","CinematicNode_Choice_1","Zgódź się pomóc.","Yardım etmeyi kabul et.",""
"D9B88889403B642BDCEDD88FE859AE3D","CinematicNode_Choice_1","Odejdź.","Çekil git.",""
"C3AA057342130448B612F8BECCBD4070","CinematicNode_Choice_1","1","1",""
"64D722504B62763DA50611BAC16A7901","CinematicNode_Choice_1","2","2",""
"5710673F4EBAFD51FAFAD99C4077C75B","CinematicNode_Choice_2","Stań w obronie staruszki.","Yaşlı kadının yanında dur.",""
"F98281B445C2B1B05886B8AA22824F26","CinematicNode_Choice_2","Wycofaj się.","Geri çekil.",""
"B85C8566428D4561B5B8709B95CD9274","CinematicNode_Choice_2","1","1",""
"528BC6534C59D4AB64F4B3AB29C9E827","CinematicNode_Choice_2","2","2",""
"38DCF4BC4A4885237C5DE1978F1EF6A4","CinematicNode_Choice_3","Zanieś jej torby do wagonu.","Çantaları vagona taşı.",""
"C12F2AD540BFDC7235B07F8D192B4DDD","CinematicNode_Choice_3","Zapytaj, co jest w torbach.","Çantalarda ne olduğunu sor.",""
"06554DD342D4ACDBF458FCBC6439459A","CinematicNode_Choice_3","1","1",""
"D6AE9819492E33221E4218A0FB016397","CinematicNode_Choice_3","2","2",""
"275220E44B3FCC1A314A8E81F465689C","CinematicNode_Response_0","Wnusiu, pomóż no. Mam ciężkie torby, a latka już nie te.","Torunum, bir yardım et. Ağır çantalarım var, yaşım da dinç değil artık.",""
"F302812A49F7C248712139AF59A936B6","CinematicNode_Response_0","Może poniósłbyś mi je do wagonu?","Onları benim için vagona taşıyabilir misin?",""
"B5AD617D4DD3EBAC6A7000B559127786","CinematicNode_Response_1","Pomogę. Gdzie pani siedzi?","Yardım ederim. Yeriniz nerede?",""
"98727DB84E32A2BEA6F21B8205B3D244","CinematicNode_Response_10","Co w nich masz, babciu?","Bunlarda ne var, nine?",""
"3A93DFC0427A734EA9D85EADB774DE9E","CinematicNode_Response_10","Takie tam, babcine <dl>fintifluszki</>. Rodzinne precjoza, że tak to ujmę.","Öyle işte, ninenin <dl>şeyleri</>. Aile yadigârları diyelim buna.",""
"DBF0ED974D330F236C88989787AD6BE9","CinematicNode_Response_11","Dobrze, chodźmy, bo pociąg ci ucieknie.","Peki, gidelim, yoksa tren kaçar.",""
"D6B3B7D84FE8F634359BA3A3819A97C3","CinematicNode_Response_11","Tak, tak, bo jeszcze się zleci reszta tego <dl>tałatajstwa</>. Dobrze cię wychowałam, wnusiu.","Evet, evet, bir de o <dl>serseri takımı</> üşüşür. Seni iyi yetiştirdim, torunum.",""
"8CA746044E04A8FDFC1CA0B2B32D97E6","CinematicNode_Response_6","I ten, pewnie <dl>zblatowany</> z nią.","Bunu da <dl>uyuşmuş</> onunla, herhalde.",""
"F0C5E65241DFE84D861561AD6E32E944","CinematicNode_Response_6","Pewnie w tych torbach. Kazała ci je targać?","Muhtemelen o çantalarda. Taşıtıyor mu sana?",""
"E9221BE14839788D7E1769897947A6B3","CinematicNode_Response_6","Wnusiu, to jakaś pomyłka. Pomóż babci.","Torunum, bir yanlışlık bu. Nineye yardım et.",""
"894F5F07470ADA9F4C578AB04C52AEDA","CinematicNode_Response_7","Przypomniałem sobie, że moja babcia już dawno nie żyje.","Aklıma geldi: Ninem çoktan ölmüş.",""
"4DA919474FD1B12616754D86835B09C2","CinematicNode_Response_7","Panowie, miłego dnia.","Beyler, iyi günler.",""
"10D544384006E87821639CA0802417F5","CinematicNode_Response_7","A <dl>apaszka</>, z nami! Odechce ci się uczciwych bandytów okradać.","Hadi <dl>serserinin</> teki, bizimle gel! Namuslu haydutları soymak geçer aklından.",""
"02EF7FEF4A47138BCF8FCC8D8ACAC109","CinematicNode_Response_8","W porządku, babciu. Od tego masz wnusia.","Peki, nine. Bunun için var torunun.",""
"39ED6D5F431CD4A05F1601B11B0D7674","CinematicNode_Response_8","Na <dl>fleki</> go!","<dl>Parçalayın</> onu!",""
"4FEF4CCD49588D10E50B97A5EE59EEBE","CinematicNode_Response_9","Dzięki, wnusiu. Poczekaj, babcia ci coś <i>odpali za fatygę</>.","Sağ ol, torunum. Dur, nine sana <i>zahmeti için bir şeyler versin</>.",""
"B37A78AC4481A5D54572148292CDB636","CinematicNode_Response_9","Nie trzeba, babciu.","Gerek yok, nine.",""
"1931756B4BDAAC535D877E9F771F8968","CinematicNode_Response_9","No, to zanieś moje <i>tobołki</> do pociągu, kawalerze.","O zaman <i>bohçalarımı</> trene taşı, delikanlı.",""
