Key,PL,TR,Notes
NewFact,Spostrzeżenie:,Gözlem:,
NewConclusion,Wniosek:,Çıkarım:,
NewFlaw,Przejmujesz nową Skazę:,Yeni bir Kusur edindin:,
CombatAction_DeadTarget,Wróg pokonany,Düşman yenildi,
CombatAction_Interrupted,Przerwano,Kesildi,
NewConclusion_Button,Pokaż Wnioski,Çıkarımları göster,
NewFact_Button,Pokaż Spostrzeżenia,Gözlemleri göster,
CombatAction_RemoveAction,Działanie zaniechane,Eylem iptal edildi,
Reinforcement_NextRound,Posiłki przybędą w następnej rundzie,Takviye bir sonraki turda gelir,
CombatAction_Cancel,Anulowano,İptal edildi,
Reinforcement,Wrogie posiłki są w drodze,Düşman takviyesi yolda,
SaveBlocked_1,Zapis gry niemożliwy,Oyun kaydedilemiyor,
SaveBlocked_2,Obecnie nie można zapisać gry,Şu anda oyun kaydedilemez,
LoadBlocked_1,Wczytanie gry niemożliwe,Oyun yüklenemiyor,
LoadBlocked_2,Obecnie nie można wczytać gry,Şu anda oyun yüklenemez,
NewProgressionUpgrades_Title,Rozwijasz:,Geliştiriyorsun:,
DifficultyLevel_Title,Poziom trudności,Zorluk Seviyesi,
PopupCommon_Button,Kontynuuj,Devam,
NewInsight_Title,Spostrzeżenie,Gözlem,
Consequences,Podjęte wcześniej wybory doprowadziły cię do obecnej sytuacji.,Daha önce verdiğin kararlar seni şu anki duruma getirdi.,
DifficultyLevel_Button_1,Walka jest łatwiejsza. Tryb dla osób pragnących skupić się na fabule.,Savaş daha kolay. Hikâyeye odaklanmak isteyenler için mod.,
DifficultyLevel_Button_2,"Walka stawia wyzwanie, jednocześnie umożliwiając dużą swobodę.",Savaş meydan okur; aynı zamanda büyük bir özgürlük sunar.,
PopupCommon_Next,Dalej,İleri,
PopupCommon_Begin,Rozpocznij,Başla,
ObjectiveUpdated,Aktualizujesz dziennik,Günlük güncellendi,
Progression_Title,Rozwijasz:,Geliştiriyorsun:,
QuestCompleted,Kończysz zadanie,Görev tamamlandı,
Experience,Doświadczenie,Deneyim,
StartBoard_1,"<b>Thaumata</> to słowo wywodzące się z greki. Oznacza <b>""cuda""</>.

Thaumaturg, lub też <b>tempermanta</>, to ktoś zdolny do odkrywania sekretów ludzi i miejsc. Rozpoznaje Skazy, czyli piętno odciśnięte na ludzkiej psyche i może je zeń wydobyć na powierzchnię. Czy jest zatem lekarzem dusz?","<b>Thaumata</>, Yunanca kökenli bir sözcüktür. Anlamı <b>""mucizeler""</>dir.

Tılsımkâr — ya da bir başka adıyla <b>tempermanta</> — insanların ve mekânların sırlarını keşfedebilen kimsedir. Kusurları, yani insan ruhuna kazınmış damgaları tanır ve onları yüzeye çıkarabilir. Öyleyse o, ruhların hekimi midir?",Çoklu satır
