"Hash","NodeName","PL"
"4D56A84F4B6E965EEF9B0C9D552F70EA","CinematicNode_Choice_0","Ponagl go. Niech powie, o co chodzi."
"ACBDFC68424A19DAF806F39130C8BB17","CinematicNode_Choice_0","Powiedz, że wybrał zły moment."
"397635E34A1D2E6ADB2B13B1E5FE8189","CinematicNode_Choice_0","1"
"518346934C4FA45E9457319ED3AC1309","CinematicNode_Choice_0","2"
"EDC7E1D34A2682471D179397CB33AA71","CinematicNode_Choice_1","Zgódź się."
"C5B486004EAA8AC4787131A86A0EA041","CinematicNode_Choice_1","Odejdź."
"D69CD6BA41E77BFC48DDB39D9D1A87A4","CinematicNode_Choice_1","1"
"C344EC5E43678AE8E4E72FB73CF170A5","CinematicNode_Choice_1","2"
"0BBC777A42F5882EF1F02AA6844CD831","CinematicNode_Response_0","Wygląda pan, jakby na mnie czekał."
"AADEB6474DFAF011FF3DF3AA829B5D02","CinematicNode_Response_0","W rzeczy samej, panie Szulski. Pamięta mnie pan? Czesław. Byłem na pana wykładzie."
"830BD77843A00C01092E30A3B022F44E","CinematicNode_Response_0","Mogę zająć chwilę? To pilne."
"05EE00BD4712705D56E310974D9B12BB","CinematicNode_Response_1","W czym rzecz? Coś pana niepokoi?"
"577460A8427864AE2BF92795951D4C7E","CinematicNode_Response_1","Żeby to jedno. Nie mogę spać. Boję się chodzić sam po mieście. Czuję, że jestem obserwowany."
"7EDAC0394D23B669F539E4A434C0BDC2","CinematicNode_Response_1","Może skonsultuje to pan z jakimś lekarzem, zanim zwróci się do thaumaturga?"
"8D407F14494D682345F9C78F56806CAF","CinematicNode_Response_1","To oni! Są tutaj."
"9D288ED94F6034CFD1ED2A851F910248","CinematicNode_Response_2","Niestety, będzie mnie pan musiał odnaleźć innym razem."
"490CEC0F4CE7304587727282DA361F87","CinematicNode_Response_2","Proszę dać mi chwilę."
"2A53F59C43880AFA156276B96D334C9F","CinematicNode_Response_3","..."
"F84CF8354FE0F93F78302F9C18ABA609","CinematicNode_Response_4","Naprawdę, innym razem."
"3E3296EA4DD12A41D3B053B1C9510F0F","CinematicNode_Response_4","Za późno. Już tu są."
